ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3492,3670.0,3578.0,3634,3362,3582,3636,3182,3484.0,3449,3453.0,3645.0,3457.0,3450.0,3355,3439,3421.9520932214295,3252,2964,2834,3672,3643.0,3630,3485
3499,3668.0,3578.0,3635,3357,3580,3641,3179,3481.0,3449,3454.0,3642.0,3460.0,3450.0,3355,3439,3421.9520932214295,3252,2964,2834,3672,3646.0,3626,3472
3491,3664.0,3580.0,3626,3352,3580,3641,3179,3481.0,3449,3454.0,3642.0,3460.0,3447.0,3355,3406,3448.0,3254,2968,2837,3661,3648.0,3624,3480
3491,3664.0,3580.0,3626,3352,3583,3633,3172,3481.0,3438,3455.0,3649.0,3455.0,3446.0,3350,3439,3452.0,3255,2974,2829,3664,3643.0,3620,3481
3498,3658.0,3581.0,3634,3356,3588,3634,3176,3482.0,3449,3455.0,3643.0,3456.0,3444.0,3340,3443,3451.0,3255,2974,2829,3664,3643.0,3620,3481
3492,3659.0,3584.0,3638,3348,3586,3636,3174,3471.0,3449,3455.0,3643.0,3456.0,3444.0,3340,3443,3451.0,3258,2968,2830,3672,3641.0,3627,3483
3501,3659.0,3584.0,3638,3348,3586,3636,3174,3471.0,3450,3456.0,3647.0,3458.0,3447.0,3345,3430,3450.0,3259,2966,2835,3669,3651.0,3622,3481
3501,3663.0,3583.0,3643,3352,3583,3638,3178,3478.0,3450,3454.0,3646.0,3451.0,3442.0,3356,3437,3450.0,3263,2965,2830,3662,3651.0,3622,3481
3492,3658.0,3581.0,3636,3346,3580,3632,3183,3466.9071434438965,3453,3458.0,3614.6286554334442,3456.0,3442.0,3356,3437,3450.0,3263,2965,2830,3662,3649.0,3628,3483
3493,3659.0,3582.0,3646,3342,3580,3632,3183,3466.9071434438965,3453,3458.0,3614.6286554334442,3456.0,3440.0,3352,3444,3450.0,3265,2973,2832,3665,3644.0,3629,3483
3493,3659.0,3582.0,3646,3342,3586,3638,3182,3484.0,3448,3456.0,3640.0,3457.0,3444.0,3356,3440,3450.0,3266,2973,2834,3661,3648.0,3627,3477
3496,3663.0,3583.0,3635,3343,3583,3623,3194,3489.0,3452,3454.0,3644.0,3456.0,3439.0,3350,3438,3447.0,3266,2973,2834,3661,3648.0,3627,3477
3494,3661.0,3583.0,3634,3344,3584,3628,3192,3485.0,3452,3454.0,3644.0,3456.0,3439.0,3350,3438,3447.0,3275,2972,2829,3661,3643.0,3628,3480
3498,3661.0,3583.0,3634,3344,3584,3628,3192,3485.0,3449,3457.0,3645.0,3456.0,3444.0,3355,3441,3454.0,3280,2972,2835,3662,3648.0,3623,3466
3498,3669.0,3582.0,3635,3333,3577,3633,3203,3482.0,3448,3456.0,3641.0,3453.0,3448.0,3349,3436,3454.0,3280,2972,2835,3664,3648.0,3623,3466
3501,3664.0,3583.0,3632,3330,3586,3627,3210,3488.0,3447,3453.0,3648.0,3458.0,3448.0,3349,3436,3454.0,3280,2972,2835,3664,3641.0,3626,3472
3495,3667.0,3584.0,3632,3333,3586,3627,3210,3488.0,3447,3453.0,3648.0,3458.0,3448.0,3351,3440,3455.0,3282,2977,2837,3666,3642.0,3626,3476
3495,3667.0,3584.0,3632,3333,3580,3637,3220,3484.0,3442,3454.0,3638.0,3454.0,3455.0,3350,3449,3452.0,3290,2972,2832,3671,3644.0,3629,3480
3498,3661.0,3581.0,3631,3328,3581,3636,3223,3483.0,3443,3459.0,3643.0,3457.0,3445.0,3350,3442,3454.0,3290,2972,2832,3671,3644.0,3629,3480
3493,3665.0,3582.0,3626,3329,3583,3632,3215,3482.0,3443,3459.0,3643.0,3457.0,3445.0,3350,3442,3454.0,3288,2974,2836,3662,3625.0,3619,3474
3497,3665.0,3582.0,3626,3329,3583,3632,3215,3482.0,3446,3459.0,3646.0,3459.0,3448.0,3345,3438,3454.0,3295,2972,2837,3667,3640.0,3630,3480
3497,3661.0,3590.0,3630,3321,3585,3637,3224,3490.0,3452,3460.0,3646.0,3461.0,3445.0,3346,3443,3456.0,3296,2975,2832,3659,3640.0,3630,3480
3493,3670.0,3584.0,3626,3320,3582,3631,3239,3485.0,3442,3461.0,3645.0,3459.0,3445.0,3346,3443,3456.0,3296,2975,2832,3659,3644.0,3625,3479
3500,3663.0,3579.0,3632,3315,3582,3631,3239,3485.0,3442,3461.0,3645.0,3459.0,3450.0,3342,3448,3455.0,3300,2978,2830,3664,3636.0,3631,3474
3500,3663.0,3579.0,3632,3315,3583,3630,3247,3492.0,3446,3460.0,3648.0,3461.0,3435.0,3340,3443,3455.0,3304,2972,2824,3658,3644.0,3627,3472
3491,3658.0,3581.0,3636,3314,3591,3629,3252,3493.0,3447,3463.0,3639.0,3459.0,3444.0,3340,3442,3454.0,3304,2972,2824,3658,3644.0,3627,3472
3490,3667.0,3588.0,3634,3312,3581,3638,3257,3488.0,3447,3463.0,3639.0,3459.0,3444.0,3340,3442,3454.0,3302,2972,2836,3664,3645.0,3629,3465
3495,3667.0,3588.0,3634,3312,3581,3638,3257,3488.0,3450,3460.0,3648.0,3464.0,3450.0,3339,3441,3455.0,3307,2965,2834,3669,3640.0,3626,3471
3495,3660.0,3581.0,3639,3302,3582,3636,3263,3491.0,3445,3465.0,3650.0,3459.0,3447.0,3342,3440,3457.0,3304,2973,2829,3662,3640.0,3626,3471
3496,3669.0,3580.0,3636,3302,3577,3639,3267,3490.0,3452,3460.0,3632.0,3461.0,3447.0,3342,3440,3457.0,3304,2973,2829,3662,3641.0,3619,3469
3497,3669.0,3580.0,3634,3294,3577,3639,3267,3490.0,3452,3460.0,3632.0,3461.0,3445.0,3337,3446,3455.0,3307,2980,2833,3662,3642.0,3618,3463
3497,3669.0,3580.0,3634,3294,3585,3638,3275,3490.0,3447,3464.0,3642.0,3466.0,3449.0,3338,3443,3453.0,3316,2973,2836,3666,3638.0,3626,3464
3501,3666.0,3583.0,3636,3290,3582,3637,3276,3498.0,3442,3467.0,3655.0,3465.0,3449.0,3332,3443,3455.0,3316,2973,2836,3666,3638.0,3626,3464
3496,3664.0,3579.0,3626,3295,3577,3638,3280,3495.0,3442,3467.0,3655.0,3465.0,3449.0,3332,3443,3455.0,3310,2975,2832,3660,3645.0,3619,3466
3503,3664.0,3579.0,3626,3295,3577,3638,3280,3495.0,3441,3463.0,3643.0,3464.0,3451.0,3339,3438,3451.0,3324,2980,2834,3659,3646.0,3628,3458
3503,3666.0,3580.0,3623,3289,3582,3636,3287,3488.0,3436,3463.0,3646.0,3469.0,3447.0,3331,3440,3458.0,3323,2976,2825,3662,3646.0,3628,3458
3494,3663.0,3583.0,3630,3288,3581,3634,3279,3489.0,3440,3468.0,3653.0,3467.0,3447.0,3331,3440,3458.0,3323,2976,2825,3662,3638.0,3621,3465
3497,3659.0,3587.0,3632,3282,3581,3634,3279,3489.0,3440,3468.0,3653.0,3467.0,3445.0,3326,3446,3452.0,3329,2973,2831,3664,3642.0,3624,3465
3497,3659.0,3587.0,3632,3282,3582,3635,3295,3494.0,3451,3464.0,3646.0,3468.0,3450.0,3329,3440,3457.0,3327,2974,2832,3658,3634.0,3624,3466
3506,3664.0,3586.0,3640,3274,3581,3640,3296,3491.0,3447,3467.0,3647.0,3465.0,3443.0,3331,3444,3458.0,3327,2974,2832,3658,3634.0,3624,3466
3505,3659.0,3583.0,3631,3271,3578,3638,3301,3472.0,3447,3467.0,3647.0,3465.0,3443.0,3331,3444,3458.0,3333,2972,2828,3663,3639.0,3627,3467
3502,3659.0,3583.0,3631,3271,3578,3638,3301,3472.0,3447,3465.0,3622.0,3468.0,3443.0,3327,3444,3458.0,3330,2978,2831,3662,3646.0,3625,3462
3502,3657.0,3583.0,3632,3265,3584,3644,3296,3496.0,3448,3464.0,3646.0,3473.0,3449.0,3326,3444,3457.0,3332,2981,2832,3666,3646.0,3625,3462
3498,3663.0,3584.0,3632,3259,3583,3624,3309,3492.0,3441,3463.0,3653.0,3468.0,3449.0,3326,3444,3457.0,3332,2981,2832,3666,3639.0,3623,3459
3502,3657.0,3582.0,3632,3263,3583,3624,3309,3492.0,3441,3463.0,3653.0,3468.0,3441.0,3329,3445,3455.0,3331,2980,2825,3661,3638.0,3626,3463
