ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3472,3656.0,3543,3628,3403,3533,3642.0,3326,3474,3420,3496,3664.0,3543,3477.0,3308,3549,3485,3257,2998,2887,3671.0,3648,3640,3481
3474,3653.0,3546,3626,3394,3528,3644.0,3326,3474,3420,3496,3664.0,3543,3477.0,3308,3541,3485,3256,2993,2891,3672.0,3649,3638,3480
3474,3653.0,3546,3626,3394,3528,3644.0,3333,3475,3414,3499,3651.0,3542,3483.0,3302,3545,3484,3256,2995,2881,3672.0,3643,3642,3483
3474,3657.0,3547,3628,3399,3534,3650.0,3329,3481,3419,3497,3661.0,3552,3482.0,3301,3546,3484,3247,2993,2881,3672.0,3643,3642,3483
3471,3661.0,3552,3631,3392,3533,3643.0,3324,3485,3417,3496,3661.0,3552,3482.0,3301,3546,3484,3247,2993,2891,3679.0,3647,3640,3481
3476,3653.0,3545,3631,3392,3533,3643.0,3324,3485,3417,3496,3668.0,3549,3475.0,3302,3547,3485,3236,2987,2891,3672.0,3650,3641,3481
3476,3653.0,3545,3628,3400,3537,3645.0,3323,3488,3417,3497,3662.0,3545,3480.0,3301,3545,3480,3226,2990,2886,3670.0,3652,3641,3481
3473,3661.0,3545,3624,3404,3538,3647.0,3323,3480,3413,3492,3660.0,3544,3486.0,3297,3545,3480,3226,2990,2886,3670.0,3652,3641,3471
3474,3663.0,3546,3633,3407,3538,3648.0,3323,3480,3413,3492,3660.0,3544,3486.0,3297,3544,3484,3231,2989,2888,3672.0,3650,3621,3482
3474,3663.0,3546,3633,3407,3538,3648.0,3325,3484,3421,3496,3664.0,3538,3485.0,3300,3543,3476,3233,2993,2888,3675.0,3646,3626,3483
3473,3664.0,3547,3627,3396,3542,3641.0,3323,3483,3422,3494,3657.0,3546,3482.0,3295,3546,3484,3220,2996,2888,3675.0,3646,3626,3483
3474,3659.0,3547,3625,3405,3536,3649.0,3325,3482,3418,3498,3657.0,3546,3482.0,3295,3546,3484,3220,2996,2890,3675.0,3646,3634,3478
3472,3638.2256863188777,3544,3625,3405,3536,3649.0,3325,3482,3418,3498,3661.0,3544,3488.0,3302,3539,3482,3223,2996,2887,3670.0,3646,3640,3481
3472,3638.2256863188777,3544,3629,3401,3538,3647.0,3319,3484,3416,3496,3665.0,3544,3485.0,3302,3544,3491,3227,2992,2884,3679.0,3646,3638,3481
3472,3656.0,3552,3631,3404,3536,3650.0,3319,3469,3417,3494,3661.0,3544,3479.0,3290,3544,3491,3227,2992,2884,3679.0,3646,3638,3476
3476,3662.0,3553,3622,3396,3540,3649.0,3319,3469,3417,3494,3661.0,3544,3479.0,3290,3544,3476,3230,2990,2890,3673.0,3641,3638,3477
3476,3662.0,3553,3622,3396,3540,3649.0,3311,3476,3420,3496,3666.0,3547,3480.0,3296,3544,3486,3231,2992,2892,3677.0,3651,3642,3480
3479,3662.0,3549,3634,3400,3542,3644.0,3305,3479,3419,3494,3666.0,3538,3474.0,3295,3544,3481,3236,2995,2892,3677.0,3651,3642,3480
3476,3658.0,3547,3630,3394,3535,3646.0,3320,3482,3418,3496,3666.0,3538,3474.0,3295,3544,3481,3236,2995,2878,3671.0,3651,3645,3470
3480,3662.0,3553,3630,3394,3535,3646.0,3320,3482,3418,3496,3658.0,3543,3482.0,3293,3544,3481,3212,2997,2890,3674.0,3650,3638,3476
3480,3662.0,3553,3630,3400,3537,3651.0,3328,3483,3417,3497,3661.0,3537,3456.118398749242,3292,3546,3481,3242,2986,2892,3671.0,3650,3630,3476
3479,3668.0,3549,3628,3395,3540,3643.0,3321,3481,3416,3501,3654.0,3545,3478.0,3292,3546,3481,3242,2986,2892,3671.0,3650,3630,3475
3477,3663.0,3550,3629,3390,3531,3652.0,3321,3481,3416,3501,3654.0,3545,3478.0,3292,3552,3481,3235,2993,2885,3672.0,3648,3639,3458
3477,3663.0,3550,3629,3390,3531,3652.0,3328,3480,3415,3498,3659.0,3546,3480.0,3288,3537,3482,3252,2975,2888,3677.0,3647,3636,3476
3481,3663.0,3548,3632,3392,3533,3647.0,3338,3482,3418,3504,3668.0,3549,3481.0,3283,3540,3479,3256,2993,2888,3677.0,3647,3636,3476
3480,3663.0,3552,3630,3382,3539,3647.0,3337,3490,3411,3498,3668.0,3549,3481.0,3283,3540,3479,3256,2993,2886,3676.0,3644,3629,3472
3482,3663.0,3554,3630,3382,3539,3647.0,3337,3490,3411,3498,3663.0,3554,3480.0,3275,3542,3482,3252,2995,2885,3667.0,3647,3639,3461
3482,3663.0,3554,3638,3381,3538,3650.0,3342,3483,3411,3502,3662.0,3551,3478.0,3275,3547,3487,3263,2993,2887,3677.0,3650,3631,3461
3482,3664.0,3550,3620,3384,3538,3649.0,3344,3480,3400,3498,3666.0,3550,3472.0,3270,3547,3487,3263,2993,2887,3677.0,3650,3631,3469
3489,3659.0,3550,3631,3368,3538,3649.0,3344,3480,3400,3498,3666.0,3550,3472.0,3270,3538,3483,3269,2995,2878,3673.0,3645,3630,3469
3489,3659.0,3550,3631,3368,3538,3649.0,3355,3489,3419,3501,3666.0,3548,3483.0,3270,3542,3482,3275,2997,2885,3675.0,3645,3637,3468
3485,3664.0,3544,3637,3386,3540,3654.0,3351,3472,3420,3502,3672.0,3540,3488.0,3268,3545,3486,3282,2998,2885,3675.0,3645,3637,3468
3485,3655.0,3554,3628,3386,3537,3650.0,3345,3484,3412,3504,3672.0,3540,3488.0,3268,3545,3486,3282,2998,2887,3671.0,3652,3633,3462
3489,3658.0,3557,3628,3386,3537,3650.0,3345,3484,3412,3504,3664.0,3549,3468.0,3266,3542,3488,3284,2996,2885,3673.0,3645,3640,3461
3489,3658.0,3557,3631,3378,3533,3650.0,3356,3484,3413,3509,3666.0,3544,3476.0,3266,3546,3480,3291,2997,2877,3673.0,3651,3634,3461
3490,3664.0,3553,3631,3381,3533,3643.0,3357,3483,3412,3503,3660.0,3552,3479.0,3264,3546,3480,3291,2997,2877,3673.0,3651,3634,3462
3482,3668.0,3555,3633,3376,3539,3646.0,3357,3483,3412,3503,3660.0,3552,3479.0,3264,3544,3480,3287,3000,2883,3667.0,3651,3635,3462
3482,3668.0,3555,3633,3376,3539,3646.0,3356,3489,3419,3501,3669.0,3546,3472.0,3259,3540,3485,3289,2994,2882,3675.0,3645,3638,3463
3487,3657.0,3554,3628,3385,3544,3649.0,3361,3486,3417,3497,3666.0,3545,3475.0,3261,3540,3482,3269,2999,2882,3675.0,3645,3638,3463
3481,3665.0,3555,3624,3383,3536,3648.0,3357,3484,3408,3499,3666.0,3545,3475.0,3261,3540,3482,3269,2999,2882,3669.0,3648,3630,3448
3477,3662.0,3556,3624,3383,3536,3648.0,3357,3484,3408,3499,3664.0,3539,3479.0,3269,3536,3488,3275,2996,2887,3673.0,3643,3638,3460
3477,3662.0,3556,3629,3390,3541,3650.0,3358,3483,3412,3504,3670.0,3540,3482.0,3276,3548,3486,3272,2996,2884,3673.0,3643,3633,3460
3484,3664.0,3552,3635,3386,3538,3645.0,3349,3484,3413,3498,3664.0,3551,3478.0,3274,3548,3486,3272,2996,2884,3673.0,3643,3633,3467
3480,3662.0,3546,3627,3391,3533,3648.0,3349,3484,3413,3498,3664.0,3551,3478.0,3274,3546,3482,3268,2995,2885,3672.0,3645,3635,3464
3480,3662.0,3546,3627,3391,3533,3648.0,3351,3484,3409,3504,3660.0,3550,3481.0,3283,3545,3489,3262,2993,2886,3675.0,3638,3634,3473
3478,3663.0,3544,3626,3389,3539,3648.0,3350,3484,3412,3498,3671.0,3544,3481.0,3282,3548,3488,3263,2994,2886,3675.0,3638,3634,3473
3476,3662.0,3552,3625,3400,3539,3650.0,3344,3486,3413,3501,3671.0,3544,3481.0,3282,3548,3488,3263,2994,2881,3669.0,3654,3635,3473
3451,3659.0,3553,3625,3400,3539,3650.0,3344,3486,3413,3501,3666.0,3549,3480.0,3285,3548,3490,3261,2998,2881,3655.0,3652,3642,3475
3451,3659.0,3553,3620,3401,3530,3652.0,3349,3474,3413,3500,3665.0,3552,3486.0,3293,3545,3485,3265,2993,2888,3669.0,3650,3638,3475
3476,3666.0,3542,3635,3403,3530,3647.0,3349,3482,3412,3498,3663.0,3546,3469.0,3294,3545,3485,3265,2993,2888,3669.0,3650,3638,3476
3476,3656.0,3541,3632,3396,3523,3644.0,3349,3482,3412,3498,3663.0,3546,3469.0,3294,3542,3492,3263,2993,2877,3672.0,3656,3638,3471
3476,3656.0,3541,3632,3396,3523,3644.0,3346,3486,3416,3502,3666.0,3549,3480.0,3299,3558,3487,3258,2999,2887,3667.0,3654,3645,3477
3477,3662.0,3545,3626,3403,3533,3650.0,3342,3479,3417,3499,3662.0,3542,3487.0,3299,3547,3480,3254,2990,2887,3667.0,3654,3645,3477
3468,3670.0,3542,3628,3400,3532,3640.0,3342,3480,3417,3502,3662.0,3542,3487.0,3299,3547,3480,3254,2990,2889,3674.0,3649,3630,3478
3475,3658.0,3542,3628,3400,3532,3640.0,3342,3480,3417,3502,3657.0,3541,3483.0,3301,3547,3488,3242,2998,2885,3673.0,3648,3641,3480
3475,3658.0,3542,3627,3404,3531,3645.0,3336,3483,3412,3499,3651.0,3545,3486.0,3309,3511,3482,3244,2995,2887,3673.0,3651,3639,3480
3478,3662.0,3540,3626,3407,3525,3647.0,3336,3480,3406,3496,3668.0,3546,3486.0,3307,3511,3482,3244,2995,2887,3673.0,3651,3639,3474
3476,3659.0,3544,3626,3398,3531,3645.0,3336,3480,3406,3496,3668.0,3546,3486.0,3307,3542,3480,3242,2996,2887,3676.0,3646,3642,3481
3476,3659.0,3544,3626,3398,3531,3645.0,3328,3481,3410,3498,3662.0,3547,3489.0,3306,3544,3487,3243,2995,2887,3653.703024222397,3645,3642,3475
