ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3469,3664,3510.0,3583,3202,3505,3547,2946,3454,3411,3543.0,3683.0,3608,3528.0,3413,3606.0,3529.0,3361,3022.0,2925.0,3677.0,3643,3658,3472
3476,3659,3519.0,3571,3207,3511,3544,2946,3454,3411,3543.0,3683.0,3608,3528.0,3413,3604.0,3535.0,3353,3023.0,2922.0,3682.0,3640,3661,3477
3476,3659,3519.0,3571,3207,3511,3544,2948,3440,3411,3542.0,3689.0,3613,3529.0,3406,3604.0,3540.0,3358,3021.0,2925.0,3677.0,3636,3660,3481
3464,3661,3517.0,3578,3204,3506,3540,2948,3441,3426,3540.0,3696.0,3613,3521.0,3399,3609.0,3538.0,3356,3018.0,2925.0,3677.0,3636,3660,3481
3472,3664,3519.0,3587,3199,3511,3540,2946,3437,3407,3543.0,3696.0,3613,3521.0,3399,3609.0,3538.0,3356,3018.0,2922.0,3677.0,3643,3656,3479
3482,3660,3512.0,3587,3199,3511,3540,2946,3437,3407,3543.0,3693.0,3610,3528.0,3397,3602.0,3537.0,3363,3003.372121245654,2923.0,3682.0,3640,3656,3479
3482,3660,3512.0,3584,3199,3505,3544,2945,3436,3411,3548.0,3686.0,3612,3531.0,3409,3617.0,3537.0,3357,3022.0,2923.0,3683.0,3648,3657,3479
3474,3645,3517.0,3584,3197,3494,3540,2934,3433,3423,3549.0,3680.0,3608,3534.0,3400,3617.0,3537.0,3357,3022.0,2923.0,3683.0,3648,3657,3479
3472,3663,3505.0,3589,3195,3507,3546,2934,3433,3423,3549.0,3680.0,3608,3534.0,3400,3613.0,3541.0,3342,3019.0,2922.0,3679.0,3648,3663,3485
3472,3663,3505.0,3589,3195,3507,3546,2925,3438,3415,3546.0,3692.0,3616,3525.0,3410,3613.0,3540.0,3345,3027.0,2926.0,3680.0,3642,3662,3476
3466,3670,3514.0,3583,3202,3498,3532,2881,3438,3414,3542.0,3692.0,3614,3534.0,3407,3612.0,3538.0,3346,3023.0,2926.0,3680.0,3642,3662,3476
3470,3657,3516.0,3583,3199,3497,3539,2921,3438,3418,3547.0,3692.0,3614,3534.0,3407,3612.0,3538.0,3346,3023.0,2927.0,3679.0,3640,3656,3468
3469,3664,3514.0,3583,3199,3497,3539,2921,3438,3418,3547.0,3685.0,3610,3534.0,3402,3613.0,3542.0,3350,3020.0,2922.0,3680.0,3643,3657,3472
3469,3664,3514.0,3579,3200,3496,3533,2926,3438,3412,3549.0,3685.0,3616,3531.0,3401,3615.0,3539.0,3338,3019.0,2924.0,3680.0,3650,3662,3472
3468,3662,3512.0,3581,3201,3497,3539,2929,3436,3408,3548.0,3690.0,3615,3531.0,3404,3615.0,3539.0,3338,3019.0,2924.0,3680.0,3650,3662,3472
3469,3661,3503.0,3583,3198,3494,3541,2929,3436,3408,3548.0,3690.0,3615,3531.0,3404,3611.0,3537.0,3349,3025.0,2925.0,3686.0,3636,3662,3479
3469,3661,3503.0,3583,3198,3494,3541,2931,3432,3410,3551.0,3688.0,3614,3530.0,3406,3612.0,3534.0,3341,3024.0,2926.0,3688.0,3637,3652,3472
3468,3659,3510.0,3583,3200,3498,3538,2931,3436,3419,3555.0,3697.0,3614,3530.0,3406,3608.0,3540.0,3344,3022.0,2926.0,3688.0,3637,3652,3472
3467,3652,3505.0,3582,3194,3499,3537,2935,3438,3408,3551.0,3697.0,3614,3530.0,3406,3608.0,3540.0,3344,3022.0,2925.0,3683.0,3630,3661,3479
3467,3660,3513.0,3582,3194,3499,3537,2935,3438,3408,3551.0,3696.0,3615,3528.0,3400,3612.0,3539.0,3347,3019.0,2921.0,3682.0,3642,3654,3480
3467,3660,3513.0,3586,3194,3494,3539,2936,3442,3413,3550.0,3692.0,3618,3530.0,3396,3615.0,3540.0,3345,3023.0,2925.0,3675.0,3646,3660,3480
3469,3654,3510.0,3580,3204,3490,3544,2936,3433,3413,3550.0,3688.0,3622,3533.0,3391,3615.0,3540.0,3345,3023.0,2925.0,3675.0,3646,3660,3480
3463,3644,3504.0,3582,3202,3492,3538,2936,3433,3413,3550.0,3688.0,3622,3533.0,3391,3616.0,3544.0,3345,3019.0,2927.0,3681.0,3640,3660,3479
3463,3644,3504.0,3582,3202,3492,3538,2937,3442,3410,3550.0,3686.0,3614,3532.0,3399,3618.0,3544.0,3334,3013.0,2925.0,3674.0,3643,3658,3470
3466,3658,3503.0,3582,3198,3490,3542,2944,3438,3413,3548.0,3697.0,3620,3525.0,3404,3620.0,3537.0,3339,3022.0,2925.0,3674.0,3643,3658,3470
3472,3660,3503.0,3583,3198,3485,3522,2949,3431,3410,3550.0,3697.0,3620,3525.0,3404,3620.0,3537.0,3339,3022.0,2926.0,3685.0,3645,3659,3477
3464,3661,3505.0,3583,3198,3485,3522,2949,3431,3410,3550.0,3689.0,3605,3532.0,3405,3616.0,3538.0,3342,3020.0,2921.0,3679.0,3639,3658,3477
3464,3661,3505.0,3576,3198,3478,3533,2952,3435,3402,3552.0,3683.0,3621,3533.0,3406,3617.0,3531.0,3337,3020.0,2920.0,3688.0,3639,3658,3477
3465,3667,3502.0,3583,3190,3478,3529,2960,3436,3406,3551.0,3682.0,3622,3539.0,3406,3617.0,3531.0,3337,3020.0,2920.0,3688.0,3639,3658,3477
3467,3658,3502.0,3582,3192,3479,3535,2960,3436,3406,3551.0,3682.0,3622,3539.0,3406,3608.0,3538.0,3351,3003.372121245654,2925.0,3678.0,3641,3663,3482
3467,3658,3502.0,3582,3192,3479,3535,2966,3432,3406,3558.0,3690.0,3624,3532.0,3412,3616.0,3539.0,3345,3021.0,2928.0,3682.0,3640,3654,3487
3467,3663,3496.0,3578,3187,3480,3535,2970,3429,3402,3548.0,3682.0,3614,3532.0,3407,3618.0,3528.0,3348,3023.0,2928.0,3682.0,3640,3654,3487
3466,3658,3506.0,3577,3176,3488,3534,2976,3432,3398,3554.0,3682.0,3614,3532.0,3407,3618.0,3528.0,3348,3023.0,2923.0,3689.0,3644,3655,3480
3467,3653,3499.0,3577,3176,3488,3534,2976,3432,3398,3554.0,3694.0,3624,3533.0,3408,3625.0,3543.0,3356,3024.0,2923.0,3682.0,3633,3660,3478
3467,3653,3499.0,3571,3178,3486,3534,2970,3429,3402,3552.0,3701.0,3620,3537.0,3403,3617.0,3542.0,3350,3024.0,2917.0,3659.0197088114423,3637,3666,3478
3468,3657,3496.0,3576,3163,3482,3532,2976,3425,3392,3557.0,3694.0,3626,3531.0,3416,3617.0,3542.0,3350,3024.0,2917.0,3659.0197088114423,3637,3666,3479
3468,3662,3500.0,3569,3166,3480,3530,2976,3425,3392,3557.0,3694.0,3626,3531.0,3416,3615.0,3539.0,3355,3025.0,2920.0,3683.0,3638,3664,3482
3468,3662,3500.0,3569,3166,3480,3530,2984,3430,3392,3558.0,3696.0,3626,3538.0,3404,3614.0,3541.0,3352,3018.0,2921.0,3678.0,3638,3659,3478
3472,3668,3504.0,3576,3163,3481,3529,2988,3432,3392,3556.0,3693.0,3617,3524.0,3408,3614.0,3540.0,3353,3022.0,2921.0,3678.0,3638,3659,3478
3474,3662,3502.0,3576,3162,3483,3529,2988,3428,3395,3557.0,3693.0,3617,3524.0,3408,3614.0,3540.0,3353,3022.0,2917.0,3682.0,3639,3655,3469
3474,3665,3507.0,3576,3162,3483,3529,2988,3428,3395,3557.0,3696.0,3622,3534.0,3409,3619.0,3541.0,3355,3021.0,2918.0,3681.0,3645,3659,3474
3474,3665,3507.0,3576,3157,3489,3534,2991,3436,3392,3558.0,3690.0,3611,3534.0,3414,3614.0,3545.0,3358,3009.0,2920.0,3680.0,3641,3656,3474
3472,3658,3508.0,3576,3155,3488,3525,2998,3437,3394,3562.0,3690.0,3618,3534.0,3405,3614.0,3545.0,3358,3009.0,2920.0,3680.0,3641,3656,3475
3476,3661,3505.0,3581,3154,3475,3529,2998,3437,3394,3562.0,3690.0,3618,3534.0,3405,3617.0,3541.0,3356,3020.0,2917.0,3683.0,3645,3657,3470
3476,3661,3505.0,3581,3154,3475,3529,2994,3431,3382,3552.0,3684.0,3618,3536.0,3406,3614.0,3538.0,3350,3024.0,2921.0,3682.0,3632,3659,3472
3474,3662,3505.0,3575,3145,3477,3527,2998,3429,3390,3555.0,3698.0,3618,3534.0,3405,3613.0,3534.0,3362,3025.0,2921.0,3682.0,3632,3659,3472
3479,3664,3505.0,3576,3137,3482,3527,2998,3433,3387,3544.0,3698.0,3618,3534.0,3405,3613.0,3534.0,3362,3025.0,2920.0,3685.0,3639,3664,3472
3475,3663,3507.0,3576,3137,3482,3527,2998,3433,3387,3544.0,3695.0,3618,3539.0,3397,3612.0,3542.0,3356,3021.0,2921.0,3680.0,3639,3661,3475
3475,3663,3507.0,3576,3139,3485,3530,3006,3434,3383,3560.0,3692.0,3615,3542.0,3411,3617.0,3541.0,3357,3025.0,2920.0,3681.0,3641,3662,3475
3479,3668,3504.0,3569,3137,3484,3533,3010,3429,3378,3559.0,3692.0,3625,3526.0,3405,3617.0,3541.0,3357,3025.0,2920.0,3681.0,3641,3662,3471
3475,3658,3503.0,3574,3138,3487,3528,3010,3429,3378,3559.0,3692.0,3625,3526.0,3405,3613.0,3536.0,3356,3027.0,2913.0,3681.0,3642,3653,3472
3475,3658,3503.0,3574,3138,3487,3528,3007,3426,3395,3561.0,3695.0,3620,3533.0,3410,3620.0,3539.0,3360,3022.0,2916.0,3684.0,3644,3660,3473
3481,3661,3502.0,3567,3133,3483,3528,3017,3424,3387,3561.0,3694.0,3625,3539.0,3407,3614.0,3543.0,3363,3022.0,2916.0,3684.0,3644,3660,3473
