ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3414,3625,3501,3603,3400,3519,3656,3420,3516,3455.0,3482,3658,3562.0,3485.0,3256,3563.0,3476.0,3328,3012.0,2905.0,3654.0,3628,3622,3459
3414,3625,3501,3603,3400,3511,3656,3422,3519,3461.0,3482,3655,3564.0,3483.0,3264,3564.0,3482.0,3328,3012.0,2901.0,3659.0,3626,3626,3475
3410,3627,3500,3598,3394,3519,3658,3422,3517,3448.0,3487,3651,3569.0,3491.0,3259,3549.0,3487.0,3328,3012.0,2901.0,3659.0,3626,3626,3475
3407,3623,3502,3594,3390,3523,3647,3415,3511,3448.0,3487,3651,3569.0,3491.0,3259,3549.0,3487.0,3324,3013.0,2894.0,3656.0,3625,3618,3466
3410,3623,3502,3594,3390,3523,3647,3415,3511,3465.0,3466,3658,3562.0,3468.0,3257,3558.0,3487.0,3322,3011.0,2901.0,3655.0,3623,3626,3468
3410,3629,3505,3601,3395,3524,3651,3415,3522,3460.0,3481,3654,3564.0,3486.0,3242,3564.0,3488.0,3323,3012.0,2901.0,3647.0,3623,3626,3468
3412,3629,3494,3600,3397,3518,3655,3411,3514,3462.0,3485,3652,3561.0,3486.0,3242,3564.0,3488.0,3323,3012.0,2901.0,3647.0,3627,3626,3471
3408,3632,3507,3600,3391,3518,3655,3411,3514,3462.0,3485,3652,3561.0,3478.0,3260,3561.0,3485.0,3325,3010.0,2898.0,3652.0,3627,3627,3465
3408,3632,3507,3600,3391,3526,3652,3419,3513,3460.0,3479,3661,3552.0,3478.0,3256,3561.0,3482.0,3292,3010.0,2896.0,3655.0,3624,3626,3463
3408,3624,3508,3602,3391,3524,3653,3415,3519,3462.0,3480,3643,3559.0,3482.0,3256,3558.0,3484.0,3292,3010.0,2896.0,3655.0,3624,3626,3463
3415,3632,3499,3606,3393,3525,3657,3426,3517,3462.0,3480,3643,3559.0,3482.0,3256,3558.0,3484.0,3319,3007.0,2905.0,3648.0,3626,3627,3462
3410,3632,3499,3606,3393,3525,3657,3426,3517,3462.0,3481,3655,3553.0,3475.0,3256,3558.0,3485.0,3332,3016.0,2897.0,3651.0,3630,3631,3464
3410,3628,3506,3600,3394,3527,3654,3421,3520,3466.0,3480,3656,3560.0,3489.0,3261,3557.0,3480.0,3330,3015.0,2901.0,3653.0,3630,3631,3464
3411,3623,3502,3602,3390,3510,3653,3418,3519,3470.0,3480,3640,3560.0,3489.0,3261,3557.0,3480.0,3330,3015.0,2901.0,3653.0,3624,3622,3447
3412,3624,3502,3600,3389,3510,3653,3418,3519,3470.0,3480,3640,3560.0,3482.0,3260,3552.0,3481.0,3335,3009.0,2903.0,3650.0,3615,3624,3463
3412,3624,3502,3600,3389,3521,3655,3424,3517,3464.0,3482,3657,3562.0,3484.0,3256,3556.0,3493.0,3332,3010.0,2905.0,3648.0,3631,3631,3466
3408,3632,3501,3592,3394,3520,3655,3425,3511,3464.0,3478,3642,3561.0,3486.0,3248,3554.0,3488.0,3332,3010.0,2905.0,3648.0,3631,3631,3466
3408,3634,3488,3592,3393,3517,3655,3426,3524,3464.0,3478,3642,3561.0,3486.0,3248,3554.0,3488.0,3331,3011.0,2902.0,3649.0,3630,3628,3460
3414,3634,3488,3592,3393,3517,3655,3426,3524,3454.0,3483,3654,3562.0,3484.0,3258,3560.0,3484.0,3330,3014.0,2904.0,3653.0,3624,3625,3462
3414,3624,3497,3594,3390,3524,3655,3422,3517,3459.0,3482,3654,3563.0,3478.0,3252,3558.0,3486.0,3330,3013.0,2903.0,3657.0,3624,3625,3462
3406,3620,3498,3604,3389,3525,3658,3419,3509,3467.0,3478,3656,3565.0,3478.0,3252,3558.0,3486.0,3330,3013.0,2903.0,3657.0,3628,3630,3465
3411,3625,3500,3592,3385,3525,3658,3419,3509,3467.0,3478,3656,3565.0,3480.0,3253,3562.0,3485.0,3334,3010.0,2901.0,3659.0,3624,3627,3465
3411,3625,3500,3592,3385,3525,3658,3430,3521,3454.0,3480,3657,3562.0,3483.0,3250,3562.0,3485.0,3330,3012.0,2902.0,3648.0,3621,3621,3464
3410,3628,3497,3601,3390,3519,3651,3426,3520,3468.0,3480,3656,3562.0,3472.0,3245,3564.0,3483.0,3330,3012.0,2902.0,3648.0,3621,3621,3464
3413,3616,3504,3597,3390,3518,3660,3429,3512,3468.0,3480,3656,3562.0,3472.0,3245,3564.0,3483.0,3335,3004.0,2900.0,3649.0,3624,3624,3465
3404,3616,3504,3597,3390,3518,3660,3429,3512,3466.0,3480,3640,3560.0,3482.0,3236,3562.0,3489.0,3333,3009.0,2902.0,3650.0,3629,3619,3466
3404,3626,3497,3595,3392,3518,3658,3434,3516,3463.0,3483,3649,3565.0,3483.0,3248,3562.0,3483.0,3328,3010.0,2904.0,3646.0,3629,3619,3466
3400,3630,3496,3595,3389,3519,3658,3433,3520,3463.0,3480,3651,3563.0,3483.0,3248,3562.0,3483.0,3328,3010.0,2904.0,3646.0,3625,3623,3454
3406,3620,3500,3596,3390,3519,3658,3433,3520,3463.0,3480,3651,3563.0,3481.0,3246,3562.0,3485.0,3329,3006.0,2901.0,3649.0,3626,3627,3454
3406,3620,3500,3596,3390,3517,3656,3431,3517,3468.0,3481,3653,3566.0,3483.0,3243,3562.0,3483.0,3322,3015.0,2907.0,3648.0,3625,3624,3452
3405,3627,3502,3588,3391,3520,3649,3437,3518,3463.0,3480,3642,3565.0,3485.0,3241,3557.0,3483.0,3322,3015.0,2907.0,3648.0,3625,3624,3452
3400,3627,3498,3592,3396,3520,3656,3429,3520,3463.0,3480,3642,3565.0,3485.0,3241,3557.0,3483.0,3328,3010.0,2908.0,3649.0,3619,3619,3466
3402,3627,3498,3592,3396,3520,3656,3429,3520,3463.0,3483,3651,3565.0,3482.0,3237,3564.0,3474.0,3331,3012.0,2907.0,3655.0,3618,3613,3464
