ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3418,3625.0,3455.0,3589,3438,3453,3637.0,3414,3485,3391,3549,3670,3613,3501.0,3197,3603,3452,3197,2987,2899,3660,3639.0,3639.0,3478
3423,3635.0,3456.0,3597,3440,3449,3629.0,3414,3485,3391,3549,3670,3613,3501.0,3197,3605,3449,3188,2986,2895,3661,3635.0,3640.0,3470
3423,3635.0,3456.0,3597,3440,3449,3629.0,3421,3482,3391,3547,3674,3614,3502.0,3203,3614,3449,3188,2996,2896,3668,3636.0,3638.0,3474
3426,3639.0,3462.0,3590,3434,3451,3630.0,3425,3488,3393,3545,3674,3609,3484.4330861258154,3202,3605,3442,3191,2991,2896,3668,3636.0,3638.0,3474
3418,3634.0,3458.0,3595,3433,3449,3631.0,3423,3484,3388,3544,3674,3609,3484.4330861258154,3202,3605,3442,3191,2991,2896,3671,3636.0,3643.0,3482
3418,3635.0,3456.0,3595,3433,3449,3631.0,3423,3484,3388,3544,3673,3616,3495.0,3206,3604,3449,3181,2993,2899,3666,3629.0,3641.0,3478
3418,3635.0,3456.0,3592,3440,3445,3636.0,3424,3486,3382,3543,3684,3589,3500.0,3208,3571,3449,3184,2992,2898,3665,3636.0,3641.0,3478
3422,3640.0,3454.0,3591,3439,3450,3636.0,3428,3485,3386,3546,3684,3618,3500.0,3209,3571,3449,3184,2992,2898,3665,3636.0,3641.0,3472
3425,3639.0,3458.0,3588,3434,3452,3636.0,3428,3485,3386,3546,3684,3618,3500.0,3209,3604,3445,3182,2993,2898,3664,3636.0,3637.0,3482
3425,3639.0,3458.0,3588,3434,3452,3636.0,3426,3482,3391,3542,3672,3616,3502.0,3206,3606,3452,3171,2988,2896,3671,3641.0,3640.0,3478
3422,3638.0,3461.0,3594,3437,3448,3636.0,3425,3482,3393,3545,3676,3622,3501.0,3213,3608,3450,3179,2989,2896,3671,3641.0,3640.0,3478
3421,3635.0,3455.0,3579,3440,3454,3633.0,3407,3480,3391,3541,3676,3622,3501.0,3213,3608,3450,3179,2989,2896,3662,3625.0,3642.0,3480
3420,3632.0,3460.0,3579,3440,3454,3633.0,3407,3480,3391,3541,3686,3616,3497.0,3213,3602,3444,3178,2987,2897,3670,3631.0,3644.0,3484
3420,3632.0,3460.0,3596,3445,3455,3639.0,3422,3490,3390,3546,3679,3614,3498.0,3222,3604,3451,3172,2984,2897,3659,3640.0,3644.0,3484
3415,3636.0,3451.0,3590,3443,3457,3626.0,3418,3482,3389,3541,3675,3618,3502.0,3219,3604,3451,3172,2984,2897,3659,3640.0,3644.0,3484
3425,3630.0,3460.0,3586,3442,3453,3634.0,3418,3482,3389,3541,3675,3618,3502.0,3219,3611,3452,3163,2980,2897,3665,3629.0,3639.0,3483
3425,3630.0,3460.0,3586,3442,3453,3634.0,3417,3483,3391,3548,3678,3612,3501.0,3222,3603,3446,3157,2988,2892,3668,3635.0,3640.0,3486
3418,3631.0,3456.0,3591,3441,3452,3628.0,3411,3482,3391,3544,3679,3615,3495.0,3229,3602,3447,3154,2984,2892,3668,3635.0,3640.0,3486
3416,3641.0,3456.0,3591,3442,3448,3630.0,3418,3478,3393,3542,3679,3615,3495.0,3229,3602,3447,3154,2984,2890,3677,3641.0,3648.0,3493
3414,3628.0,3457.0,3591,3442,3448,3630.0,3418,3478,3393,3542,3674,3617,3503.0,3230,3611,3444,3152,2990,2898,3665,3637.0,3640.0,3488
3414,3628.0,3457.0,3593,3442,3454,3634.0,3412,3480,3388,3548,3683,3619,3501.0,3235,3606,3449,3146,2971,2894,3669,3634.0,3646.0,3488
