ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3329,3542,3445,3528,3284,3452,3587.0,3374,3444.0,3351.0,3383,3554.0,3467,3329,2700,3471,3369,3249,2957,2832,3542.0,3511.0,3441,3248
3331,3543,3441,3530,3289,3448,3589.0,3373,3446.0,3351.0,3383,3554.0,3467,3329,2700,3471,3369,3250,2954,2833,3533.0,3507.0,3442,3240
3334,3543,3441,3530,3289,3448,3589.0,3373,3446.0,3356.0,3385,3549.0,3459,3318,2709,3464,3374,3248,2959,2830,3538.0,3506.0,3442,3242
3334,3532,3448,3532,3284,3453,3588.0,3377,3446.0,3364.0,3388,3540.0,3455,3324,2695,3461,3374,3244,2958,2830,3511.4519189585612,3506.0,3442,3242
3331,3540,3453,3531,3284,3451,3593.0,3380,3445.0,3363.0,3387,3541.0,3460,3324,2695,3461,3374,3244,2958,2830,3511.4519189585612,3508.0,3441,3241
3322,3542,3447,3529,3291,3451,3593.0,3380,3445.0,3363.0,3387,3541.0,3460,3323,2696,3462,3368,3250,2962,2834,3540.0,3512.0,3438,3238
3322,3542,3447,3529,3291,3455,3568.5396868981907,3387,3448.0,3362.0,3383,3553.0,3458,3315,2694,3458,3360,3252,2958,2828,3537.0,3514.0,3441,3231
3331,3547,3446,3529,3286,3448,3594.0,3380,3449.0,3362.0,3388,3547.0,3460,3322,2692,3457,3366,3252,2958,2828,3537.0,3514.0,3441,3231
3332,3545,3444,3533,3286,3445,3588.0,3386,3444.0,3362.0,3388,3547.0,3460,3322,2692,3457,3366,3251,2957,2833,3536.0,3512.0,3438,3226
3330,3545,3444,3533,3286,3445,3588.0,3386,3444.0,3359.0,3385,3542.0,3461,3319,2693,3459,3368,3250,2959,2833,3539.0,3496.0,3439,3241
3330,3549,3447,3529,3281,3451,3585.0,3388,3451.0,3357.0,3386,3554.0,3459,3319,2688,3462,3370,3256,2955,2833,3541.0,3496.0,3439,3241
3337,3545,3444,3527,3289,3447,3589.0,3385,3445.0,3358.0,3381,3539.0,3453,3319,2688,3462,3370,3256,2955,2833,3541.0,3510.0,3441,3239
3331,3545,3447,3527,3292,3447,3589.0,3385,3445.0,3358.0,3381,3539.0,3453,3311,2688,3459,3368,3256,2958,2831,3544.0,3510.0,3435,3243
3331,3545,3447,3527,3292,3454,3589.0,3384,3444.0,3362.0,3382,3550.0,3456,3314,2682,3452,3368,3252,2956,2828,3537.0,3492.0,3438,3243
3331,3538,3446,3528,3284,3452,3589.0,3376,3441.0,3362.0,3380,3550.0,3453,3317,2674,3454,3368,3252,2956,2828,3537.0,3492.0,3438,3243
3336,3551,3451,3534,3296,3455,3592.0,3384,3450.0,3362.0,3380,3550.0,3453,3317,2674,3454,3368,3257,2953,2832,3539.0,3504.0,3442,3247
