ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3423,3638,3490,3603,3398.0,3507,3680,3515,3537.0,3459,3539,3688,3604,3532.0,3412,3587,3546,3489.0,3038,2914,3675.0,3641,3657,3472
3428,3638,3498,3599,3392.0,3504,3675,3510,3535.0,3459,3539,3687,3601,3524.0,3416,3593,3554,3491.0,3038,2914,3675.0,3641,3657,3472
3427,3647,3494,3598,3397.0,3509,3668,3513,3539.0,3458,3537,3687,3601,3524.0,3416,3593,3554,3491.0,3038,2909,3676.0,3635,3656,3475
3426,3643,3495,3598,3397.0,3509,3668,3513,3539.0,3458,3537,3669,3600,3528.0,3415,3585,3546,3478.0,3037,2909,3678.0,3641,3660,3461
3426,3643,3495,3594,3408.0,3507,3667,3513,3540.0,3455,3532,3691,3602,3532.0,3416,3583,3548,3486.0,3041,2916,3667.0,3637,3653,3461
3425,3640,3497,3603,3410.0,3505,3668,3515,3536.0,3458,3538,3681,3607,3526.0,3414,3583,3548,3486.0,3041,2916,3667.0,3637,3653,3480
3432,3646,3498,3600,3408.0,3507,3676,3515,3536.0,3458,3538,3681,3607,3526.0,3414,3583,3535,3494.0,3045,2914,3678.0,3635,3643,3475
3432,3646,3498,3600,3408.0,3507,3676,3512,3539.0,3462,3534,3683,3602,3528.0,3413,3582,3552,3491.0,3040,2913,3672.0,3630,3653,3476
3426,3643,3498,3602,3411.0,3506,3673,3513,3541.0,3451,3538,3682,3604,3524.0,3414,3587,3544,3488.0,3040,2913,3672.0,3630,3653,3476
3427,3643,3496,3600,3406.0,3508,3672,3514,3537.0,3457,3536,3682,3604,3524.0,3414,3587,3544,3488.0,3040,2904,3672.0,3631,3630,3475
3428,3640,3502,3600,3406.0,3508,3672,3514,3537.0,3457,3536,3686,3610,3522.0,3417,3586,3545,3490.0,3036,2913,3674.0,3637,3649,3472
3428,3640,3502,3604,3407.0,3512,3675,3518,3524.724971570579,3464,3534,3686,3602,3523.0,3410,3585,3546,3489.0,3035,2914,3671.0,3625,3653,3472
3434,3635,3495,3593,3407.0,3509,3674,3514,3533.0,3462,3537,3684,3609,3525.0,3408,3585,3546,3489.0,3035,2914,3671.0,3625,3653,3471
3427,3645,3497,3608,3409.0,3508,3670,3514,3533.0,3462,3537,3684,3609,3525.0,3408,3589,3552,3494.0,3042,2913,3672.0,3638,3651,3472
3427,3645,3497,3608,3409.0,3508,3670,3509,3537.0,3467,3538,3683,3598,3514.0,3408,3586,3549,3497.0,3035,2912,3677.0,3633,3650,3462
3430,3644,3503,3604,3408.0,3516,3666,3519,3537.0,3466,3533,3681,3596,3521.0,3404,3584,3546,3497.0,3040,2912,3677.0,3633,3650,3462
3433,3646,3512,3606,3408.0,3519,3671,3510,3540.0,3466,3535,3681,3596,3521.0,3404,3584,3546,3497.0,3040,2912,3668.0,3633,3653,3469
3430,3647,3512,3606,3408.0,3519,3671,3510,3540.0,3466,3535,3678,3594,3511.0,3400,3583,3545,3488.0,3042,2914,3672.0,3636,3652,3466
3430,3647,3512,3611,3411.0,3517,3674,3525,3544.0,3472,3530,3675,3599,3523.0,3397,3581,3544,3487.0,3040,2908,3678.0,3633,3652,3466
3431,3642,3513,3610,3410.0,3495,3675,3527,3542.0,3460,3531,3680,3590,3521.0,3400,3581,3544,3487.0,3040,2908,3678.0,3633,3652,3458
3433,3643,3511,3607,3413.0,3532,3677,3527,3542.0,3460,3531,3680,3590,3521.0,3400,3574,3548,3501.0,3030,2910,3674.0,3633,3647,3461
3433,3643,3511,3607,3413.0,3532,3677,3528,3542.0,3470,3536,3677,3597,3519.0,3399,3577,3513,3490.0,3040,2910,3669.0,3632,3647,3459
3431,3648,3513,3611,3398.0,3525,3678,3526,3539.0,3475,3528,3681,3597,3520.0,3387,3579,3540,3489.0,3038,2910,3669.0,3632,3647,3459
