ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3103,3392,2421,2815,3045,2484,3272,3384,3341,3109,3609.0,3655.0,3687,3519.0,3339,3680.0,3560,3481,3031.0,2926.0,3546.0,3367,3509,3236
3103,3392,2421,2815,3045,2484,3272,3385,3334,3104,3609.0,3655.0,3689,3526.0,3341,3673.0,3555,3473,3035.0,2933.0,3542.0,3366,3511,3225
3094,3384,2402,2794,3039,2462,3269,3381,3332,3094,3604.0,3666.0,3689,3531.0,3345,3679.0,3551,3488,3026.0,2933.0,3542.0,3366,3511,3225
3089,3381,2384,2773,3035,2443,3254,3377,3328,3095,3601.0,3666.0,3689,3531.0,3345,3679.0,3551,3488,3026.0,2930.0,3540.0,3361,3515,3239
3078,3374,2378,2773,3035,2443,3254,3377,3328,3095,3601.0,3669.0,3691,3534.0,3346,3676.0,3560,3474,3033.0,2934.0,3539.0,3360,3505,3234
3078,3374,2378,2764,3030,2431,3248,3380,3328,3095,3604.0,3662.0,3693,3526.0,3347,3672.0,3564,3479,3031.0,2930.0,3538.0,3364,3515,3234
3071,3369,2369,2744,3033,2422,3248,3374,3325,3080,3606.0,3662.0,3690,3521.0,3355,3672.0,3564,3479,3031.0,2930.0,3538.0,3364,3515,3242
3064,3373,2364,2750,3035,2422,3247,3374,3325,3080,3606.0,3662.0,3690,3521.0,3355,3677.0,3552,3483,3030.0,2922.0,3532.0,3364,3502,3245
3064,3373,2364,2750,3035,2422,3247,3369,3326,3096,3609.0,3663.0,3690,3530.0,3355,3678.0,3558,3481,3034.0,2931.0,3540.0,3358,3518,3251
3059,3362,2359,2748,3039,2418,3246,3376,3315,3094,3605.0,3663.0,3688,3526.0,3358,3677.0,3558,3482,3026.0,2931.0,3540.0,3358,3518,3251
3055,3354,2355,2743,3040,2413,3246,3371,3322,3087,3604.0,3663.0,3688,3526.0,3358,3677.0,3558,3482,3026.0,2933.0,3538.0,3354,3520,3256
3046,3349,2351,2743,3040,2413,3246,3371,3322,3087,3604.0,3661.0,3690,3528.0,3360,3681.0,3560,3488,3035.0,2931.0,3538.0,3360,3521,3257
3046,3349,2351,2742,3040,2406,3239,3368,3325,3096,3609.0,3662.0,3689,3519.0,3362,3679.0,3558,3476,3033.0,2931.0,3542.0,3366,3518,3257
3042,3353,2348,2736,3038,2401,3232,3375,3324,3096,3606.0,3662.0,3690,3530.0,3367,3679.0,3558,3476,3033.0,2931.0,3542.0,3366,3518,3249
3037,3356,2345,2728,3042,2396,3232,3375,3324,3096,3606.0,3662.0,3690,3530.0,3367,3679.0,3562,3482,3037.0,2933.0,3534.0,3363,3520,3260
3037,3356,2345,2728,3042,2396,3232,3364,3323,3092,3608.0,3661.0,3689,3504.4385819288764,3371,3682.0,3560,3484,3035.0,2934.0,3536.0,3365,3523,3261
3026,3354,2338,2723,3037,2390,3236,3371,3323,3093,3600.0,3672.0,3689,3528.0,3368,3677.0,3559,3476,3032.0,2934.0,3536.0,3365,3523,3261
3024,3350,2339,2712,3040,2391,3229,3376,3324,3087,3600.0,3672.0,3689,3528.0,3368,3677.0,3559,3476,3032.0,2932.0,3537.0,3361,3521,3252
3020,3349,2334,2712,3040,2391,3229,3376,3324,3087,3600.0,3658.0,3694,3529.0,3372,3681.0,3557,3483,3032.0,2930.0,3536.0,3360,3522,3255
3020,3349,2334,2719,3037,2387,3235,3379,3321,3089,3605.0,3664.0,3688,3537.0,3367,3681.0,3558,3481,3033.0,2931.0,3535.0,3359,3523,3255
3025,3349,2332,2716,3038,2386,3236,3377,3315,3095,3602.0,3653.0,3693,3531.0,3364,3681.0,3558,3481,3033.0,2931.0,3535.0,3359,3523,3265
3022,3348,2336,2712,3042,2388,3236,3377,3315,3095,3602.0,3653.0,3693,3531.0,3364,3678.0,3557,3476,3036.0,2932.0,3542.0,3328,3515,3261
3022,3348,2336,2712,3042,2388,3236,3373,3324,3092,3604.0,3662.0,3690,3531.0,3372,3684.0,3559,3480,3035.0,2932.0,3537.0,3342,3512,3261
3022,3346,2334,2718,3043,2398,3240,3367,3324,3093,3602.0,3661.0,3692,3519.0,3371,3674.0,3554,3489,3032.0,2932.0,3537.0,3342,3512,3261
3021,3343,2334,2728,3040,2405,3242,3377,3328,3104,3600.0,3661.0,3692,3519.0,3371,3674.0,3554,3489,3032.0,2928.0,3531.0,3361,3521,3262
3026,3344,2335,2728,3040,2405,3242,3377,3328,3104,3600.0,3664.0,3690,3526.0,3370,3680.0,3557,3486,3035.0,2931.0,3527.0,3362,3524,3260
3026,3344,2335,2732,3045,2396,3246,3380,3324,3100,3601.0,3665.0,3695,3530.0,3367,3679.0,3563,3488,3032.0,2928.0,3536.0,3356,3520,3260
3025,3346,2334,2725,3049,2398,3237,3375,3325,3092,3604.0,3661.0,3692,3524.0,3373,3679.0,3563,3488,3032.0,2928.0,3536.0,3356,3520,3266
3029,3352,2338,2736,3057,2398,3243,3375,3325,3092,3604.0,3661.0,3692,3524.0,3373,3677.0,3554,3485,3032.0,2923.0,3533.0,3362,3525,3274
3029,3352,2338,2736,3057,2398,3243,3381,3320,3100,3605.0,3661.0,3689,3524.0,3379,3680.0,3557,3484,3034.0,2928.0,3540.0,3368,3523,3267
3032,3357,2346,2751,3066,2409,3252,3376,3331,3099,3602.0,3660.0,3690,3533.0,3376,3675.0,3566,3488,3026.0,2928.0,3540.0,3368,3523,3267
3047,3354,2353,2763,3079,2417,3261,3384,3331,3102,3605.0,3660.0,3690,3533.0,3376,3675.0,3566,3488,3026.0,2932.0,3540.0,3368,3521,3276
