ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3314.0,3574,2855,3274,3124,2437,2978,2847,3054,2846,3605.0,3686.0,3676,3552.0,3389.0,3670.0,3545,3278,2993,2923.0,3641,3569,3636,3442.0
3308.0,3574,2855,3274,3124,2437,2978,2847,3054,2845,3604.0,3680.0,3667,3546.0,3392.0,3673.0,3542,3276,3008,2918.0,3644,3567,3646,3442.0
3308.0,3567,2856,3277,3129,2444,2982,2849,3053,2849,3604.0,3680.0,3673,3547.0,3394.0,3670.0,3544,3282,3010,2924.0,3646,3567,3646,3442.0
3307.0,3574,2856,3276,3132,2443,2986,2853,3058,2852,3598.0,3691.0,3681,3547.0,3394.0,3670.0,3544,3282,3010,2924.0,3646,3565,3643,3434.0
3308.0,3569,2854,3273,3142,2443,2986,2853,3058,2852,3598.0,3691.0,3681,3552.0,3397.0,3665.0,3546,3296,3002,2917.0,3646,3560,3635,3445.0
3308.0,3569,2854,3273,3142,2447,2988,2857,3058,2849,3600.0,3696.0,3678,3548.0,3405.0,3670.0,3537,3297,3007,2925.0,3648,3565,3643,3436.0
3309.0,3567,2862,3277,3136,2454,2993,2855,3066,2854,3595.0,3690.0,3674,3547.0,3400.0,3674.0,3548,3297,3007,2925.0,3648,3565,3643,3436.0
3306.0,3572,2862,3274,3148,2451,2998,2865,3065,2854,3595.0,3690.0,3674,3547.0,3400.0,3674.0,3548,3293,3010,2923.0,3642,3566,3643,3447.0
3305.0,3572,2862,3274,3148,2451,2998,2865,3065,2848,3597.0,3694.0,3676,3539.0,3400.0,3676.0,3537,3295,3006,2916.0,3640,3570,3638,3448.0
3305.0,3571,2853,3271,3143,2450,2993,2865,3064,2853,3602.0,3694.0,3674,3549.0,3406.0,3671.0,3546,3295,3006,2918.0,3647,3570,3638,3448.0
3305.0,3565,2813,3274,3137,2447,2994,2867,3060,2858,3600.0,3690.0,3669,3549.0,3406.0,3671.0,3546,3295,3006,2918.0,3647,3566,3640,3445.0
3309.0,3565,2845,3269,3135,2447,2994,2867,3060,2858,3600.0,3690.0,3669,3546.0,3407.0,3672.0,3543,3299,3003,2922.0,3648,3564,3639,3440.0
3309.0,3565,2845,3269,3135,2441,2994,2868,3064,2855,3604.0,3688.0,3680,3540.0,3398.0,3669.0,3542,3299,3010,2927.0,3642,3568,3644,3446.0
3306.0,3553,2848,3277,3131,2439,2985,2868,3065,2854,3597.0,3690.0,3672,3542.0,3405.0,3669.0,3550,3299,3010,2927.0,3642,3568,3644,3446.0
3305.0,3562,2842,3270,3124,2436,2976,2885,3066,2854,3597.0,3690.0,3672,3542.0,3405.0,3669.0,3550,3294,3007,2923.0,3643,3570,3642,3438.0
3306.0,3562,2842,3270,3124,2436,2976,2885,3066,2852,3598.0,3686.0,3669,3552.0,3406.0,3673.0,3548,3295,3014,2922.0,3646,3569,3646,3443.0
3306.0,3564,2836,3264,3122,2429,2972,2891,3069,2846,3603.0,3685.0,3669,3550.0,3410.0,3675.0,3547,3296,3007,2922.0,3648,3569,3646,3443.0
3306.0,3569,2834,3260,3106,2421,2974,2894,3070,2851,3602.0,3681.0,3675,3550.0,3410.0,3675.0,3547,3296,3007,2922.0,3648,3566,3644,3444.0
3305.0,3564,2829,3262,3108,2421,2974,2894,3070,2851,3602.0,3681.0,3675,3546.0,3409.0,3670.0,3550,3292,3009,2922.0,3645,3571,3637,3445.0
3305.0,3564,2829,3262,3108,2411,2973,2907,3072,2840,3597.0,3691.0,3666,3549.0,3406.0,3669.0,3551,3293,3012,2922.0,3641,3569,3642,3442.0
3305.0,3566,2814,3253,3098,2405,2965,2911,3073,2845,3600.0,3692.0,3677,3551.0,3406.0,3664.0,3542,3293,3012,2922.0,3641,3569,3642,3442.0
3302.0,3566,2811,3244,3089,2400,2962,2914,3073,2845,3600.0,3692.0,3677,3551.0,3406.0,3664.0,3542,3302,3009,2922.0,3648,3561,3629,3441.0
3305.0,3566,2811,3244,3089,2400,2962,2914,3073,2847,3593.0,3680.0,3673,3548.0,3393.0,3669.0,3549,3291,3008,2922.0,3646,3565,3636,3443.0
3305.0,3565,2812,3252,3082,2399,2962,2915,3076,2853,3595.0,3690.0,3674,3548.0,3401.0,3674.0,3544,3300,3006,2920.0,3641,3565,3636,3443.0
3302.0,3563,2806,3238,3091,2397,2955,2897,3072,2848,3600.0,3696.0,3675,3548.0,3401.0,3674.0,3544,3300,3006,2920.0,3641,3548,3641,3439.0
3301.0,3547,2798,3244,3088,2397,2955,2897,3072,2848,3600.0,3696.0,3675,3540.0,3398.0,3667.0,3540,3300,3011,2914.0,3645,3560,3633,3439.0
3301.0,3547,2798,3244,3088,2391,2945,2892,3071,2851,3601.0,3691.0,3675,3545.0,3406.0,3670.0,3548,3299,3006,2923.0,3636,3563,3640,3434.0
3298.0,3560,2791,3240,3085,2388,2933,2883,3066,2844,3601.0,3690.0,3678,3548.0,3404.0,3670.0,3548,3299,3006,2923.0,3636,3563,3640,3434.0
3297.0,3552,2793,3235,3084,2381,2928,2867,3056,2844,3601.0,3690.0,3678,3548.0,3404.0,3670.0,3548,3306,3006,2921.0,3639,3559,3638,3439.0
3293.0,3552,2793,3235,3084,2381,2928,2867,3056,2847,3598.0,3686.0,3675,3547.0,3401.0,3669.0,3551,3306,3005,2924.0,3638,3560,3641,3440.0
3293.0,3559,2786,3240,3084,2379,2926,2852,3057,2850,3602.0,3693.0,3677,3548.0,3405.0,3678.0,3549,3303,3014,2906.625990683994,3644,3560,3641,3440.0
3295.0,3560,2787,3239,3086,2375,2918,2853,3053,2844,3602.0,3685.0,3677,3548.0,3405.0,3678.0,3549,3303,3014,2906.625990683994,3644,3560,3642,3434.0
3289.0,3551,2784,3237,3086,2375,2918,2853,3053,2844,3602.0,3685.0,3677,3548.0,3408.0,3669.0,3552,3299,3010,2921.0,3646,3563,3642,3438.0
3289.0,3551,2784,3237,3086,2371,2914,2841,3053,2848,3602.0,3691.0,3677,3544.0,3407.0,3674.0,3552,3309,2994,2924.0,3642,3557,3638,3429.0
3297.0,3558,2782,3238,3082,2371,2911,2843,3050,2846,3594.0,3661.7904328593936,3670,3549.0,3400.0,3669.0,3547,3309,2994,2924.0,3642,3557,3638,3429.0
3293.0,3555,2784,3234,3093,2370,2907,2846,3050,2846,3594.0,3661.7904328593936,3670,3549.0,3400.0,3669.0,3547,3301,3011,2922.0,3637,3550,3639,3435.0
3293.0,3555,2784,3234,3093,2370,2907,2846,3050,2842,3592.0,3686.0,3670,3548.0,3401.0,3674.0,3548,3305,3014,2922.0,3641,3559,3643,3434.0
3293.0,3562,2783,3237,3099,2369,2915,2841,3050,2844,3602.0,3686.0,3672,3549.0,3409.0,3672.0,3546,3307,3013,2922.0,3639,3559,3643,3434.0
3292.0,3555,2774,3236,3091,2367,2913,2843,3042,2849,3598.0,3681.0,3674,3549.0,3409.0,3672.0,3546,3307,3013,2922.0,3639,3558,3624,3438.0
3290.0,3554,2770,3233,3099,2367,2913,2843,3042,2849,3598.0,3681.0,3674,3549.0,3412.0,3664.0,3550,3313,3012,2924.0,3645,3556,3639,3438.0
3290.0,3554,2770,3233,3099,2363,2912,2845,3048,2845,3596.0,3686.0,3680,3548.0,3411.0,3660.0,3551,3316,3013,2923.0,3638,3548,3637,3439.0
3292.0,3558,2761,3223,3097,2358,2905,2852,3051,2841,3600.0,3690.0,3672,3537.0,3406.0,3669.0,3549,3316,3013,2923.0,3638,3548,3637,3439.0
3290.0,3548,2752,3226,3085,2354,2906,2855,3050,2841,3600.0,3690.0,3672,3537.0,3406.0,3669.0,3549,3316,3009,2918.0,3637,3559,3637,3440.0
3290.0,3548,2752,3226,3085,2354,2906,2855,3050,2843,3595.0,3687.0,3674,3547.0,3402.0,3669.0,3552,3317,3010,2919.0,3638,3550,3638,3439.0
3290.0,3550,2747,3212,3084,2350,2904,2860,3047,2835,3596.0,3687.0,3681,3556.0,3409.0,3669.0,3551,3319,3008,2920.0,3636,3550,3638,3439.0
3286.0,3547,2738,3214,3079,2340,2888,2860,3048,2832,3598.0,3690.0,3676,3556.0,3409.0,3669.0,3551,3319,3008,2920.0,3636,3549,3640,3437.0
3282.0,3559,2723,3209,3069,2340,2888,2860,3048,2832,3598.0,3690.0,3676,3539.0,3406.0,3668.0,3549,3311,3011,2920.0,3643,3555,3638,3425.0
3282.0,3559,2723,3209,3069,2338,2884,2864,3044,2833,3599.0,3687.0,3679,3544.0,3405.0,3671.0,3555,3309,3016,2924.0,3640,3557,3640,3428.0
3287.0,3551,2720,3206,3066,2331,2879,2872,3045,2832,3600.0,3685.0,3662,3549.0,3404.0,3675.0,3544,3309,3016,2924.0,3640,3557,3640,3428.0
3281.0,3542,2712,3199,3062,2320,2873,2876,3046,2832,3600.0,3685.0,3662,3549.0,3404.0,3675.0,3544,3308,3008,2916.0,3636,3550,3631,3432.0
3282.0,3542,2712,3199,3062,2320,2873,2876,3046,2827,3606.0,3683.0,3671,3554.0,3400.0,3670.0,3544,3315,3010,2924.0,3635,3550,3638,3433.0
3282.0,3554,2708,3192,3053,2314,2872,2885,3049,2825,3599.0,3677.0,3678,3550.0,3398.0,3665.0,3550,3298,3007,2921.0,3636,3550,3638,3433.0
3285.0,3552,2700,3191,3054,2319,2874,2892,3054,2823,3600.0,3692.0,3660,3550.0,3398.0,3665.0,3550,3298,3007,2921.0,3636,3548,3633,3426.0
3285.0,3549,2701,3193,3061,2319,2874,2892,3054,2823,3600.0,3692.0,3660,3554.0,3397.0,3656.0,3557,3313,3010,2923.0,3635,3552,3641,3430.0
3285.0,3549,2701,3193,3061,2325,2875,2885,3053,2831,3592.0,3678.0,3678,3553.0,3396.0,3670.0,3544,3313,3007,2922.0,3635,3553,3640,3430.0
3287.0,3548,2709,3202,3056,2326,2878,2876,3047,2827,3598.0,3682.0,3679,3544.0,3394.0,3668.0,3550,3313,3007,2922.0,3635,3553,3640,3430.0
3279.0,3555,2714,3194,3068,2334,2879,2869,3045,2827,3598.0,3682.0,3679,3544.0,3394.0,3668.0,3550,3313,3008,2923.0,3634,3537,3639,3434.0
3281.0,3555,2714,3194,3068,2334,2879,2869,3045,2832,3602.0,3697.0,3680,3539.0,3397.0,3669.0,3552,3316,3010,2925.0,3635,3547,3634,3432.0
3281.0,3556,2717,3202,3066,2335,2879,2853,3041,2828,3598.0,3689.0,3674,3546.0,3398.0,3671.0,3544,3317,3013,2919.0,3642,3547,3634,3432.0
3282.0,3550,2717,3209,3066,2338,2877,2853,3034,2825,3599.0,3692.0,3669,3546.0,3398.0,3671.0,3544,3317,3013,2919.0,3642,3558,3640,3432.0
3286.0,3554,2719,3206,3068,2338,2877,2853,3034,2825,3599.0,3692.0,3669,3550.0,3396.0,3665.0,3553,3316,3013,2924.0,3639,3546,3641,3436.0
3286.0,3554,2719,3206,3068,2337,2879,2847,3046,2836,3596.0,3690.0,3677,3553.0,3403.0,3672.0,3551,3318,3009,2924.0,3635,3554,3638,3429.0
3283.0,3536,2722,3209,3068,2341,2878,2833,3038,2836,3602.0,3680.0,3678,3545.0,3391.0,3673.0,3550,3318,3009,2924.0,3635,3554,3638,3429.0
3283.0,3552,2724,3206,3070,2338,2878,2843,3040,2836,3602.0,3680.0,3678,3545.0,3391.0,3673.0,3550,3312,3010,2922.0,3632,3556,3638,3418.0
3271.0,3552,2724,3206,3070,2338,2878,2843,3040,2841,3597.0,3686.0,3678,3547.0,3403.0,3672.0,3553,3323,3018,2925.0,3636,3552,3636,3435.0
3271.0,3548,2720,3205,3068,2337,2872,2840,3044,2839,3597.0,3685.0,3664,3556.0,3400.0,3674.0,3551,3322,3009,2921.0,3636,3552,3636,3435.0
3284.0,3546,2730,3210,3074,2331,2884,2824,3034,2829,3597.0,3687.0,3675,3556.0,3400.0,3674.0,3551,3322,3009,2921.0,3636,3556,3631,3434.0
3286.0,3557,2739,3212,3078,2331,2884,2824,3034,2829,3597.0,3687.0,3675,3544.0,3402.0,3674.0,3553,3320,3011,2923.0,3638,3553,3639,3425.0
3286.0,3557,2739,3212,3078,2336,2888,2836,3038,2835,3602.0,3677.0,3677,3551.0,3404.0,3673.0,3552,3313,3015,2926.0,3638,3556,3639,3433.0
3285.0,3556,2740,3213,3078,2344,2890,2846,3043,2836,3596.0,3693.0,3673,3549.0,3407.0,3669.0,3552,3313,3015,2926.0,3638,3556,3639,3433.0
3285.0,3552,2743,3216,3086,2344,2893,2847,3044,2836,3596.0,3693.0,3673,3549.0,3407.0,3669.0,3552,3319,3014,2924.0,3637,3552,3636,3440.0
3282.0,3552,2743,3216,3086,2344,2893,2847,3044,2837,3600.0,3681.0,3679,3548.0,3412.0,3672.0,3550,3311,3010,2925.0,3641,3558,3637,3441.0
3282.0,3554,2737,3212,3091,2344,2895,2849,3045,2840,3596.0,3688.0,3674,3547.0,3404.0,3667.0,3553,3311,3010,2923.0,3636,3558,3637,3441.0
3286.0,3541,2738,3216,3082,2346,2896,2845,3045,2837,3598.0,3696.0,3677,3547.0,3404.0,3667.0,3553,3311,3010,2923.0,3636,3539,3638,3432.0
3281.0,3553,2743,3213,3094,2346,2896,2845,3045,2837,3598.0,3696.0,3677,3548.0,3402.0,3668.0,3552,3310,3010,2922.0,3639,3547,3641,3440.0
3281.0,3553,2743,3213,3094,2347,2901,2858,3056,2845,3599.0,3687.0,3674,3549.0,3412.0,3670.0,3552,3310,3012,2925.0,3634,3558,3644,3440.0
3287.0,3557,2711,3218,3090,2353,2899,2873,3054,2850,3594.0,3690.0,3668,3549.0,3403.0,3673.0,3549,3310,3012,2925.0,3634,3558,3644,3440.0
3285.0,3552,2751,3221,3092,2358,2911,2883,3065,2850,3594.0,3690.0,3668,3549.0,3403.0,3673.0,3549,3312,3010,2921.0,3634,3556,3641,3437.0
3280.0,3552,2751,3221,3092,2358,2911,2883,3065,2855,3595.0,3690.0,3679,3550.0,3408.0,3676.0,3555,3310,3008,2913.0,3638,3557,3638,3437.0
3280.0,3545,2749,3219,3087,2354,2909,2882,3064,2854,3593.0,3684.0,3672,3545.0,3403.0,3673.0,3550,3306,3002,2923.0,3640,3557,3638,3437.0
3277.0,3557,2739,3216,3085,2349,2902,2881,3061,2854,3596.0,3683.0,3676,3545.0,3403.0,3673.0,3550,3306,3002,2923.0,3640,3556,3640,3441.0
3276.0,3554,2740,3217,3088,2349,2902,2881,3061,2854,3596.0,3683.0,3676,3550.0,3403.0,3671.0,3556,3307,3015,2924.0,3636,3553,3643,3432.0
3276.0,3554,2740,3217,3088,2353,2908,2885,3062,2854,3601.0,3688.0,3677,3548.0,3403.0,3670.0,3551,3299,3008,2919.0,3636,3560,3625,3427.0
3282.0,3551,2746,3219,3083,2355,2912,2882,3066,2856,3600.0,3684.0,3675,3546.0,3403.0,3671.0,3552,3299,3008,2919.0,3636,3560,3625,3427.0
3283.0,3555,2748,3212,3080,2360,2911,2889,3070,2856,3600.0,3684.0,3675,3546.0,3403.0,3671.0,3552,3302,3015,2922.0,3637,3546,3638,3430.0
3284.0,3555,2748,3212,3080,2360,2911,2889,3070,2862,3602.0,3683.0,3678,3552.0,3400.0,3673.0,3549,3301,3010,2924.0,3640,3547,3632,3430.0
