ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3317,3559,3079,3345,3347,3046,3518,3492,3440,3244,3624.0,3689,3695,3549.0,3460,3673.0,3581.0,3528,3044.0,2928,3624,3511,3582,3354
3320,3559,3091,3360,3353,3058,3525,3492,3440,3244,3624.0,3689,3695,3549.0,3460,3674.0,3580.0,3525,3048.0,2927,3629,3522,3582,3361
3320,3559,3091,3360,3353,3058,3525,3495,3438,3248,3622.0,3700,3695,3549.0,3468,3668.0,3581.0,3526,3048.0,2926,3627,3514,3583,3368
3318,3560,3084,3343,3362,3053,3521,3488,3440,3252,3620.0,3706,3698,3538.0,3464,3678.0,3576.0,3528,3046.0,2926,3627,3514,3583,3368
3312,3549,3068,3345,3361,3041,3519,3490,3447,3250,3621.0,3706,3698,3538.0,3464,3678.0,3576.0,3528,3046.0,2928,3632,3518,3592,3373
3305,3552,3056,3345,3361,3041,3519,3490,3447,3250,3621.0,3699,3695,3551.0,3475,3673.0,3572.0,3528,3048.0,2926,3619,3523,3594,3380
3305,3552,3056,3336,3366,3028,3518,3489,3437,3248,3624.0,3696,3698,3546.0,3478,3682.0,3577.0,3533,3044.0,2922,3629,3511,3595,3380
3300,3550,3038,3329,3357,3019,3512,3477,3442,3242,3621.0,3700,3695,3527.4193023914627,3476,3682.0,3577.0,3533,3044.0,2922,3629,3511,3595,3381
3296,3545,3027,3327,3356,3007,3507,3477,3442,3242,3621.0,3700,3695,3527.4193023914627,3476,3670.0,3578.0,3532,3048.0,2921,3630,3515,3597,3371
3296,3545,3027,3327,3356,3007,3507,3487,3442,3240,3627.0,3700,3697,3548.0,3479,3674.0,3583.0,3530,3051.0,2926,3624,3513,3594,3377
3295,3541,3015,3314,3354,2997,3507,3493,3440,3240,3624.0,3695,3699,3559.0,3473,3675.0,3575.0,3521,3051.0,2926,3624,3513,3594,3377
3290,3540,3015,3317,3347,3000,3506,3485,3434,3241,3624.0,3695,3699,3559.0,3473,3675.0,3575.0,3521,3051.0,2920,3623,3517,3598,3380
3292,3540,3023,3317,3347,3000,3506,3485,3434,3241,3624.0,3688,3694,3547.0,3480,3678.0,3582.0,3523,3045.0,2930,3624,3506,3589,3368
3292,3540,3023,3313,3355,3001,3506,3488,3439,3242,3616.0,3688,3691,3551.0,3470,3669.0,3579.0,3523,3047.0,2929,3617,3494,3582,3368
3290,3542,3022,3314,3345,3006,3508,3491,3435,3237,3622.0,3696,3689,3550.0,3467,3669.0,3579.0,3523,3047.0,2929,3617,3494,3582,3362
3291,3538,3031,3312,3338,3020,3511,3491,3435,3237,3622.0,3696,3689,3550.0,3467,3667.0,3573.0,3528,3045.0,2930,3620,3497,3584,3346
3291,3538,3031,3312,3338,3020,3511,3491,3436,3242,3621.0,3682,3700,3551.0,3467,3673.0,3578.0,3525,3049.0,2929,3614,3501,3580,3344
3295,3542,3043,3319,3344,3028,3514,3487,3439,3248,3624.0,3703,3694,3550.0,3465,3677.0,3582.0,3527,3050.0,2929,3614,3501,3580,3344
3296,3540,3048,3316,3344,3039,3515,3479,3440,3250,3616.0,3703,3694,3550.0,3465,3677.0,3582.0,3527,3050.0,2929,3620,3483,3579,3347
3302,3539,3058,3316,3344,3039,3515,3479,3440,3250,3616.0,3698,3696,3555.0,3469,3667.0,3585.0,3533,3044.0,2926,3618,3496,3574,3338
3302,3539,3058,3328,3340,3043,3517,3489,3434,3249,3618.0,3697,3695,3546.0,3473,3673.0,3580.0,3529,3049.0,2926,3624,3498,3572,3338
3305,3544,3064,3324,3342,3053,3521,3495,3441,3250,3620.0,3701,3697,3556.0,3464,3673.0,3580.0,3529,3049.0,2926,3624,3498,3572,3331
3309,3547,3071,3329,3342,3057,3521,3495,3441,3250,3620.0,3701,3697,3556.0,3464,3672.0,3585.0,3525,3054.0,2930,3618,3501,3574,3322
3309,3547,3071,3329,3342,3057,3521,3494,3441,3252,3620.0,3696,3697,3536.0,3462,3680.0,3577.0,3534,3049.0,2924,3619,3497,3569,3317
3299,3544,3067,3332,3340,3050,3518,3486,3440,3254,3619.0,3704,3696,3549.0,3465,3673.0,3582.0,3522,3048.0,2924,3619,3497,3569,3317
3305,3542,3070,3329,3341,3054,3524,3492,3446,3253,3622.0,3704,3696,3549.0,3465,3673.0,3582.0,3522,3048.0,2929,3620,3494,3573,3323
3305,3544,3071,3329,3341,3054,3524,3492,3446,3253,3622.0,3694,3685,3549.0,3462,3674.0,3579.0,3533,3038.0,2928,3612,3497,3572,3331
3305,3544,3071,3326,3352,3050,3514,3496,3445,3252,3621.0,3699,3693,3557.0,3467,3671.0,3575.0,3525,3042.0,2928,3617,3498,3568,3331
3304,3543,3065,3329,3352,3045,3526,3494,3443,3242,3617.0,3692,3686,3550.0,3470,3671.0,3575.0,3525,3042.0,2928,3617,3498,3568,3331
3297,3539,3056,3304,3346,3032,3518,3494,3443,3242,3617.0,3692,3686,3550.0,3470,3663.0,3579.0,3529,3032.099687053841,2929,3617,3496,3577,3336
3297,3539,3056,3304,3346,3032,3518,3497,3441,3253,3621.0,3689,3700,3548.0,3466,3669.0,3578.0,3533,3048.0,2933,3616,3486,3574,3330
3288,3538,3031,3305,3330,3028,3513,3489,3441,3246,3586.638974167888,3691,3696,3550.0,3458,3680.0,3582.0,3527,3050.0,2933,3616,3486,3574,3330
