ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3356.0,3595,3141,3386,3173,3029,3388,3250,3365,3224,3629.0,3715.0,3697,3566,3365,3691.0,3568,3392,3044,2953.0,3668,3583.0,3659.0,3451.0
3366.0,3595,3141,3386,3173,3029,3388,3250,3365,3231,3624.0,3714.0,3697,3568,3368,3694.0,3565,3395,3038,2945.0,3677,3597.0,3664.0,3455.0
3366.0,3606,3143,3400,3176,3035,3390,3248,3368,3229,3628.0,3709.0,3698,3563,3370,3695.0,3567,3393,3044,2957.0,3675,3597.0,3664.0,3455.0
3362.0,3612,3145,3396,3180,3038,3395,3259,3362,3229,3625.0,3716.0,3703,3563,3370,3695.0,3567,3393,3044,2957.0,3675,3603.0,3663.0,3448.0
3373.0,3602,3151,3400,3181,3038,3395,3259,3362,3229,3625.0,3716.0,3703,3572,3372,3693.0,3567,3394,3035,2957.0,3669,3603.0,3671.0,3449.0
3373.0,3602,3151,3400,3181,3042,3389,3258,3365,3229,3632.0,3717.0,3698,3571,3372,3692.0,3569,3396,3040,2956.0,3672,3608.0,3659.0,3446.0
3369.0,3611,3156,3401,3182,3050,3400,3256,3367,3233,3625.0,3708.0,3700,3573,3373,3696.0,3571,3396,3040,2956.0,3672,3608.0,3659.0,3446.0
3363.0,3608,3162,3392,3179,3056,3392,3258,3371,3233,3625.0,3708.0,3700,3573,3373,3696.0,3571,3390,3046,2958.0,3674,3602.0,3663.0,3445.0
3370.0,3608,3162,3392,3179,3056,3392,3258,3371,3235,3626.0,3709.0,3698,3567,3370,3699.0,3572,3388,3044,2957.0,3680,3599.0,3667.0,3456.0
3370.0,3614,3155,3397,3184,3058,3399,3252,3368,3235,3630.0,3714.0,3697,3572,3374,3690.0,3554,3394,3039,2959.0,3674,3599.0,3667.0,3456.0
3368.0,3611,3154,3400,3186,3053,3404,3253,3370,3239,3622.0,3713.0,3702,3572,3374,3690.0,3554,3394,3039,2959.0,3674,3600.0,3662.0,3452.0
3371.0,3613,3162,3403,3188,3053,3404,3253,3370,3239,3622.0,3713.0,3702,3570,3372,3688.0,3564,3386,3041,2960.0,3667,3605.0,3666.0,3453.0
3371.0,3613,3162,3403,3188,3060,3400,3252,3365,3228,3624.0,3716.0,3698,3567,3371,3689.0,3569,3393,3046,2962.0,3676,3594.0,3662.0,3446.0
3368.0,3612,3162,3390,3182,3060,3400,3249,3366,3230,3626.0,3719.0,3696,3562,3363,3690.0,3567,3393,3046,2962.0,3676,3594.0,3662.0,3446.0
3377.0,3611,3164,3402,3184,3059,3400,3246,3373,3230,3626.0,3719.0,3696,3562,3363,3690.0,3567,3393,3045,2952.0,3670,3602.0,3665.0,3454.0
3375.0,3611,3164,3402,3184,3059,3400,3246,3373,3238,3619.0,3718.0,3700,3566,3362,3691.0,3572,3396,3041,2956.0,3673,3597.0,3667.0,3453.0
3375.0,3611,3162,3408,3186,3056,3403,3252,3364,3217,3632.0,3713.0,3694,3566,3363,3695.0,3567,3394,3041,2950.0,3674,3597.0,3667.0,3453.0
3372.0,3608,3165,3407,3185,3059,3397,3233,3363,3237,3624.0,3705.0,3698,3566,3363,3695.0,3567,3394,3041,2950.0,3674,3603.0,3665.0,3452.0
3377.0,3614,3170,3408,3182,3059,3397,3233,3363,3237,3624.0,3705.0,3698,3571,3361,3693.0,3569,3386,3037,2955.0,3675,3604.0,3660.0,3447.0
3377.0,3614,3170,3408,3182,3056,3400,3245,3366,3232,3628.0,3714.0,3701,3567,3375,3692.0,3567,3394,3047,2956.0,3672,3601.0,3664.0,3451.0
3371.0,3618,3168,3402,3186,3052,3390,3248,3362,3230,3626.0,3712.0,3687,3570,3370,3691.0,3566,3394,3047,2956.0,3672,3601.0,3664.0,3451.0
3371.0,3613,3162,3404,3166,3049,3393,3248,3365,3230,3626.0,3712.0,3687,3570,3370,3691.0,3566,3397,3042,2958.0,3673,3606.0,3656.0,3448.0
3372.0,3613,3162,3404,3166,3049,3393,3248,3365,3234,3627.0,3715.0,3700,3568,3378,3692.0,3577,3395,3040,2955.0,3674,3600.0,3665.0,3448.0
3372.0,3616,3161,3394,3181,3051,3401,3250,3363,3232,3624.0,3706.0,3696,3568,3375,3697.0,3571,3397,3044,2959.0,3673,3600.0,3665.0,3448.0
3374.0,3616,3158,3394,3178,3048,3394,3250,3368,3225,3624.0,3712.0,3706,3568,3375,3697.0,3571,3397,3044,2959.0,3673,3602.0,3664.0,3455.0
3371.0,3611,3155,3400,3178,3048,3394,3250,3368,3225,3624.0,3712.0,3706,3569,3380,3688.0,3569,3398,3041,2958.0,3676,3598.0,3667.0,3455.0
3371.0,3611,3155,3400,3178,3044,3400,3248,3359,3233,3630.0,3709.0,3698,3567,3376,3696.0,3567,3400,3045,2958.0,3678,3609.0,3659.0,3451.0
3371.0,3612,3154,3406,3177,3048,3396,3252,3362,3230,3629.0,3716.0,3699,3566,3383,3680.0,3567,3400,3045,2958.0,3678,3609.0,3659.0,3451.0
3370.0,3612,3150,3393,3181,3042,3394,3241,3360,3230,3629.0,3716.0,3699,3566,3383,3680.0,3567,3398,3041,2958.0,3664,3577.183286564447,3664.0,3458.0
3372.0,3612,3150,3393,3181,3042,3394,3241,3360,3225,3624.0,3722.0,3698,3560,3376,3692.0,3561,3398,3040,2951.0,3681,3601.0,3667.0,3459.0
3372.0,3610,3152,3396,3183,3043,3395,3245,3364,3228,3627.0,3720.0,3702,3569,3371,3697.0,3570,3398,3043,2951.0,3667,3601.0,3667.0,3459.0
3370.0,3608,3146,3394,3180,3043,3398,3250,3358,3232,3625.0,3714.0,3698,3569,3371,3697.0,3570,3398,3043,2951.0,3667,3603.0,3667.0,3455.0
3369.0,3607,3155,3395,3185,3043,3398,3250,3358,3232,3625.0,3714.0,3698,3569,3385,3702.0,3570,3398,3037,2950.0,3671,3598.0,3662.0,3455.0
3369.0,3607,3155,3395,3185,3039,3396,3251,3361,3229,3623.0,3716.0,3698,3565,3386,3695.0,3571,3402,3044,2948.0,3676,3601.0,3664.0,3446.0
3367.0,3610,3148,3404,3182,3045,3392,3247,3368,3230,3629.0,3717.0,3699,3560,3388,3692.0,3575,3402,3044,2948.0,3676,3601.0,3664.0,3446.0
3364.0,3609,3154,3397,3184,3043,3392,3251,3362,3230,3629.0,3717.0,3699,3560,3388,3692.0,3575,3401,3041,2957.0,3672,3606.0,3670.0,3453.0
3366.0,3609,3154,3397,3184,3043,3392,3251,3362,3231,3624.0,3717.0,3698,3568,3383,3692.0,3573,3397,3038,2957.0,3672,3602.0,3668.0,3455.0
3366.0,3604,3144,3395,3177,3038,3400,3246,3364,3231,3627.0,3728.0,3694,3576,3387,3700.0,3574,3403,3037,2956.0,3671,3602.0,3668.0,3455.0
3365.0,3610,3140,3391,3176,3035,3396,3241,3363,3233,3626.0,3701.0,3697,3576,3387,3700.0,3574,3403,3037,2956.0,3671,3596.0,3668.0,3459.0
3363.0,3606,3134,3382,3178,3035,3396,3241,3363,3233,3626.0,3701.0,3697,3568,3382,3692.0,3567,3387,3039,2960.0,3676,3589.0,3661.0,3453.0
3363.0,3606,3134,3382,3178,3030,3384,3239,3359,3228,3620.0,3716.0,3700,3569,3381,3694.0,3570,3400,3042,2957.0,3672,3596.0,3672.0,3453.0
3364.0,3609,3132,3388,3178,3026,3387,3238,3361,3228,3622.0,3716.0,3699,3572,3386,3694.0,3562,3400,3042,2957.0,3672,3596.0,3672.0,3453.0
