ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3397,3626.0,3350,3534,3416,3319,3601,3493,3482,3324,3603.0,3706.0,3674,3514,3120,3670,3558.0,3521.0,3046.0,2931,3674.0,3611.0,3647.0,3443.0
3397,3626.0,3350,3534,3416,3319,3601,3505,3482,3319,3607.0,3706.0,3674,3515,3120,3666,3559.0,3515.0,3049.0,2929,3656.0,3621.0,3644.0,3441.0
3398,3626.0,3346,3540,3416,3312,3608,3506,3477,3316,3600.0,3706.0,3665,3521,3124,3662,3561.0,3521.0,3030.5815263336544,2929,3656.0,3621.0,3644.0,3441.0
3398,3626.0,3349,3531,3416,3316,3609,3503,3481,3322,3600.0,3706.0,3665,3521,3124,3662,3561.0,3521.0,3030.5815263336544,2930,3674.0,3606.0,3645.0,3442.0
3390,3622.0,3352,3531,3416,3316,3609,3503,3481,3322,3600.0,3706.0,3674,3522,3122,3666,3557.0,3518.0,3038.0,2935,3673.0,3618.0,3644.0,3441.0
3390,3622.0,3352,3537,3416,3315,3605,3491,3481,3328,3597.0,3696.0,3675,3522,3115,3672,3560.0,3505.0,3049.0,2932,3669.0,3624.0,3643.0,3441.0
3388,3634.0,3335,3540,3418,3305,3599,3508,3478,3326,3600.0,3699.0,3678,3526,3123,3672,3560.0,3505.0,3049.0,2932,3669.0,3624.0,3643.0,3437.0
3392,3625.0,3346,3539,3415,3305,3596,3508,3478,3326,3600.0,3699.0,3678,3526,3123,3673,3561.0,3515.0,3050.0,2933,3676.0,3621.0,3648.0,3440.0
3392,3625.0,3346,3539,3415,3305,3596,3506,3485,3326,3603.0,3702.0,3672,3524,3126,3672,3561.0,3520.0,3052.0,2934,3672.0,3621.0,3646.0,3430.0
3393,3622.0,3348,3535,3414,3307,3602,3510,3482,3326,3597.0,3695.0,3669,3520,3131,3669,3555.0,3508.0,3051.0,2934,3672.0,3621.0,3646.0,3430.0
3390,3626.0,3351,3526,3415,3306,3595,3507,3488,3319,3602.0,3695.0,3669,3520,3131,3669,3555.0,3508.0,3051.0,2931,3674.0,3623.0,3646.0,3436.0
3390,3630.0,3345,3526,3415,3306,3595,3507,3488,3319,3602.0,3701.0,3668,3522,3134,3668,3557.0,3507.0,3048.0,2933,3675.0,3619.0,3648.0,3439.0
3390,3630.0,3345,3532,3419,3306,3604,3505,3482,3327,3602.0,3707.0,3678,3522,3128,3664,3560.0,3516.0,3049.0,2932,3672.0,3618.0,3643.0,3439.0
3392,3628.0,3341,3539,3420,3308,3603,3506,3478,3330,3596.0,3706.0,3672,3526,3127,3664,3560.0,3516.0,3049.0,2932,3672.0,3618.0,3643.0,3447.0
3391,3627.0,3350,3538,3422,3312,3604,3506,3478,3330,3596.0,3706.0,3672,3526,3127,3668,3558.0,3509.0,3050.0,2935,3675.0,3596.0,3642.0,3440.0
3391,3627.0,3350,3538,3422,3312,3604,3505,3484,3327,3596.0,3701.0,3675,3521,3130,3664,3557.0,3520.0,3049.0,2933,3675.0,3616.0,3648.0,3450.0
3391,3626.0,3342,3539,3422,3307,3606,3508,3482,3327,3600.0,3702.0,3679,3518,3129,3666,3552.0,3515.0,3045.0,2933,3675.0,3616.0,3648.0,3450.0
