ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3383.0,3618.0,3241,3498,3472.0,3141,3535,3479,3421,3235,3552.0,3691,3601.0,3543.0,3538.0,3583.0,3569,3520.0,3032,2894,3676,3636.0,3668.0,3547.0
3378.0,3622.0,3239,3498,3471.0,3138,3541,3479,3425,3243,3553.0,3691,3601.0,3543.0,3538.0,3583.0,3569,3520.0,3032,2892,3675,3643.0,3666.0,3548.0
3377.0,3621.0,3234,3498,3471.0,3138,3541,3479,3425,3243,3553.0,3694,3604.0,3546.0,3541.0,3587.0,3559,3520.0,3030,2893,3673,3632.0,3670.0,3543.0
3377.0,3621.0,3234,3506,3483.0,3134,3535,3483,3421,3230,3549.0,3687,3604.0,3544.0,3533.0,3576.0,3564,3520.0,3032,2895,3674,3612.0,3674.0,3543.0
3377.0,3609.0,3229,3499,3473.0,3127,3537,3475,3421,3230,3557.0,3694,3605.0,3546.0,3538.0,3576.0,3564,3520.0,3032,2895,3674,3612.0,3674.0,3546.0
3375.0,3615.0,3233,3491,3478.0,3122,3532,3475,3421,3230,3557.0,3694,3605.0,3546.0,3538.0,3593.0,3562,3516.0,3030,2895,3674,3637.0,3677.0,3551.0
3375.0,3615.0,3233,3491,3478.0,3122,3532,3478,3387,3232,3552.0,3692,3613.0,3546.0,3534.0,3591.0,3565,3516.0,3033,2894,3668,3640.0,3677.0,3546.0
3375.0,3619.0,3226,3497,3475.0,3116,3525,3471,3416,3229,3554.0,3689,3617.0,3540.0,3535.0,3588.0,3564,3521.0,3036,2894,3668,3640.0,3677.0,3546.0
3377.0,3616.0,3224,3489,3476.0,3113,3531,3464,3419,3227,3557.0,3689,3617.0,3540.0,3535.0,3588.0,3564,3521.0,3036,2891,3672,3633.0,3669.0,3545.0
3373.0,3610.0,3220,3489,3476.0,3113,3531,3464,3419,3227,3557.0,3694,3609.0,3535.0,3530.0,3592.0,3572,3520.0,3037,2896,3673,3640.0,3676.0,3542.0
3373.0,3610.0,3220,3490,3471.0,3114,3524,3462,3414,3228,3554.0,3685,3614.0,3545.0,3534.0,3600.0,3570,3509.0,3032,2897,3678,3638.0,3684.0,3542.0
3359.0,3614.0,3216,3486,3469.0,3097,3517,3467,3409,3225,3552.0,3689,3616.0,3539.0,3531.0,3600.0,3570,3509.0,3032,2897,3678,3638.0,3684.0,3540.0
3368.0,3609.0,3210,3482,3469.0,3088,3516,3467,3409,3225,3552.0,3689,3616.0,3539.0,3531.0,3597.0,3565,3519.0,3032,2896,3672,3635.0,3673.0,3542.0
