ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3518,3690.0,3503.0,3631.0,3508,3452.0,3641.0,3361.0,3380,3117,3560,3686.0,3548,3500,3448,3479.0,3408,2591,2737.0,2520,3698,3677.0,3674.0,3539
3515,3686.0,3506.0,3636.0,3513,3451.0,3641.0,3360.0,3377,3109,3565,3698.0,3546,3500,3448,3479.0,3408,2591,2737.0,2520,3698,3678.0,3677.0,3546
3516,3684.0,3500.0,3628.0,3513,3451.0,3641.0,3360.0,3377,3109,3565,3698.0,3546,3501,3442,3478.0,3412,2602,2740.0,2512,3694,3681.0,3664.0,3548
3516,3684.0,3500.0,3628.0,3513,3449.0,3642.0,3361.0,3371,3128,3560,3689.0,3552,3499,3444,3487.0,3410,2620,2746.0,2518,3705,3678.0,3672.0,3541
3520,3679.0,3502.0,3634.0,3514,3448.0,3644.0,3365.0,3370,3130,3562,3697.0,3543,3504,3447,3480.0,3414,2620,2746.0,2518,3705,3678.0,3672.0,3541
3521,3685.0,3491.0,3633.0,3517,3450.0,3640.0,3367.0,3382,3130,3562,3697.0,3543,3504,3447,3480.0,3414,2630,2748.0,2519,3699,3657.367268390942,3676.0,3545
3518,3685.0,3491.0,3633.0,3517,3450.0,3640.0,3367.0,3382,3127,3561,3692.0,3538,3498,3445,3482.0,3414,2639,2747.0,2515,3697,3680.0,3672.0,3544
3518,3668.0,3501.0,3631.0,3512,3449.0,3640.0,3348.0,3381,3131,3564,3684.0,3544,3501,3442,3481.0,3411,2633,2743.0,2516,3693,3680.0,3672.0,3544
3520,3681.0,3500.0,3636.0,3511,3453.0,3650.0,3362.0,3385,3135,3562,3694.0,3550,3501,3442,3481.0,3411,2633,2743.0,2516,3693,3685.0,3674.0,3545
3515,3683.0,3501.0,3633.0,3511,3453.0,3650.0,3362.0,3385,3135,3562,3694.0,3550,3503,3448,3481.0,3410,2636,2746.0,2516,3697,3676.0,3675.0,3542
