ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3523.0,3682.0,3534,3655.0,3524,3495,3674.0,3422,3465,3320,3567.0,3700.0,3571,3521,3451,3529.0,3493.0,3221,2942,2781.0,3709.0,3695.0,3690,3559
3518.0,3691.0,3540,3658.0,3524,3495,3674.0,3422,3465,3320,3567.0,3700.0,3571,3521,3454,3532.0,3489.0,3213,2943,2779.0,3709.0,3690.0,3698,3560
3518.0,3691.0,3540,3658.0,3524,3504,3671.0,3433,3465,3322,3564.0,3698.0,3569,3520,3447,3527.0,3482.0,3222,2943,2780.0,3709.0,3691.0,3694,3558
3526.0,3694.0,3532,3656.0,3529,3498,3665.0,3436,3464,3323,3566.0,3704.0,3561,3516,3451,3530.0,3483.0,3222,2943,2780.0,3709.0,3691.0,3694,3558
3512.0,3700.0,3532,3656.0,3515,3493,3672.0,3434,3468,3323,3566.0,3704.0,3561,3516,3451,3530.0,3483.0,3222,2947,2779.0,3709.0,3699.0,3682,3558
3521.0,3700.0,3532,3656.0,3515,3493,3672.0,3434,3468,3323,3564.0,3704.0,3573,3519,3441,3527.0,3482.0,3218,2946,2783.0,3720.0,3688.0,3696,3552
3521.0,3696.0,3537,3636.665760058273,3521,3494,3675.0,3444,3470,3325,3565.0,3698.0,3573,3521,3446,3525.0,3490.0,3225,2950,2782.0,3710.0,3688.0,3696,3552
3525.0,3695.0,3536,3656.0,3530,3494,3674.0,3446,3478,3322,3568.0,3702.0,3570,3521,3446,3525.0,3490.0,3225,2950,2782.0,3710.0,3692.0,3689,3560
3529.0,3693.0,3534,3654.0,3530,3494,3674.0,3446,3478,3322,3568.0,3702.0,3570,3527,3447,3518.0,3482.0,3237,2948,2784.0,3709.0,3690.0,3694,3558
3529.0,3693.0,3534,3654.0,3530,3499,3670.0,3446,3473,3326,3566.0,3694.0,3568,3524,3438,3524.0,3484.0,3240,2945,2785.0,3716.0,3698.0,3685,3557
3523.0,3697.0,3538,3657.0,3516,3507,3680.0,3443,3477,3333,3567.0,3704.0,3573,3520,3444,3525.0,3486.0,3240,2945,2785.0,3716.0,3698.0,3685,3557
3518.0,3692.0,3532,3649.0,3520,3502,3680.0,3434,3473,3333,3567.0,3704.0,3573,3520,3444,3525.0,3486.0,3251,2947,2787.0,3710.0,3680.0,3688,3556
