ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3536,3692,3536,3626.0,3435,3480,3613.0,3191,3316,3057,3583,3694.0,3574.0,3508,3383,3508,3446,3064,2853,2605,3700.0,3677.0,3672,3520
3537,3696,3537,3633.0,3440,3482,3607.0,3194,3318,3053,3588,3701.0,3576.0,3508,3383,3508,3446,3064,2853,2605,3700.0,3675.0,3674,3528
3534,3688,3531,3630.0,3438,3482,3607.0,3194,3318,3053,3588,3701.0,3576.0,3506,3380,3509,3438,3072,2852,2605,3701.0,3674.0,3668,3515
3534,3688,3531,3630.0,3438,3474,3605.0,3195,3320,3024,3580,3702.0,3571.0,3507,3386,3510,3441,3074,2856,2611,3700.0,3678.0,3672,3526
3535,3691,3534,3636.0,3434,3478,3606.0,3196,3320,3042,3582,3701.0,3573.0,3506,3380,3508,3446,3074,2856,2611,3700.0,3678.0,3672,3526
3535,3680,3532,3632.0,3424,3477,3610.0,3194,3318,3042,3582,3701.0,3573.0,3506,3380,3508,3446,3082,2859,2614,3697.0,3659.0,3668,3522
3537,3680,3532,3632.0,3424,3477,3610.0,3194,3318,3050,3587,3703.0,3575.0,3504,3380,3509,3453,3081,2856,2618,3706.0,3674.0,3671,3526
3537,3689,3538,3633.0,3428,3478,3604.0,3195,3320,3056,3586,3701.0,3577.0,3506,3345,3511,3453,3087,2860,2616,3701.0,3674.0,3671,3526
3541,3696,3535,3637.0,3426,3478,3600.0,3198,3319,3052,3587,3704.0,3579.0,3506,3345,3511,3453,3087,2860,2616,3701.0,3677.0,3673,3518
3533,3691,3545,3632.0,3423,3478,3600.0,3198,3319,3052,3587,3704.0,3579.0,3502,3378,3508,3455,3092,2859,2609,3696.0,3677.0,3674,3521
