ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3596,3713,3556,3639.0,3415,3468,3645.0,3483.0,3460.0,3257.0,3645.0,3729,3632.0,3529,3346.0,3569.0,3530.0,3463,2996.0,2801,3686,3640,3617,3342
3592,3712,3553,3631.0,3406,3473,3645.0,3481.0,3456.0,3260.0,3648.0,3714,3639.0,3525,3338.0,3569.0,3530.0,3463,2996.0,2801,3686,3640,3617,3353
3592,3710,3555,3627.0,3408,3469,3643.0,3481.0,3456.0,3260.0,3648.0,3714,3639.0,3525,3338.0,3568.0,3522.0,3462,2993.0,2800,3688,3644,3611,3348
3592,3710,3555,3627.0,3408,3469,3643.0,3481.0,3459.0,3258.0,3650.0,3724,3635.0,3526,3346.0,3576.0,3525.0,3462,2995.0,2801,3688,3635,3614,3344
3600,3710,3553,3626.0,3410,3472,3644.0,3483.0,3457.0,3252.0,3652.0,3723,3635.0,3521,3346.0,3572.0,3524.0,3461,2994.0,2801,3688,3635,3614,3344
3592,3704,3549,3638.0,3404,3473,3641.0,3482.0,3460.0,3258.0,3650.0,3723,3635.0,3521,3346.0,3572.0,3524.0,3461,2994.0,2794,3683,3634,3615,3344
3593,3712,3553,3638.0,3404,3473,3641.0,3482.0,3460.0,3258.0,3650.0,3723,3640.0,3521,3350.0,3569.0,3533.0,3465,2993.0,2801,3690,3636,3609,3341
3593,3712,3553,3624.0,3410,3470,3644.0,3483.0,3453.0,3257.0,3656.0,3724,3641.0,3523,3337.0,3570.0,3524.0,3460,2998.0,2802,3678,3637,3611,3341
3590,3712,3554,3633.0,3413,3470,3640.0,3485.0,3458.0,3259.0,3654.0,3723,3634.0,3525,3347.0,3570.0,3524.0,3460,2998.0,2802,3678,3637,3611,3341
3589,3712,3549,3635.0,3408,3469,3641.0,3485.0,3458.0,3259.0,3654.0,3723,3634.0,3525,3347.0,3568.0,3526.0,3464,2993.0,2785,3683,3632,3607,3337
3589,3712,3549,3635.0,3408,3469,3641.0,3480.0,3449.0,3254.0,3650.0,3706,3636.0,3522,3342.0,3574.0,3526.0,3466,2993.0,2798,3684,3633,3613,3337
3592,3711,3552,3636.0,3407,3465,3652.0,3481.0,3458.0,3253.0,3653.0,3728,3625.0,3523,3344.0,3577.0,3528.0,3462,2984.0,2798,3684,3633,3613,3337
3590,3709,3550,3627.0,3417,3469,3640.0,3481.0,3454.0,3251.0,3653.0,3728,3625.0,3523,3344.0,3577.0,3528.0,3462,2984.0,2799,3684,3633,3599,3333
3589,3715,3549,3627.0,3417,3469,3640.0,3481.0,3454.0,3251.0,3653.0,3719,3637.0,3519,3342.0,3576.0,3528.0,3461,2998.0,2796,3682,3634,3601,3330
3589,3715,3549,3630.0,3413,3451,3644.0,3481.0,3457.0,3225.0499485999226,3654.0,3720,3642.0,3530,3339.0,3566.0,3526.0,3466,2989.0,2801,3686,3624,3598,3330
3592,3710,3548,3630.0,3413,3461,3643.0,3484.0,3454.0,3252.0,3657.0,3722,3639.0,3527,3344.0,3566.0,3526.0,3466,2989.0,2801,3686,3624,3598,3337
3596,3711,3549,3626.0,3404,3465,3639.0,3484.0,3454.0,3252.0,3657.0,3722,3639.0,3527,3344.0,3571.0,3529.0,3465,2996.0,2802,3680,3626,3600,3330
3596,3711,3549,3626.0,3404,3465,3639.0,3486.0,3455.0,3255.0,3648.0,3725,3639.0,3525,3339.0,3573.0,3520.0,3461,2992.0,2801,3683,3631,3600,3324
3589,3712,3555,3621.0,3410,3460,3642.0,3483.0,3462.0,3243.0,3653.0,3723,3643.0,3526,3347.0,3575.0,3526.0,3469,2996.0,2801,3683,3631,3600,3324
3598,3709,3555,3626.0,3410,3471,3645.0,3459.856622834747,3458.0,3255.0,3655.0,3723,3643.0,3526,3347.0,3575.0,3526.0,3469,2996.0,2800,3686,3630,3595,3323
3588,3700,3550,3626.0,3410,3471,3645.0,3459.856622834747,3458.0,3255.0,3655.0,3728,3637.0,3529,3339.0,3565.0,3530.0,3469,2993.0,2802,3678,3620,3594,3328
