ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3568,3704,3576,3657.0,3431,3543,3641,3178,3398,3262,3605.0,3724,3604,3530,3434,3563,3512,3239,2947,2763,3720.0,3694,3689,3546.0
3562,3714,3576,3657.0,3444,3542,3638,3204,3397,3265,3606.0,3721,3602,3536,3434,3561,3513,3239,2947,2763,3720.0,3694,3689,3546.0
3563,3715,3573,3656.0,3447,3536,3638,3219,3408,3265,3606.0,3721,3602,3536,3434,3561,3513,3255,2944,2767,3718.0,3695,3692,3543.0
3560,3715,3573,3656.0,3447,3536,3638,3219,3408,3264,3605.0,3724,3602,3532,3445,3557,3512,3280,2951,2770,3718.0,3694,3692,3543.0
3560,3703,3566,3651.0,3443,3521,3635,3249,3416,3272,3606.0,3724,3605,3530,3455,3566,3514,3289,2963,2778,3719.0,3694,3692,3543.0
3563,3706,3562,3654.0,3444,3529,3638,3258,3414,3263,3609.0,3721,3610,3530,3455,3566,3514,3289,2963,2778,3719.0,3693,3692,3545.0
3554,3712,3561,3651.0,3443,3529,3638,3258,3414,3263,3609.0,3721,3610,3538,3448,3574,3517,3293,2961,2783,3723.0,3695,3699,3543.0
3554,3712,3561,3651.0,3443,3528,3617,3261,3407,3259,3613.0,3721,3615,3528,3444,3573,3516,3295,2966,2785,3720.0,3693,3699,3541.0
3562,3704,3566,3650.0,3442,3522,3624,3240,3401,3257,3611.0,3725,3618,3538,3451,3576,3518,3295,2966,2785,3720.0,3693,3699,3541.0
3563,3707,3564,3649.0,3433,3521,3627,3227,3395,3257,3611.0,3725,3618,3538,3451,3576,3518,3287,2963,2789,3718.0,3695,3691,3530.0
3560,3707,3564,3649.0,3433,3521,3627,3227,3395,3247,3609.0,3732,3607,3539,3441,3581,3521,3269,2957,2793,3722.0,3684,3691,3542.0
3560,3713,3563,3647.0,3422,3529,3630,3215,3398,3255,3579.0,3728,3614,3538,3440,3577,3519,3264,2958,2790,3717.0,3684,3691,3542.0
3565,3711,3567,3648.0,3422,3530,3626,3208,3392,3256,3606.0,3715,3613,3538,3440,3577,3519,3264,2958,2790,3717.0,3690,3701,3542.0
3563,3711,3567,3650.0,3424,3530,3626,3208,3392,3256,3606.0,3715,3613,3539,3432,3578,3514,3252,2956,2783,3723.0,3692,3687,3546.0
3563,3711,3567,3650.0,3424,3533,3633,3199,3392,3254,3613.0,3724,3612,3541,3434,3570,3518,3245,2952,2782,3724.0,3699,3694,3544.0
3565,3701,3574,3651.0,3421,3535,3634,3165,3388,3256,3605.0,3725,3618,3540,3428,3571,3514,3245,2952,2782,3724.0,3699,3694,3544.0
3561,3717,3573,3652.0,3417,3538,3634,3163,3394,3256,3605.0,3725,3618,3540,3428,3571,3514,3227,2951,2781,3720.0,3690,3695,3548.0
3561,3717,3573,3652.0,3417,3538,3634,3163,3394,3247,3611.0,3723,3612,3536,3435,3576,3510,3225,2948,2770,3718.0,3696,3696,3552.0
3561,3709,3569,3660.0,3424,3540,3625,3151,3382,3249,3609.0,3725,3606,3542,3436,3567,3514,3219,2947,2767,3718.0,3696,3696,3552.0
3559,3704,3571,3651.0,3420,3541,3633,3155,3386,3254,3610.0,3723,3608,3542,3436,3567,3514,3219,2947,2767,3718.0,3693,3701,3546.0
3563,3706,3576,3658.0,3419,3541,3633,3155,3386,3254,3610.0,3723,3608,3531,3430,3570,3514,3219,2943,2763,3718.0,3696,3700,3541.0
3563,3706,3576,3658.0,3419,3550,3632,3146,3395,3262,3608.0,3721,3609,3535,3432,3573,3508,3225,2955,2771,3721.0,3693,3697,3534.0
3559,3713,3575,3663.0,3420,3546,3636,3166,3400,3267,3604.0,3724,3621,3545,3432,3572,3511,3225,2955,2771,3721.0,3693,3697,3534.0
3566,3704,3576,3657.0,3423,3544,3632,3176,3401,3267,3604.0,3724,3621,3545,3432,3572,3511,3227,2941,2774,3718.0,3693,3699,3538.0
3566,3704,3576,3657.0,3423,3544,3632,3176,3401,3264,3610.0,3724,3605,3538,3433,3566,3513,3232,2949,2774,3719.0,3692,3689,3535.0
3566,3719,3572,3653.0,3422,3531,3634,3189,3401,3261,3606.0,3716,3613,3540,3433,3562,3509,3236,2945,2772,3720.0,3692,3689,3535.0
3562,3715,3574,3656.0,3426,3537,3640,3202,3401,3258,3613.0,3716,3608,3540,3433,3562,3509,3236,2945,2772,3720.0,3686,3691,3534.0
3560,3713,3574,3657.0,3429,3537,3640,3202,3401,3258,3613.0,3716,3608,3536,3435,3571,3514,3236,2955,2772,3719.0,3695,3696,3540.0
3560,3713,3574,3657.0,3429,3534,3637,3212,3403,3245,3612.0,3732,3613,3540,3433,3570,3515,3253,2956,2776,3720.0,3694,3698,3532.0
3564,3709,3565,3653.0,3436,3537,3632,3229,3400,3240,3611.0,3722,3612,3538,3441,3568,3514,3253,2956,2776,3720.0,3694,3698,3532.0
3562,3711,3566,3647.0,3440,3523,3636,3238,3400,3240,3611.0,3722,3612,3538,3441,3568,3514,3266,2955,2774,3718.0,3688,3688,3542.0
3561,3711,3566,3647.0,3440,3523,3636,3238,3400,3233,3615.0,3732,3613,3538,3439,3568,3521,3279,2959,2771,3721.0,3692,3696,3542.0
3561,3720,3564,3641.0,3440,3523,3631,3238,3393,3242,3613.0,3728,3620,3534,3443,3581,3512,3281,2955,2773,3722.0,3692,3696,3542.0
3565,3711,3564,3650.0,3433,3523,3629,3228,3387,3234,3621.0,3727,3616,3534,3443,3581,3512,3281,2955,2773,3722.0,3691,3692,3541.0
3568,3707,3560,3651.0,3430,3523,3629,3228,3387,3234,3621.0,3727,3616,3538,3434,3578,3520,3272,2958,2786,3723.0,3691,3698,3543.0
3568,3707,3560,3651.0,3430,3522,3633,3229,3392,3254,3615.0,3725,3619,3542,3436,3581,3517,3270,2961,2792,3719.0,3688,3698,3544.0
3561,3681,3564,3647.0,3425,3526,3632,3210,3392,3258,3612.0,3718,3620,3539,3435,3580,3516,3270,2961,2792,3719.0,3688,3698,3544.0
3569,3709,3563,3647.0,3426,3530,3630,3207,3398,3258,3612.0,3718,3620,3539,3435,3580,3516,3251,2960,2795,3722.0,3695,3694,3549.0
3548,3709,3563,3647.0,3426,3530,3630,3207,3398,3258,3610.0,3722,3624,3545,3436,3579,3520,3256,2964,2789,3718.0,3701,3702,3547.0
3548,3710,3563,3658.0,3422,3527,3619,3194,3392,3244,3613.0,3725,3617,3538,3435,3577,3519,3247,2959,2791,3718.0,3701,3702,3547.0
3558,3704,3567,3651.0,3420,3528,3632,3186,3396,3260,3608.0,3717,3616,3538,3435,3577,3519,3247,2959,2791,3718.0,3698,3689,3546.0
3554,3710,3569,3643.0,3418,3528,3632,3186,3396,3260,3608.0,3717,3616,3536,3436,3578,3514,3242,2960,2792,3724.0,3693,3698,3533.0
3554,3710,3569,3643.0,3418,3532,3632,3184,3402,3263,3603.0,3725,3614,3541,3429,3578,3520,3235,2963,2788,3724.0,3687,3691,3539.0
3562,3710,3575,3647.0,3413,3531,3628,3184,3402,3258,3604.0,3725,3614,3538,3429,3580,3514,3235,2963,2788,3724.0,3687,3691,3539.0
3557,3713,3570,3652.0,3418,3528,3634,3201,3399,3258,3604.0,3725,3614,3538,3429,3580,3514,3245,2957,2785,3720.0,3688,3694,3539.0
3558,3713,3570,3652.0,3418,3528,3634,3201,3399,3266,3607.0,3714,3614,3533,3443,3576,3519,3265,2960,2784,3719.0,3693,3686,3538.0
3558,3713,3569,3654.0,3419,3538,3637,3215,3414,3274,3608.0,3726,3610,3541,3431,3560,3517,3275,2963,2785,3722.0,3693,3686,3538.0
3558,3701,3566,3649.0,3424,3526,3638,3237,3416,3269,3603.0,3729,3610,3541,3431,3560,3517,3275,2963,2785,3722.0,3680,3694,3536.0
3560,3714,3569,3653.0,3432,3526,3638,3237,3416,3269,3603.0,3729,3610,3536,3438,3565,3519,3289,2965,2782,3716.0,3690,3679,3538.0
3560,3714,3569,3653.0,3432,3536,3633,3261,3428,3277,3608.0,3727,3605,3538,3436,3573,3512,3307,2966,2787,3714.0,3694,3692,3539.0
3556,3705,3563,3651.0,3437,3527,3640,3280,3422,3284,3611.0,3717,3618,3541,3442,3571,3518,3307,2966,2787,3714.0,3694,3692,3539.0
3565,3704,3564,3649.0,3432,3530,3633,3278,3428,3284,3611.0,3717,3618,3541,3442,3571,3518,3314,2968,2789,3721.0,3683,3694,3541.0
3562,3704,3564,3649.0,3432,3530,3633,3278,3428,3277,3611.0,3713,3614,3539,3444,3576,3522,3285,2969,2788,3716.0,3688,3692,3531.0
3562,3711,3558,3654.0,3425,3529,3635,3269,3418,3275,3610.0,3725,3615,3536,3446,3576,3518,3313,2968,2797,3718.0,3688,3692,3531.0
3563,3707,3565,3647.0,3423,3522,3628,3268,3413,3268,3613.0,3722,3614,3536,3446,3576,3518,3313,2968,2797,3718.0,3689,3693,3534.0
3563,3702,3565,3650.0,3421,3522,3628,3268,3413,3268,3613.0,3722,3614,3541,3442,3585,3516,3304,2968,2790,3719.0,3689,3695,3538.0
3563,3702,3565,3650.0,3421,3525,3630,3236,3404,3269,3623.0,3718,3621,3534,3434,3585,3518,3298,2966,2799,3719.0,3695,3689,3538.0
3566,3715,3568,3642.0,3407,3520,3630,3236,3405,3265,3614.0,3712,3622,3542,3429,3577,3518,3298,2966,2799,3719.0,3695,3689,3538.0
3570,3711,3566,3644.0,3418,3529,3635,3228,3401,3265,3614.0,3712,3622,3542,3429,3577,3518,3282,2962,2802,3716.0,3679,3689,3536.0
3567,3711,3566,3644.0,3418,3529,3635,3228,3401,3262,3610.0,3726,3616,3540,3433,3578,3514,3287,2960,2797,3723.0,3690,3695,3542.0
3567,3718,3566,3653.0,3398,3522,3628,3224,3408,3271,3608.0,3724,3620,3540,3428,3579,3515,3271,2959,2797,3717.0,3690,3695,3542.0
3565,3716,3572,3650.0,3405,3532,3632,3217,3403,3267,3611.0,3724,3619,3540,3428,3579,3515,3271,2959,2797,3717.0,3687,3689,3518.0
