ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3569,3716,3566,3662,3510,3507,3639,3403,3358,3066,3610.0,3717,3579,3513.0,3472,3469,3449,3323,2845,2506,3715,3699,3692.0,3556.0
3566,3706,3572,3660,3510,3509,3636,3395,3357,3067,3607.0,3717,3579,3513.0,3472,3469,3449,3323,2845,2507,3720,3699,3696.0,3558.0
3581,3709,3571,3660,3510,3509,3636,3395,3357,3067,3607.0,3720,3573,3514.0,3466,3461,3443,3328,2834,2502,3717,3696,3697.0,3549.0
3581,3709,3571,3661,3507,3503,3640,3395,3357,3071,3615.0,3712,3576,3509.0,3468,3459,3440,3310,2835,2493,3722,3674,3693.0,3549.0
3579,3716,3570,3654,3511,3511,3629,3394,3355,3067,3611.0,3718,3577,3515.0,3468,3459,3440,3310,2835,2493,3722,3674,3693.0,3548.0
3576,3719,3569,3657,3516,3512,3638,3394,3355,3067,3611.0,3718,3577,3515.0,3468,3462,3441,3320,2832,2492,3717,3699,3692.0,3551.0
3576,3719,3569,3657,3516,3512,3638,3398,3353,3057,3609.0,3718,3575,3511.0,3467,3459,3434,3328,2836,2493,3718,3700,3691.0,3553.0
3579,3714,3565,3658,3504,3510,3636,3394,3354,3053,3610.0,3726,3581,3512.0,3472,3458,3440,3314,2828,2493,3718,3700,3691.0,3553.0
3580,3721,3565,3656,3518,3510,3639,3388,3351,3042,3615.0,3726,3581,3512.0,3472,3458,3440,3314,2828,2491,3728,3689,3686.0,3559.0
3574,3716,3567,3656,3518,3510,3639,3388,3351,3042,3615.0,3719,3575,3510.0,3468,3456,3437,3320,2825,2482,3720,3690,3695.0,3561.0
3574,3716,3567,3649,3514,3506,3633,3396,3352,3046,3613.0,3722,3574,3506.0,3459,3459,3436,3327,2831,2484,3723,3697,3692.0,3561.0
3579,3712,3569,3658,3516,3513,3637,3392,3361,3060,3609.0,3720,3580,3514.0,3464,3459,3436,3327,2831,2484,3723,3697,3692.0,3562.0
3583,3713,3572,3645,3514,3515,3647,3392,3361,3060,3609.0,3720,3580,3514.0,3464,3451,3437,3320,2824,2486,3718,3691,3695.0,3558.0
3583,3713,3572,3645,3514,3515,3647,3397,3354,3064,3610.0,3718,3569,3505.0,3470,3458,3434,3317,2825,2483,3718,3704,3691.0,3557.0
3577,3701,3570,3661,3513,3514,3639,3383,3352,3067,3617.0,3713,3575,3509.0,3456,3455,3439,3314,2822,2483,3718,3704,3691.0,3557.0
3577,3707,3575,3663,3511,3507,3630,3396,3352,3059,3611.0,3713,3575,3509.0,3456,3455,3439,3314,2822,2477,3722,3698,3690.0,3553.0
3570,3712,3572,3663,3511,3507,3630,3396,3352,3059,3611.0,3724,3577,3510.0,3467,3461,3437,3317,2827,2476,3719,3695,3689.0,3554.0
