ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3312,3584,3506.0,3600,3433.0,3562,3671.0,3411,3556,3560,3358,3588,3525,3461,3300,3585,3490,3138,3029.0,2976.0,3626,3609.0,3606.0,3467
3306,3588,3503.0,3594,3433.0,3558,3671.0,3410,3552,3560,3358,3588,3525,3461,3300,3585,3490,3126,3029.0,2976.0,3630,3597.0,3602.0,3462
3310,3588,3503.0,3594,3433.0,3558,3671.0,3410,3552,3550,3354,3607,3526,3465,3301,3585,3492,3137,3032.0,2981.0,3627,3613.0,3601.0,3458
3310,3585,3508.0,3601,3440.0,3556,3679.0,3409,3554,3556,3357,3597,3529,3460,3304,3583,3476,3132,3028.0,2983.0,3628,3613.0,3601.0,3458
3307,3583,3505.0,3606,3429.0,3561,3680.0,3409,3550,3560,3350,3605,3528,3460,3304,3583,3476,3132,3028.0,2983.0,3628,3606.0,3591.0,3467
3311,3584,3507.0,3606,3436.0,3561,3680.0,3409,3550,3560,3350,3605,3528,3462,3301,3579,3490,3135,3028.0,2977.0,3622,3600.0,3602.0,3463
3311,3584,3507.0,3606,3436.0,3557,3676.0,3417,3550,3554,3350,3602,3528,3461,3302,3573,3488,3135,3031.0,2977.0,3630,3603.0,3601.0,3472
3311,3585,3506.0,3595,3438.0,3558,3675.0,3414,3554,3561,3354,3603,3530,3460,3278,3584,3488,3135,3031.0,2977.0,3630,3603.0,3601.0,3472
3306,3582,3504.0,3606,3433.0,3560,3681.0,3410,3557,3561,3354,3603,3530,3460,3278,3584,3488,3136,3027.0,2974.0,3626,3613.0,3599.0,3466
3307,3582,3504.0,3606,3433.0,3560,3681.0,3410,3557,3558,3352,3600,3528,3462,3294,3553,3488,3130,3032.0,2976.0,3620,3598.0,3601.0,3469
3307,3583,3498.0,3601,3435.0,3557,3680.0,3409,3539,3565,3352,3602,3533,3467,3306,3582,3487,3130,3021.0,2978.0,3624,3598.0,3601.0,3469
3305,3589,3504.0,3605,3436.0,3557,3678.0,3405,3554,3563,3354,3607,3531,3467,3306,3582,3487,3130,3021.0,2978.0,3624,3605.0,3607.0,3467
3304,3589,3499.0,3601,3437.0,3557,3678.0,3405,3554,3563,3354,3607,3531,3448,3308,3582,3487,3127,3029.0,2973.0,3622,3612.0,3601.0,3459
3304,3589,3499.0,3601,3437.0,3557,3683.0,3410,3553,3562,3356,3600,3528,3455,3304,3589,3487,3123,3035.0,2980.0,3624,3609.0,3602.0,3461
3310,3582,3503.0,3605,3432.0,3559,3680.0,3412,3556,3562,3356,3600,3518,3463,3307,3590,3482,3123,3035.0,2980.0,3624,3609.0,3602.0,3461
3306,3576,3501.0,3598,3439.0,3553,3673.0,3411,3554,3562,3356,3600,3518,3463,3307,3590,3482,3120,3029.0,2974.0,3628,3611.0,3595.0,3468
3301,3576,3501.0,3598,3439.0,3553,3673.0,3411,3554,3559,3348,3593,3527,3469,3306,3583,3486,3124,3033.0,2979.0,3627,3612.0,3597.0,3474
3301,3593,3503.0,3605,3437.0,3548,3678.0,3413,3554,3561,3359,3596,3530,3464,3305,3581,3493,3119,3024.0,2977.0,3625,3612.0,3597.0,3474
3308,3584,3504.0,3598,3435.0,3552,3679.0,3412,3552,3555,3354,3603,3516,3464,3305,3581,3493,3119,3024.0,2977.0,3625,3604.0,3601.0,3463
3310,3585,3501.0,3604,3440.0,3552,3679.0,3412,3552,3555,3354,3603,3516,3470,3306,3585,3496,3118,3029.0,2977.0,3627,3607.0,3611.0,3466
3310,3585,3501.0,3604,3440.0,3557,3677.0,3414,3550,3563,3357,3598,3530,3467,3306,3581,3482,3122,3028.0,2977.0,3626,3610.0,3603.0,3474
3308,3583,3502.0,3604,3432.0,3557,3678.0,3411,3550,3552,3357,3600,3533,3467,3304,3579,3489,3122,3028.0,2977.0,3626,3610.0,3603.0,3474
3310,3588,3499.0,3599,3433.0,3552,3672.0,3419,3552,3552,3357,3600,3533,3467,3304,3579,3489,3116,3031.0,2978.0,3631,3611.0,3607.0,3466
3304,3588,3499.0,3599,3433.0,3552,3672.0,3419,3552,3549,3356,3613,3532,3468,3311,3585,3490,3116,3031.0,2979.0,3630,3609.0,3607.0,3469
3304,3585,3503.0,3596,3440.0,3555,3677.0,3410,3550,3558,3355,3605,3531,3460,3304,3590,3485,3118,3030.0,2976.0,3626,3609.0,3607.0,3469
3309,3583,3500.0,3598,3434.0,3558,3679.0,3408,3547,3563,3358,3603,3524,3460,3304,3590,3485,3118,3030.0,2976.0,3626,3609.0,3603.0,3464
3309,3583,3497.0,3600,3435.0,3558,3679.0,3408,3547,3563,3358,3603,3524,3465,3312,3578,3493,3120,3023.0,2977.0,3627,3603.0,3608.0,3468
3309,3583,3497.0,3600,3435.0,3554,3678.0,3417,3552,3556,3359,3600,3529,3463,3306,3586,3490,3121,3027.0,2965.0,3629,3612.0,3604.0,3467
3300,3570,3502.0,3600,3434.0,3550,3676.0,3402,3552,3564,3357,3592,3534,3464,3304,3585,3486,3121,3027.0,2965.0,3629,3612.0,3604.0,3467
3310,3579,3503.0,3602,3438.0,3555,3677.0,3412,3556,3564,3357,3592,3534,3464,3304,3585,3486,3111,3026.0,2975.0,3623,3613.0,3607.0,3469
3306,3579,3503.0,3602,3438.0,3555,3677.0,3412,3556,3557,3355,3603,3533,3460,3312,3585,3487,3117,3030.0,2983.0,3627,3612.0,3603.0,3466
3306,3583,3501.0,3600,3435.0,3555,3668.0,3415,3551,3561,3352,3604,3528,3463,3308,3584,3485,3116,3029.0,2974.0,3624,3612.0,3603.0,3466
3302,3580,3506.0,3604,3438.0,3555,3673.0,3404,3554,3557,3358,3600,3532,3463,3308,3584,3485,3116,3029.0,2974.0,3624,3609.0,3594.0,3466
3306,3586,3498.0,3600,3436.0,3555,3673.0,3404,3554,3557,3358,3600,3532,3469,3308,3587,3490,3120,3029.0,2978.0,3626,3610.0,3605.0,3470
3306,3586,3498.0,3600,3436.0,3550,3680.0,3413,3552,3560,3349,3591,3531,3465,3310,3590,3492,3116,3033.0,2980.0,3624,3604.0,3604.0,3468
3306,3585,3500.0,3597,3427.0,3554,3676.0,3416,3552,3554,3359,3605,3531,3462,3307,3584,3496,3116,3033.0,2980.0,3624,3604.0,3604.0,3468
3309,3591,3502.0,3598,3433.0,3557,3682.0,3416,3554,3554,3359,3605,3531,3462,3307,3584,3496,3122,3027.0,2977.0,3630,3602.0,3606.0,3470
3312,3591,3502.0,3598,3433.0,3557,3682.0,3416,3554,3555,3356,3605,3528,3467,3315,3590,3485,3117,3028.0,2977.0,3632,3611.0,3604.0,3474
3312,3587,3496.0,3596,3437.0,3553,3676.0,3412,3549,3558,3354,3599,3529,3467,3312,3587,3492,3115,3032.0,2978.0,3626,3611.0,3604.0,3474
3307,3579,3500.0,3601,3426.0,3555,3676.0,3401,3554,3562,3356,3607,3533,3467,3312,3587,3492,3115,3032.0,2978.0,3626,3603.0,3603.0,3466
3308,3581,3501.0,3599,3436.0,3555,3676.0,3401,3554,3562,3356,3607,3533,3464,3312,3589,3491,3121,3025.0,2979.0,3632,3606.0,3605.0,3473
3308,3581,3501.0,3599,3436.0,3558,3679.0,3408,3543,3558,3352,3604,3530,3460,3304,3583,3487,3117,3032.0,2973.0,3626,3617.0,3607.0,3468
3309,3585,3497.0,3592,3442.0,3556,3672.0,3409,3547,3551,3354,3598,3531,3460,3312,3582,3492,3117,3032.0,2973.0,3626,3617.0,3607.0,3468
3310,3587,3504.0,3600,3436.0,3555,3677.0,3415,3551,3551,3354,3598,3531,3460,3312,3582,3492,3121,3034.0,2979.0,3626,3611.0,3608.0,3469
3308,3587,3504.0,3600,3436.0,3555,3677.0,3415,3551,3560,3354,3603,3529,3467,3314,3582,3488,3121,3024.0,2959.689216086554,3629,3609.0,3603.0,3470
3308,3570,3500.0,3600,3438.0,3553,3678.0,3407,3550,3559,3353,3594,3521,3464,3304,3586,3491,3123,3030.0,2974.0,3627,3609.0,3603.0,3470
3306,3588,3497.0,3601,3436.0,3555,3684.0,3406,3552,3562,3357,3604,3533,3464,3304,3586,3491,3123,3030.0,2974.0,3627,3618.0,3604.0,3470
3301,3588,3506.0,3601,3434.0,3555,3684.0,3406,3552,3562,3357,3604,3533,3464,3310,3582,3491,3116,3009.4918944165875,2979.0,3633,3605.0,3605.0,3468
3301,3588,3506.0,3601,3434.0,3555,3674.0,3417,3551,3557,3351,3600,3527,3457,3314,3582,3474,3112,3030.0,2972.0,3629,3614.0,3605.0,3463
3305,3581,3504.0,3602,3435.0,3555,3670.0,3412,3553,3557,3357,3593,3525,3462,3310,3583,3485,3112,3030.0,2972.0,3629,3614.0,3605.0,3463
3304,3585,3501.0,3607,3435.0,3551,3682.0,3418,3556,3557,3357,3593,3525,3462,3310,3583,3485,3119,3030.0,2976.0,3629,3611.0,3602.0,3459
3306,3585,3501.0,3607,3435.0,3551,3682.0,3418,3556,3559,3353,3585,3529,3464,3309,3588,3492,3109,3025.0,2980.0,3630,3607.0,3597.0,3472
3306,3590,3498.0,3603,3444.0,3560,3678.0,3412,3553,3556,3355,3605,3529,3465,3316,3585,3483,3112,3029.0,2978.0,3624,3607.0,3597.0,3472
3303,3587,3502.0,3600,3440.0,3560,3676.0,3412,3558,3560,3324,3598,3531,3465,3316,3585,3483,3112,3029.0,2978.0,3624,3606.0,3605.0,3463
3302,3586,3505.0,3602,3442.0,3560,3676.0,3412,3558,3560,3324,3598,3531,3464,3320,3584,3483,3106,3031.0,2979.0,3625,3605.0,3600.0,3467
3302,3586,3505.0,3602,3442.0,3556,3678.0,3415,3551,3554,3358,3601,3529,3462,3317,3576,3488,3113,3028.0,2981.0,3629,3606.0,3601.0,3468
3300,3581,3494.0,3602,3428.0,3557,3674.0,3411,3551,3560,3356,3605,3529,3465,3311,3577,3499,3113,3028.0,2981.0,3629,3606.0,3601.0,3468
3302,3582,3503.0,3600,3437.0,3561,3677.0,3407,3562,3560,3356,3605,3529,3465,3311,3577,3499,3106,3028.0,2977.0,3631,3609.0,3607.0,3472
3296,3582,3503.0,3600,3437.0,3561,3677.0,3407,3562,3560,3359,3600,3534,3460,3297,3587,3488,3109,3030.0,2974.0,3619,3609.0,3605.0,3468
3296,3582,3501.0,3595,3439.0,3554,3681.0,3403,3546,3560,3357,3601,3533,3459,3312,3566,3488,3104,3034.0,2973.0,3625,3609.0,3605.0,3468
3301,3582,3496.0,3596,3436.0,3556,3675.0,3414,3556,3560,3352,3601,3531,3459,3312,3566,3488,3104,3034.0,2973.0,3625,3605.0,3606.0,3470
3297,3583,3500.0,3604,3434.0,3556,3675.0,3414,3556,3560,3352,3601,3531,3453,3310,3584,3491,3106,3024.0,2973.0,3625,3609.0,3602.0,3464
3297,3583,3500.0,3604,3434.0,3557,3680.0,3403,3554,3560,3352,3593,3522,3462,3313,3588,3487,3108,3031.0,2977.0,3629,3614.0,3603.0,3468
3302,3582,3504.0,3601,3441.0,3554,3680.0,3413,3561,3564,3353,3597,3531,3455,3308,3585,3488,3108,3031.0,2977.0,3629,3614.0,3603.0,3468
3299,3583,3502.0,3604,3438.0,3561,3674.0,3418,3556,3564,3353,3597,3531,3455,3308,3585,3488,3105,3022.0,2977.0,3626,3609.0,3595.0,3468
3303,3583,3502.0,3604,3438.0,3561,3674.0,3418,3556,3558,3352,3590,3525,3458,3310,3590,3483,3100,3024.0,2980.0,3626,3609.0,3598.0,3462
3303,3582,3499.0,3600,3430.0,3549,3676.0,3416,3552,3559,3353,3591,3525,3462,3309,3575,3488,3102,3027.0,2980.0,3623,3609.0,3598.0,3462
3302,3579,3501.0,3600,3440.0,3551,3679.0,3413,3554,3556,3350,3591,3526,3462,3309,3575,3488,3102,3027.0,2980.0,3623,3608.0,3603.0,3461
