ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3437,3652,3534.0,3641,3494,3535.0,3698.0,3522,3553,3496,3482.0,3653.0,3552,3497.0,3366,3565,3533.0,3436,3033,2929,3679,3658,3654,3507
3438,3659,3532.0,3644,3499,3535.0,3698.0,3522,3553,3496,3482.0,3653.0,3552,3503.0,3362,3563,3519.0,3431,3039,2927,3676,3649,3653,3508
3438,3659,3532.0,3644,3499,3536.0,3699.0,3520,3554,3495,3482.0,3668.0,3557,3502.0,3364,3558,3520.0,3436,3032,2925,3686,3656,3655,3510
3437,3656,3530.0,3639,3497,3539.0,3696.0,3521,3555,3493,3483.0,3668.0,3563,3506.0,3336,3571,3528.0,3436,3032,2925,3686,3656,3655,3510
3438,3656,3533.0,3639,3492,3541.0,3696.0,3521,3553,3493,3483.0,3668.0,3563,3506.0,3336,3571,3528.0,3433,3038,2929,3682,3661,3651,3514
3442,3656,3533.0,3639,3492,3541.0,3696.0,3521,3553,3496,3485.0,3667.0,3563,3506.0,3353,3568,3528.0,3432,3033,2928,3682,3660,3654,3512
3442,3661,3532.0,3627,3498,3540.0,3695.0,3509,3552,3492,3485.0,3670.0,3567,3494.0,3368,3565,3523.0,3435,3034,2927,3682,3660,3654,3512
3437,3656,3534.0,3645,3501,3543.0,3699.0,3522,3552,3496,3489.0,3675.0,3560,3494.0,3368,3565,3523.0,3435,3034,2927,3682,3660,3656,3511
3440,3647,3508.704976967769,3647,3496,3543.0,3699.0,3522,3552,3496,3489.0,3675.0,3560,3500.0,3373,3565,3525.0,3426,3037,2926,3687,3668,3654,3513
3440,3647,3508.704976967769,3647,3496,3544.0,3696.0,3517,3545,3496,3484.0,3671.0,3557,3501.0,3369,3573,3524.0,3426,3034,2926,3678,3662,3655,3511
3438,3648,3534.0,3641,3498,3545.0,3700.0,3516,3556,3496,3488.0,3666.0,3564,3504.0,3366,3560,3524.0,3426,3034,2926,3678,3662,3655,3511
3441,3644,3529.0,3642,3503,3542.0,3695.0,3515,3552,3496,3488.0,3666.0,3564,3504.0,3366,3560,3524.0,3426,3034,2929,3682,3658,3653,3515
3441,3644,3529.0,3642,3503,3542.0,3695.0,3515,3552,3496,3491.0,3660.0,3557,3501.0,3363,3568,3522.0,3422,3034,2921,3674,3668,3651,3510
3441,3664,3528.0,3642,3499,3536.0,3694.0,3520,3546,3497,3485.0,3665.0,3560,3502.0,3365,3565,3520.0,3422,3035,2929,3678,3668,3651,3510
3436,3649,3529.0,3643,3490,3539.0,3696.0,3510,3550,3496,3487.0,3666.0,3560,3502.0,3365,3565,3520.0,3422,3035,2929,3678,3666,3652,3515
3438,3659,3530.0,3642,3498,3539.0,3696.0,3510,3550,3496,3487.0,3666.0,3560,3499.0,3370,3565,3532.0,3418,3028,2926,3681,3667,3657,3515
3438,3659,3530.0,3642,3498,3543.0,3695.0,3517,3558,3499,3483.0,3653.0,3555,3502.0,3368,3565,3522.0,3409,3037,2929,3678,3661,3657,3503
3437,3655,3532.0,3634,3497,3538.0,3696.0,3522,3551,3487,3484.0,3672.0,3551,3499.0,3368,3556,3521.0,3409,3037,2929,3678,3661,3657,3503
3447,3661,3530.0,3643,3507,3539.0,3695.0,3517,3550,3487,3484.0,3672.0,3551,3499.0,3368,3556,3521.0,3413,3037,2926,3678,3662,3656,3510
3434,3661,3530.0,3643,3507,3539.0,3695.0,3517,3550,3496,3495.0,3669.0,3562,3507.0,3368,3560,3507.0,3417,3037,2926,3678,3662,3641,3520
3434,3665,3526.0,3637,3504,3552.0,3695.0,3518,3554,3500,3480.0,3672.0,3560,3506.0,3378,3562,3516.0,3406,3036,2926,3679,3662,3641,3520
3440,3660,3529.0,3643,3502,3540.0,3702.0,3514,3550,3492,3489.0,3664.0,3562,3506.0,3378,3562,3516.0,3406,3036,2926,3679,3656,3653,3510
3441,3660,3526.0,3639,3504,3540.0,3702.0,3514,3550,3492,3489.0,3664.0,3562,3501.0,3373,3559,3520.0,3410,3037,2928,3680,3655,3653,3524
3441,3660,3526.0,3639,3504,3537.0,3696.0,3515,3553,3492,3488.0,3670.0,3562,3503.0,3372,3562,3526.0,3408,3035,2924,3682,3664,3656,3519
3438,3653,3533.0,3644,3505,3541.0,3701.0,3516,3553,3492,3485.0,3668.0,3564,3498.0,3372,3568,3520.0,3408,3035,2924,3682,3664,3656,3519
3437,3655,3532.0,3638,3504,3543.0,3698.0,3509,3544,3492,3485.0,3668.0,3564,3498.0,3372,3568,3520.0,3404,3034,2928,3678,3653,3656,3518
3433,3655,3532.0,3638,3504,3543.0,3698.0,3509,3544,3500,3486.0,3666.0,3561,3504.0,3371,3562,3526.0,3403,3037,2928,3683,3659,3658,3520
3433,3665,3528.0,3646,3499,3537.0,3702.0,3504,3550,3493,3484.0,3667.0,3561,3495.0,3372,3561,3522.0,3397,3036,2929,3675,3659,3658,3520
3440,3652,3527.0,3646,3499,3532.0,3695.0,3515,3550,3500,3485.0,3660.0,3524,3495.0,3372,3561,3522.0,3397,3036,2929,3675,3666,3659,3512
3446,3656,3529.0,3650,3507,3532.0,3695.0,3515,3550,3500,3485.0,3660.0,3524,3498.0,3376,3562,3519.0,3413,3036,2927,3678,3662,3657,3517
3446,3656,3529.0,3650,3507,3539.0,3688.0,3515,3551,3493,3484.0,3663.0,3544,3478.9987034780206,3375,3560,3519.0,3406,3024,2925,3682,3667,3648,3524
3438,3660,3532.0,3650,3506,3540.0,3692.0,3511,3551,3494,3483.0,3659.0,3555,3493.0,3372,3559,3521.0,3406,3024,2925,3682,3667,3648,3524
3442,3656,3533.0,3643,3498,3537.0,3693.0,3513,3551,3494,3483.0,3659.0,3555,3493.0,3372,3559,3521.0,3400,3030,2922,3680,3664,3658,3521
3443,3656,3533.0,3643,3498,3537.0,3693.0,3513,3551,3495,3484.0,3660.0,3550,3500.0,3371,3552,3521.0,3404,3010,2924,3680,3664,3658,3515
3443,3658,3534.0,3647,3501,3536.0,3698.0,3518,3552,3489,3487.0,3666.0,3551,3504.0,3368,3552,3514.0,3408,3028,2924,3682,3664,3658,3515
3445,3660,3533.0,3648,3499,3544.0,3700.0,3517,3549,3492,3483.0,3667.0,3551,3504.0,3368,3552,3514.0,3408,3028,2924,3682,3661,3650,3526
3445,3665,3539.0,3652,3502,3544.0,3700.0,3517,3549,3492,3483.0,3667.0,3551,3496.0,3371,3554,3521.0,3409,3033,2923,3676,3664,3658,3508
3445,3665,3539.0,3652,3502,3537.0,3702.0,3517,3550,3498,3486.0,3664.0,3554,3497.0,3370,3563,3516.0,3406,3030,2924,3681,3660,3658,3519
3446,3660,3532.0,3637,3496,3548.0,3696.0,3506,3548,3495,3481.0,3670.0,3553,3493.0,3373,3557,3516.0,3406,3030,2924,3681,3660,3658,3519
3449,3652,3528.0,3645,3498,3547.0,3696.0,3513,3529,3495,3481.0,3670.0,3553,3493.0,3373,3557,3516.0,3416,3034,2916,3680,3662,3652,3518
3443,3652,3528.0,3645,3498,3547.0,3696.0,3513,3529,3491,3488.0,3667.0,3553,3500.0,3375,3555,3518.0,3409,3033,2921,3684,3665,3658,3519
3443,3654,3525.0,3639,3502,3543.0,3697.0,3516,3548,3495,3481.0,3672.0,3546,3502.0,3379,3561,3522.0,3410,3032,2922,3677,3665,3658,3519
3442,3649,3530.0,3642,3500,3545.0,3695.0,3507,3551,3498,3480.0,3669.0,3552,3502.0,3379,3561,3522.0,3410,3032,2922,3677,3668,3659,3517
3434,3648,3533.0,3644,3508,3545.0,3695.0,3507,3551,3498,3480.0,3669.0,3552,3503.0,3377,3555,3526.0,3412,3033,2928,3685,3662,3658,3517
3434,3648,3533.0,3644,3508,3536.0,3696.0,3515,3545,3501,3478.0,3664.0,3551,3489.0,3376,3556,3518.0,3418,3038,2922,3686,3666,3656,3523
3444,3656,3533.0,3648,3508,3540.0,3701.0,3517,3550,3497,3480.0,3661.0,3549,3498.0,3378,3557,3518.0,3418,3038,2922,3686,3666,3656,3523
3441,3655,3532.0,3643,3496,3544.0,3697.0,3512,3554,3497,3480.0,3661.0,3549,3498.0,3378,3557,3518.0,3410,3034,2926,3682,3670,3654,3516
3437,3655,3532.0,3643,3496,3544.0,3697.0,3512,3554,3496,3481.0,3667.0,3549,3500.0,3379,3558,3528.0,3388,3032,2925,3680,3663,3657,3522
3437,3659,3531.0,3637,3509,3546.0,3696.0,3517,3557,3490,3482.0,3672.0,3553,3501.0,3383,3559,3520.0,3406,3036,2929,3678,3663,3657,3522
3438,3654,3532.0,3637,3506,3536.0,3700.0,3519,3549,3486,3479.0,3666.0,3548,3501.0,3383,3559,3520.0,3406,3036,2929,3678,3662,3657,3507
3435,3656,3532.0,3640,3507,3536.0,3700.0,3519,3549,3486,3479.0,3666.0,3548,3503.0,3379,3556,3523.0,3421,3038,2926,3683,3667,3657,3521
3435,3656,3532.0,3640,3507,3539.0,3698.0,3520,3552,3490,3483.0,3664.0,3553,3503.0,3384,3558,3509.0,3425,3031,2927,3677,3655,3643,3513
3437,3664,3526.0,3642,3500,3548.0,3697.0,3522,3555,3493,3477.0,3668.0,3558,3505.0,3379,3559,3521.0,3425,3031,2927,3677,3655,3643,3513
3442,3657,3531.0,3639,3501,3538.0,3701.0,3517,3553,3493,3477.0,3668.0,3558,3505.0,3379,3559,3521.0,3421,3034,2928,3680,3654,3654,3514
3440,3657,3531.0,3639,3501,3538.0,3701.0,3517,3553,3499,3480.0,3663.0,3554,3502.0,3384,3552,3515.0,3414,3034,2924,3680,3664,3654,3517
3440,3657,3530.0,3642,3503,3542.0,3700.0,3521,3551,3496,3481.0,3663.0,3555,3501.0,3382,3547,3516.0,3418,3033,2920,3687,3664,3654,3517
3437,3654,3536.0,3641,3507,3542.0,3697.0,3515,3556,3497,3479.0,3673.0,3549,3501.0,3382,3547,3516.0,3418,3033,2920,3687,3662,3654,3522
3434,3656,3533.0,3641,3499,3542.0,3697.0,3515,3556,3497,3479.0,3673.0,3549,3497.0,3382,3556,3521.0,3410,3034,2922,3677,3656,3656,3521
3434,3656,3533.0,3641,3499,3546.0,3698.0,3510,3545,3493,3480.0,3666.0,3557,3506.0,3383,3556,3516.0,3406,3029,2927,3678,3665,3664,3521
3434,3670,3528.0,3644,3502,3539.0,3698.0,3506,3548,3488,3488.0,3668.0,3556,3489.0,3389,3557,3519.0,3406,3029,2927,3678,3665,3664,3521
3437,3657,3525.0,3642,3508,3547.0,3697.0,3521,3537,3488,3488.0,3668.0,3556,3489.0,3389,3557,3519.0,3396,3032,2923,3680,3666,3657,3513
3443,3657,3525.0,3642,3508,3547.0,3697.0,3521,3537,3493,3488.0,3650.0,3555,3497.0,3387,3558,3518.0,3409,3034,2924,3675,3666,3654,3522
3443,3656,3531.0,3642,3503,3536.0,3688.0,3517,3551,3494,3482.0,3668.0,3543,3501.0,3393,3560,3519.0,3401,3025,2927,3684,3666,3654,3522
3434,3658,3529.0,3644,3507,3537.0,3700.0,3517,3548,3491,3484.0,3658.0,3553,3501.0,3393,3560,3519.0,3401,3025,2927,3684,3664,3649,3530
3437,3653,3532.0,3641,3508,3537.0,3700.0,3517,3548,3491,3484.0,3658.0,3553,3496.0,3389,3562,3520.0,3400,3031,2925,3681,3667,3660,3526
3437,3653,3532.0,3641,3508,3534.0,3699.0,3511,3548,3490,3488.0,3660.0,3552,3503.0,3391,3565,3519.0,3393,3035,2926,3681,3657,3660,3524
3442,3658,3522.0,3649,3506,3528.0,3703.0,3519,3548,3489,3482.0,3668.0,3553,3503.0,3395,3559,3513.0,3393,3035,2926,3681,3657,3660,3524
3440,3660,3525.0,3641,3499,3539.0,3697.0,3517,3549,3489,3482.0,3668.0,3553,3503.0,3395,3559,3513.0,3399,3029,2928,3683,3661,3661,3527
3439,3660,3525.0,3641,3499,3539.0,3697.0,3517,3549,3486,3482.0,3662.0,3560,3501.0,3383,3557,3519.0,3400,3034,2927,3683,3666,3654,3524
3439,3654,3530.0,3645,3503,3536.0,3700.0,3517,3551,3498,3482.0,3665.0,3557,3504.0,3387,3558,3518.0,3397,3029,2926,3683,3666,3654,3524
3436,3657,3530.0,3636,3508,3538.0,3698.0,3499,3550,3493,3479.0,3674.0,3552,3504.0,3387,3558,3518.0,3397,3029,2926,3683,3648,3655,3524
3437,3657,3529.0,3638,3508,3538.0,3698.0,3499,3550,3493,3479.0,3674.0,3552,3494.0,3396,3562,3514.0,3396,3033,2921,3681,3666,3648,3524
3437,3657,3529.0,3638,3508,3542.0,3700.0,3512,3550,3496,3488.0,3663.0,3556,3500.0,3402,3562,3521.0,3398,3028,2922,3688,3668,3657,3529
3436,3653,3527.0,3642,3512,3539.0,3697.0,3509,3546,3499,3483.0,3667.0,3547,3500.0,3397,3556,3522.0,3398,3028,2922,3688,3668,3657,3529
3427,3649,3527.0,3643,3512,3539.0,3701.0,3506,3550,3499,3483.0,3667.0,3547,3500.0,3397,3556,3522.0,3395,3025,2926,3680,3669,3658,3525
3439,3649,3527.0,3643,3512,3539.0,3701.0,3506,3550,3493,3484.0,3667.0,3552,3501.0,3395,3556,3518.0,3398,3027,2925,3686,3668,3658,3529
3439,3648,3530.0,3650,3511,3544.0,3692.0,3502,3548,3493,3490.0,3660.0,3548,3500.0,3387,3556,3519.0,3401,3029,2925,3688,3668,3658,3529
3436,3656,3533.0,3644,3514,3533.0,3689.0,3512,3547,3496,3487.0,3664.0,3554,3500.0,3387,3556,3519.0,3401,3029,2925,3688,3670,3658,3521
3436,3658,3525.0,3642,3511,3533.0,3689.0,3512,3547,3496,3487.0,3664.0,3554,3504.0,3394,3553,3525.0,3391,3033,2923,3684,3666,3658,3529
3436,3658,3525.0,3642,3511,3532.0,3698.0,3508,3548,3492,3483.0,3668.0,3548,3492.0,3398,3565,3522.0,3401,3032,2925,3682,3664,3667,3528
3442,3656,3525.0,3644,3508,3529.0,3698.0,3508,3552,3492,3488.0,3671.0,3557,3505.0,3397,3559,3516.0,3401,3032,2925,3682,3664,3667,3528
3437,3662,3529.0,3634,3509,3535.0,3689.0,3512,3547,3492,3488.0,3671.0,3557,3505.0,3397,3559,3516.0,3389,3033,2925,3681,3665,3660,3511
3450,3662,3529.0,3634,3509,3535.0,3689.0,3512,3547,3482,3483.0,3668.0,3545,3504.0,3395,3557,3523.0,3397,3035,2925,3679,3665,3665,3523
3450,3660,3527.0,3644,3513,3534.0,3695.0,3507,3549,3490,3488.0,3668.0,3555,3506.0,3394,3556,3521.0,3402,3026,2926,3685,3665,3665,3523
3442,3662,3518.0,3641,3510,3537.0,3698.0,3512,3540,3485,3486.0,3665.0,3553,3506.0,3394,3556,3521.0,3402,3026,2926,3685,3662,3653,3523
3440,3660,3523.0,3645,3508,3537.0,3698.0,3512,3540,3485,3486.0,3665.0,3553,3502.0,3401,3560,3513.0,3392,3030,2924,3685,3656,3655,3526
3440,3660,3523.0,3645,3508,3535.0,3696.0,3509,3550,3494,3486.0,3666.0,3556,3504.0,3402,3566,3525.0,3398,3034,2922,3682,3655,3659,3531
3442,3652,3528.0,3639,3507,3545.0,3692.0,3510,3549,3491,3490.0,3670.0,3553,3502.0,3402,3555,3517.0,3398,3034,2922,3682,3655,3659,3531
3438,3654,3528.0,3642,3511,3537.0,3697.0,3507,3550,3491,3490.0,3670.0,3553,3502.0,3402,3555,3517.0,3397,3027,2921,3681,3665,3657,3530
3437,3654,3528.0,3642,3511,3537.0,3697.0,3507,3550,3489,3488.0,3668.0,3554,3501.0,3402,3561,3514.0,3397,3033,2919,3683,3668,3659,3529
3437,3656,3524.0,3626,3509,3545.0,3701.0,3511,3541,3494,3484.0,3666.0,3557,3502.0,3393,3559,3518.0,3396,3026,2920,3683,3668,3659,3529
3439,3665,3524.0,3647,3507,3537.0,3695.0,3508,3549,3489,3488.0,3670.0,3548,3502.0,3393,3559,3518.0,3396,3026,2920,3683,3663,3665,3528
3436,3662,3522.0,3649,3510,3537.0,3695.0,3508,3549,3489,3488.0,3670.0,3548,3490.0,3402,3559,3518.0,3394,3023,2920,3683,3668,3661,3520
3436,3662,3522.0,3649,3510,3529.0,3698.0,3512,3544,3487,3486.0,3667.0,3555,3502.0,3398,3560,3515.0,3391,3029,2922,3683,3666,3665,3526
3445,3656,3526.0,3646,3506,3537.0,3694.0,3513,3552,3490,3490.0,3669.0,3549,3503.0,3397,3557,3525.0,3391,3029,2922,3683,3666,3665,3526
3441,3649,3528.0,3647,3504,3535.0,3699.0,3505,3549,3490,3490.0,3669.0,3549,3503.0,3397,3557,3525.0,3400,3031,2914,3683,3666,3661,3530
3444,3649,3528.0,3647,3504,3535.0,3699.0,3505,3549,3488,3489.0,3644.743353566694,3552,3503.0,3404,3554,3522.0,3394,3024,2915,3681,3670,3658,3532
3444,3662,3531.0,3646,3503,3547.0,3691.0,3512,3545,3488,3489.0,3653.0,3556,3502.0,3400,3556,3512.0,3383,3026,2917,3688,3670,3658,3532
3449,3665,3528.0,3637,3514,3537.0,3691.0,3511,3546,3484,3488.0,3670.0,3545,3502.0,3400,3556,3512.0,3383,3026,2917,3688,3658,3658,3525
3450,3664,3529.0,3646,3514,3537.0,3691.0,3511,3546,3484,3488.0,3670.0,3545,3501.0,3405,3551,3516.0,3392,3025,2916,3684,3665,3666,3529
3450,3664,3529.0,3646,3514,3541.0,3697.0,3515,3552,3488,3487.0,3677.0,3554,3504.0,3402,3550,3509.0,3402,3026,2917,3680,3668,3664,3521
3450,3664,3532.0,3648,3507,3540.0,3701.0,3508,3544,3478,3486.0,3667.0,3551,3502.0,3398,3546,3523.0,3402,3026,2917,3680,3668,3664,3521
3449,3667,3533.0,3638,3514,3537.0,3700.0,3513,3547,3478,3486.0,3667.0,3551,3502.0,3398,3546,3523.0,3386,3024,2917,3686,3668,3661,3526
3444,3667,3533.0,3638,3514,3537.0,3700.0,3513,3547,3479,3486.0,3676.0,3549,3491.0,3407,3550,3493.764294320743,3394,3026,2918,3680,3663,3657,3525
3444,3663,3536.0,3642,3511,3539.0,3694.0,3513,3546,3490,3486.0,3670.0,3550,3495.0,3402,3552,3510.0,3395,3030,2912,3684,3663,3657,3525
3444,3657,3536.0,3647,3511,3542.0,3696.0,3513,3545,3486,3484.0,3668.0,3547,3495.0,3402,3552,3510.0,3395,3030,2912,3684,3665,3659,3528
3449,3661,3531.0,3652,3516,3542.0,3696.0,3513,3545,3486,3484.0,3668.0,3547,3501.0,3400,3544,3513.0,3394,3018,2916,3684,3660,3658,3530
3449,3661,3531.0,3652,3516,3540.0,3707.0,3515,3540,3479,3489.0,3666.0,3555,3503.0,3402,3553,3514.0,3395,3027,2915,3684,3665,3660,3529
3450,3652,3528.0,3649,3514,3542.0,3696.0,3498,3546,3483,3489.0,3665.0,3554,3499.0,3404,3552,3515.0,3395,3027,2915,3684,3665,3660,3529
3447,3666,3531.0,3645,3518,3543.0,3696.0,3513,3548,3483,3489.0,3665.0,3554,3499.0,3404,3552,3515.0,3396,3022,2916,3683,3667,3661,3525
