ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3291.0,3574,3477,3614.0,3548.0,3489,3701,3580,3553.0,3462,3422,3619,3584.0,3529.0,3537,3569.0,3575,3551,3053.0,2920,3621,3618,3629,3528
3286.0,3574,3477,3614.0,3548.0,3489,3701,3580,3553.0,3467,3422,3618,3588.0,3526.0,3538,3573.0,3572,3553,3054.0,2918,3622,3616,3630,3533
3286.0,3570,3474,3613.0,3545.0,3484,3701,3583,3556.0,3463,3430,3625,3586.0,3523.0,3539,3571.0,3576,3563,3058.0,2921,3627,3616,3630,3533
3285.0,3574,3470,3611.0,3554.0,3476,3700,3587,3561.0,3463,3400,3633,3590.0,3523.0,3539,3571.0,3576,3563,3058.0,2921,3627,3616,3634,3527
3279.0,3565,3470,3612.0,3550.0,3476,3700,3587,3561.0,3463,3400,3633,3590.0,3525.0,3543,3578.0,3570,3557,3053.0,2920,3624,3614,3635,3536
3279.0,3565,3470,3612.0,3550.0,3482,3696,3581,3554.0,3451,3423,3622,3587.0,3524.0,3542,3561.0,3564,3555,3057.0,2915,3630,3618,3629,3533
3282.0,3560,3467,3604.0,3544.0,3483,3694,3581,3556.0,3461,3424,3632,3586.0,3518.0,3529,3574.0,3568,3555,3057.0,2915,3630,3618,3629,3533
3273.0,3562,3470,3608.0,3547.0,3483,3696,3585,3546.0,3461,3424,3632,3586.0,3518.0,3529,3574.0,3568,3562,3051.0,2917,3636,3615,3639,3535
3274.0,3562,3470,3608.0,3547.0,3483,3696,3585,3546.0,3457,3418,3627,3587.0,3523.0,3532,3572.0,3572,3563,3053.0,2924,3623,3618,3636,3534
3274.0,3567,3463,3604.0,3544.0,3479,3702,3584,3553.0,3466,3416,3628,3580.0,3521.0,3534,3576.0,3572,3558,3050.0,2919,3630,3618,3636,3534
3270.0,3558,3467,3602.0,3543.0,3471,3697,3584,3548.0,3466,3418,3619,3586.0,3521.0,3534,3576.0,3572,3558,3050.0,2919,3630,3616,3638,3535
3266.0,3560,3460,3602.0,3547.0,3471,3697,3584,3548.0,3466,3418,3619,3586.0,3517.0,3542,3573.0,3579,3560,3052.0,2917,3634,3624,3637,3536
3266.0,3560,3460,3602.0,3547.0,3480,3698,3581,3558.0,3467,3420,3629,3582.0,3526.0,3543,3582.0,3573,3557,3055.0,2922,3631,3624,3638,3532
