ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3386,3610.0,3528,3616,3419,3545.0,3684.0,3532,3552,3498,3430,3627.0,3554,3470,3243,3577,3521,3485,3038.0,2925.0,3625.0,3608,3590,3400
3382,3613.0,3523,3611,3425,3546.0,3691.0,3538,3551,3492,3429,3622.0,3564,3467,3246,3577,3521,3485,3038.0,2925.0,3625.0,3608,3590,3403
3384,3620.0,3522,3614,3426,3541.0,3684.0,3538,3551,3492,3429,3622.0,3564,3467,3246,3570,3522,3490,3034.0,2923.0,3628.0,3600,3591,3401
3384,3620.0,3522,3614,3426,3541.0,3684.0,3526,3549,3490,3433,3624.0,3556,3451,3257,3570,3524,3486,3043.0,2922.0,3628.0,3603,3589,3392
3379,3617.0,3521,3614,3426,3542.0,3681.0,3530,3553,3495,3430,3623.0,3556,3465,3264,3569,3526,3488,3042.0,2922.0,3628.0,3603,3589,3392
3384,3609.0,3521,3616,3425,3538.0,3682.0,3537,3554,3487,3429,3623.0,3556,3465,3264,3569,3526,3488,3042.0,2926.0,3628.0,3608,3590,3397
3380,3604.0,3521,3616,3425,3538.0,3682.0,3537,3554,3487,3429,3629.0,3557,3466,3271,3575,3524,3490,3037.0,2926.0,3635.0,3608,3588,3405
3380,3604.0,3521,3620,3424,3540.0,3681.0,3532,3551,3493,3434,3626.0,3553,3472,3275,3569,3525,3502,3038.0,2923.0,3629.0,3603,3590,3405
3385,3613.0,3521,3616,3430,3539.0,3685.0,3534,3547,3493,3427,3610.0,3548,3470,3273,3569,3525,3502,3038.0,2923.0,3629.0,3603,3590,3407
3383,3615.0,3520,3607,3425,3541.0,3684.0,3534,3547,3493,3427,3610.0,3548,3470,3273,3571,3527,3484,3037.0,2927.0,3629.0,3604,3588,3394
3383,3615.0,3520,3607,3425,3541.0,3684.0,3538,3550,3482,3424,3627.0,3557,3472,3275,3570,3531,3491,3043.0,2930.0,3628.0,3601,3592,3400
3380,3616.0,3523,3610,3428,3537.0,3683.0,3538,3554,3484,3434,3621.0,3560,3477,3280,3570,3518,3495,3044.0,2930.0,3628.0,3601,3592,3400
3378,3613.0,3519,3609,3424,3537.0,3685.0,3533,3544,3479,3432,3621.0,3560,3477,3280,3570,3518,3495,3044.0,2927.0,3630.0,3601,3584,3403
3378,3608.0,3519,3609,3424,3537.0,3685.0,3533,3544,3479,3432,3618.0,3560,3473,3280,3563,3532,3488,3040.0,2928.0,3629.0,3598,3591,3397
3378,3608.0,3519,3606,3426,3534.0,3685.0,3537,3548,3486,3432,3628.0,3559,3463,3279,3573,3529,3494,3038.0,2926.0,3628.0,3599,3589,3397
