ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3406,3627,3544,3646,3504,3556.0,3715.0,3583,3571,3504.0,3422,3619,3570,3480,3355,3577,3550,3548,3053,2935.0,3624,3616,3546,3394
3404,3630,3552,3650,3517,3556.0,3716.0,3594,3575,3505.0,3424,3613,3573,3481,3354,3572,3558,3548,3055,2935.0,3624,3616,3546,3394
3403,3627,3547,3629,3510,3548.0,3718.0,3561,3576,3504.0,3425,3613,3573,3481,3354,3572,3558,3548,3055,2934.0,3622,3604,3544,3399
3399,3626,3548,3629,3510,3548.0,3718.0,3561,3576,3504.0,3425,3615,3569,3468,3352,3578,3549,3548,3054,2935.0,3622,3607,3547,3399
3399,3626,3548,3642,3519,3555.0,3718.0,3585,3578,3506.0,3424,3616,3569,3476,3362,3580,3555,3554,3057,2933.0,3624,3617,3543,3399
3400,3623,3545,3646,3513,3551.0,3708.0,3586,3572,3499.0,3421,3613,3562,3476,3354,3580,3555,3554,3057,2933.0,3624,3617,3543,3400
3402,3618,3545,3644,3510,3550.0,3715.0,3586,3572,3499.0,3421,3613,3562,3476,3354,3581,3550,3555,3062,2931.0,3620,3613,3548,3396
3402,3618,3545,3644,3510,3550.0,3715.0,3588,3575,3505.0,3424,3615,3568,3477,3350,3581,3557,3553,3054,2939.0,3629,3612,3546,3391
3395,3617,3547,3645,3511,3552.0,3716.0,3585,3576,3512.0,3421,3613,3567,3476,3346,3587,3552,3551,3062,2939.0,3629,3612,3546,3391
3400,3621,3550,3644,3512,3551.0,3711.0,3584,3576,3512.0,3421,3613,3567,3476,3346,3587,3552,3551,3062,2933.0,3622,3614,3545,3392
3401,3618,3544,3644,3512,3551.0,3711.0,3584,3576,3512.0,3421,3612,3562,3477,3348,3577,3554,3549,3064,2938.0,3624,3616,3545,3396
3401,3618,3544,3646,3508,3547.0,3715.0,3579,3576,3514.0,3424,3615,3563,3476,3348,3580,3560,3540,3050,2938.0,3622,3617,3549,3396
3405,3628,3548,3643,3508,3551.0,3715.0,3586,3573,3513.0,3419,3607,3562,3478,3341,3580,3560,3540,3050,2938.0,3622,3617,3549,3402
3404,3629,3550,3650,3512,3554.0,3718.0,3586,3573,3513.0,3419,3607,3562,3478,3341,3580,3551,3532,3058,2937.0,3621,3606,3545,3401
3404,3629,3550,3650,3512,3554.0,3718.0,3586,3571,3502.0,3420,3618,3569,3474,3349,3583,3559,3546,3056,2936.0,3622,3614,3552,3408
3408,3628,3548,3643,3515,3554.0,3722.0,3583,3577,3514.0,3424,3608,3565,3476,3343,3579,3545,3529,3056,2936.0,3622,3614,3552,3408
3404,3627,3552,3652,3504,3545.0,3717.0,3586,3580,3508.0,3422,3608,3565,3476,3343,3579,3545,3529,3056,2936.0,3623,3614,3541,3400
3406,3627,3546,3652,3504,3545.0,3717.0,3586,3580,3508.0,3422,3615,3572,3475,3338,3575,3558,3547,3060,2935.0,3623,3617,3545,3401
3406,3627,3546,3636,3508,3557.0,3717.0,3589,3576,3499.0,3424,3618,3573,3469,3343,3576,3549,3546,3060,2930.0,3625,3616,3540,3401
3406,3627,3544,3646,3513,3553.0,3719.0,3578,3567,3512.0,3423,3621,3568,3474,3348,3576,3549,3546,3060,2930.0,3625,3616,3540,3403
3412,3628,3544,3648,3511,3552.0,3718.0,3578,3567,3512.0,3423,3621,3568,3474,3348,3579,3552,3548,3057,2934.0,3627,3618,3552,3404
3412,3628,3544,3648,3511,3552.0,3718.0,3582,3568,3509.0,3431,3620,3566,3478,3346,3582,3552,3547,3054,2937.0,3623,3621,3552,3402
3409,3621,3542,3641,3510,3554.0,3714.0,3584,3578,3506.0,3428,3623,3567,3470,3338,3575,3553,3543,3058,2937.0,3623,3621,3552,3402
3413,3629,3538,3641,3518,3543.0,3719.0,3585,3567,3503.0,3429,3623,3567,3470,3338,3575,3553,3543,3058,2930.0,3628,3626,3558,3399
3408,3629,3546,3641,3518,3543.0,3719.0,3585,3567,3503.0,3429,3608,3563,3478,3333,3581,3552,3552,3054,2930.0,3631,3616,3554,3407
3408,3629,3546,3647,3509,3548.0,3717.0,3581,3577,3516.0,3425,3617,3569,3474,3346,3577,3554,3542,3057,2936.0,3627,3624,3560,3407
3378,3630,3543,3642,3506,3550.0,3712.0,3580,3573,3508.0,3421,3619,3570,3484,3342,3577,3554,3542,3057,2936.0,3627,3624,3560,3405
3407,3623,3543,3645,3513,3551.0,3715.0,3580,3573,3508.0,3421,3619,3570,3484,3342,3576,3556,3536,3054,2937.0,3626,3617,3562,3399
3407,3623,3543,3645,3513,3551.0,3715.0,3583,3575,3513.0,3425,3601,3566,3477,3345,3577,3553,3541,3058,2940.0,3634,3621,3555,3397
3401,3630,3545,3647,3507,3546.0,3716.0,3588,3577,3512.0,3429,3618,3569,3478,3337,3574,3553,3545,3058,2940.0,3634,3621,3555,3397
3405,3633,3545,3641,3510,3552.0,3721.0,3583,3582,3508.0,3426,3618,3569,3478,3337,3574,3553,3545,3058,2940.0,3627,3609,3549,3408
3406,3628,3545,3641,3510,3552.0,3721.0,3583,3582,3508.0,3426,3622,3566,3482,3333,3584,3552,3539,3060,2942.0,3631,3624,3559,3401
3406,3628,3545,3636,3511,3545.0,3715.0,3588,3576,3504.0,3424,3605,3571,3484,3341,3583,3557,3549,3061,2936.0,3627,3619,3560,3401
3403,3632,3543,3637,3506,3556.0,3721.0,3587,3571,3505.0,3428,3622,3571,3478,3341,3583,3557,3549,3061,2936.0,3627,3619,3560,3405
3403,3626,3544,3643,3511,3552.0,3714.0,3587,3571,3505.0,3428,3622,3571,3478,3341,3575,3556,3551,3057,2936.0,3627,3602,3562,3410
3403,3626,3544,3643,3511,3552.0,3714.0,3583,3568,3515.0,3427,3627,3566,3473,3338,3583,3554,3551,3059,2929.0,3637,3620,3559,3409
3405,3622,3549,3646,3518,3552.0,3718.0,3580,3567,3499.0,3428,3621,3567,3479,3346,3576,3555,3553,3058,2929.0,3637,3620,3559,3409
