ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3435,3631,3576,3629,3266,3600.0,3696,3532,3576.0,3550.0,3492,3658,3609,3519.0,3363,3616.0,3565,3514,3066,2960,3654,3609.0,3618,3351
3433,3639,3573,3624,3277,3600.0,3706,3538,3578.0,3550.0,3492,3658,3609,3519.0,3363,3616.0,3565,3521,3060,2957,3649,3606.0,3620,3369
3433,3639,3573,3624,3277,3600.0,3706,3538,3578.0,3546.0,3492,3662,3600,3496.0,3383,3619.0,3565,3519,3058,2963,3650,3612.0,3628,3380
3433,3639,3572,3620,3298,3592.0,3684,3539,3583.0,3542.0,3492,3656,3610,3524.0,3385,3616.0,3565,3522,3066,2958,3652,3612.0,3628,3380
3426,3637,3574,3623,3306,3588.0,3700,3547,3581.0,3534.0,3486,3664,3607,3524.0,3385,3616.0,3565,3522,3066,2958,3652,3614.0,3624,3388
3429,3632,3571,3620,3314,3588.0,3700,3547,3581.0,3534.0,3486,3664,3607,3526.0,3393,3608.0,3567,3527,3067,2961,3659,3609.0,3623,3395
3429,3632,3571,3620,3314,3586.0,3701,3544,3579.0,3539.0,3494,3661,3610,3525.0,3397,3617.0,3578,3527,3064,2959,3658,3607.0,3620,3409
3426,3639,3567,3620,3316,3594.0,3705,3548,3572.0,3544.0,3496,3661,3610,3528.0,3397,3618.0,3567,3527,3064,2959,3658,3607.0,3620,3409
3426,3637,3560,3616,3329,3584.0,3704,3547,3584.0,3544.0,3496,3661,3610,3528.0,3397,3618.0,3567,3523,3065,2959,3652,3616.0,3630,3423
3426,3637,3560,3616,3329,3584.0,3704,3547,3584.0,3540.0,3489,3660,3610,3523.0,3400,3617.0,3571,3531,3064,2960,3660,3611.0,3627,3417
3426,3639,3562,3617,3331,3595.0,3700,3545,3580.0,3547.0,3493,3663,3610,3517.0,3407,3613.0,3567,3529,3062,2959,3653,3611.0,3627,3417
3425,3630,3558,3622,3325,3594.0,3708,3550,3578.0,3550.0,3483,3664,3605,3517.0,3407,3613.0,3567,3529,3062,2959,3653,3603.0,3633,3427
3424,3639,3561,3612,3320,3594.0,3708,3550,3578.0,3550.0,3483,3664,3605,3520.0,3404,3616.0,3571,3536,3062,2961,3659,3609.0,3623,3425
3424,3639,3561,3612,3320,3595.0,3708,3548,3573.0,3541.0,3486,3661,3607,3522.0,3403,3621.0,3571,3536,3070,2962,3651,3603.0,3621,3417
3427,3638,3555,3621,3309,3596.0,3700,3550,3585.0,3549.0,3485,3662,3608,3519.0,3395,3617.0,3567,3536,3070,2962,3651,3603.0,3621,3417
3427,3634,3561,3618,3302,3588.0,3703,3552,3579.0,3549.0,3485,3662,3608,3519.0,3395,3617.0,3567,3540,3067,2960,3655,3604.0,3622,3411
3436,3634,3561,3618,3302,3588.0,3703,3552,3579.0,3552.0,3489,3653,3605,3518.0,3384,3617.0,3572,3534,3066,2955,3650,3601.0,3616,3391
3436,3636,3569,3617,3282,3590.0,3707,3548,3586.0,3550.0,3492,3660,3609,3519.0,3383,3622.0,3573,3531,3057,2964,3651,3601.0,3616,3391
3437,3636,3570,3616,3263,3592.0,3701,3536,3580.0,3548.0,3494,3672,3609,3519.0,3383,3622.0,3573,3531,3057,2964,3651,3592.0,3618,3373
3440,3631,3578,3614,3243,3592.0,3701,3536,3580.0,3548.0,3494,3672,3609,3519.0,3368,3617.0,3570,3516,3067,2959,3654,3588.0,3601,3346
3440,3631,3578,3614,3243,3590.0,3705,3544,3581.0,3548.0,3497,3663,3612,3514.0,3361,3620.0,3565,3519,3067,2961,3649,3593.0,3606,3329
3441,3642,3570,3613,3234,3594.0,3699,3545,3580.0,3550.0,3496,3662,3613,3518.0,3353,3614.0,3562,3519,3067,2961,3649,3593.0,3606,3329
3440,3643,3575,3613,3225,3595.0,3694,3534,3580.0,3550.0,3496,3662,3613,3518.0,3353,3614.0,3562,3518,3062,2960,3650,3585.0,3601,3335
3440,3643,3575,3613,3225,3595.0,3694,3534,3580.0,3549.0,3498,3665,3615,3516.0,3351,3618.0,3558,3516,3067,2957,3655,3589.0,3604,3321
3440,3646,3577,3613,3227,3597.0,3694,3538,3583.0,3548.0,3502,3674,3612,3518.0,3342,3615.0,3565,3514,3065,2958,3654,3589.0,3604,3321
3448,3646,3574,3618,3232,3597.0,3693,3528,3583.0,3536.0,3498,3668,3614,3518.0,3342,3615.0,3565,3514,3065,2958,3654,3590.0,3615,3337
3439,3650,3572,3614,3239,3597.0,3693,3528,3583.0,3536.0,3498,3668,3614,3516.0,3346,3617.0,3559,3514,3070,2953,3654,3598.0,3612,3343
3439,3650,3572,3614,3239,3598.0,3686,3530,3577.0,3541.0,3502,3672,3609,3524.0,3352,3615.0,3562,3519,3060,2963,3661,3601.0,3625,3356
3435,3642,3578,3624,3237,3593.0,3690,3521,3576.0,3546.0,3493,3673,3609,3521.0,3342,3618.0,3564,3519,3060,2963,3661,3601.0,3625,3356
3438,3651,3570,3616,3261,3588.0,3698,3518,3570.0,3546.0,3493,3673,3609,3521.0,3342,3618.0,3564,3515,3058,2961,3661,3608.0,3625,3376
3434,3651,3570,3616,3261,3588.0,3698,3518,3570.0,3538.0,3497,3674,3608,3514.0,3366,3610.0,3566,3520,3057,2963,3665,3613.0,3626,3396
3434,3644,3570,3619,3268,3588.0,3693,3518,3574.0,3547.0,3493,3667,3606,3518.0,3373,3621.0,3564,3520,3060,2946,3664,3613.0,3626,3396
3430,3642,3564,3626,3290,3588.0,3689,3528,3577.0,3546.0,3498,3669,3600,3518.0,3373,3621.0,3564,3520,3060,2946,3664,3625.0,3633,3401
3433,3646,3561,3626,3302,3588.0,3689,3528,3577.0,3546.0,3498,3669,3600,3522.0,3383,3614.0,3563,3512,3066,2961,3669,3629.0,3638,3421
3433,3646,3561,3626,3302,3584.0,3696,3524,3578.0,3545.0,3491,3666,3599,3514.0,3392,3616.0,3571,3514,3053,2953,3670,3629.0,3644,3444
3424,3641,3556,3625,3319,3589.0,3689,3534,3575.0,3544.0,3488,3662,3596,3521.0,3397,3609.0,3563,3514,3053,2953,3670,3629.0,3644,3444
3417,3642,3556,3622,3331,3571.0,3702,3525,3582.0,3544.0,3488,3662,3596,3521.0,3397,3609.0,3563,3522,3062,2958,3667,3634.0,3644,3452
3418,3642,3556,3622,3331,3571.0,3702,3525,3582.0,3532.0,3480,3674,3593,3530.0,3402,3601.0,3563,3522,3058,2959,3676,3637.0,3649,3474
3418,3642,3547,3618,3339,3580.0,3691,3532,3577.0,3540.0,3486,3668,3593,3524.0,3413,3607.0,3567,3515,3061,2960,3669,3637.0,3649,3474
3408,3642,3549,3620,3330,3581.0,3696,3521,3572.0,3546.0,3482,3668,3597,3524.0,3413,3607.0,3567,3515,3061,2960,3669,3640.0,3655,3483
3408,3643,3537,3613,3356,3581.0,3696,3521,3572.0,3546.0,3482,3668,3597,3529.0,3410,3615.0,3566,3510,3062,2962,3672,3634.0,3651,3492
3408,3643,3537,3613,3356,3568.0,3688,3518,3572.0,3546.0,3485,3670,3596,3525.0,3419,3612.0,3565,3503,3058,2959,3677,3647.0,3657,3505
3415,3647,3533,3613,3373,3571.0,3686,3503,3567.0,3538.0,3484,3673,3591,3525.0,3429,3608.0,3562,3503,3058,2959,3677,3647.0,3657,3505
3416,3637,3532,3618,3396,3572.0,3684,3483,3563.0,3538.0,3484,3673,3591,3525.0,3429,3608.0,3562,3496,3060,2955,3677,3655.0,3655,3513
3411,3637,3532,3618,3396,3572.0,3684,3483,3563.0,3536.0,3491,3672,3589,3523.0,3449,3609.0,3558,3485,3057,2956,3684,3648.0,3664,3518
3411,3640,3532,3613,3419,3569.0,3678,3474,3558.0,3538.0,3480,3671,3595,3530.0,3450,3615.0,3563,3474,3059,2960,3668,3648.0,3664,3518
3403,3635,3540,3626,3439,3572.0,3675,3454,3563.0,3549.0,3480,3664,3596,3530.0,3450,3615.0,3563,3474,3059,2960,3668,3649.0,3659,3523
3410,3630,3545,3642,3460,3572.0,3675,3454,3563.0,3549.0,3480,3664,3596,3538.0,3468,3608.0,3563,3461,3062,2951,3667,3646.0,3657,3521
3410,3630,3545,3642,3460,3574.0,3677,3434,3562.0,3547.0,3482,3661,3599,3528.0,3481,3614.0,3557,3452,3060,2955,3658,3649.0,3661,3529
3422,3632,3558,3647,3478,3586.0,3682,3411,3563.0,3547.0,3483,3660,3601,3531.0,3484,3607.0,3560,3452,3060,2955,3658,3649.0,3661,3529
3429,3632,3565,3640,3490,3585.0,3686,3405,3562.0,3547.0,3483,3660,3601,3531.0,3484,3607.0,3560,3440,3051,2960,3655,3645.0,3653,3529
3438,3632,3565,3640,3490,3585.0,3686,3405,3562.0,3542.0,3494,3664,3596,3536.0,3495,3610.0,3562,3432,3054,2951,3654,3636.0,3647,3524
3438,3628,3568,3642,3499,3584.0,3690,3399,3557.0,3539.0,3492,3663,3604,3532.0,3501,3617.0,3562,3426,3057,2962,3652,3636.0,3647,3524
3428,3630,3566,3645,3502,3581.0,3688,3393,3558.0,3539.0,3499,3658,3608,3532.0,3501,3617.0,3562,3426,3057,2962,3652,3632.0,3650,3519
3431,3626,3566,3637,3510,3581.0,3688,3393,3558.0,3539.0,3499,3658,3608,3538.0,3502,3614.0,3557,3430,3053,2956,3650,3624.0,3646,3528
3431,3626,3566,3637,3510,3582.0,3684,3396,3555.0,3531.0,3502,3669,3615,3539.0,3506,3624.0,3559,3430,3052,2961,3646,3616.0,3643,3514
3428,3624,3566,3636,3505,3579.0,3690,3393,3558.0,3537.0,3504,3667,3626,3543.0,3512,3626.0,3570,3430,3052,2961,3646,3616.0,3643,3514
3433,3624,3559,3628,3507,3576.0,3684,3400,3545.0,3537.0,3504,3667,3626,3543.0,3512,3626.0,3570,3445,3055,2961,3636,3605.0,3642,3522
3430,3624,3559,3628,3507,3576.0,3684,3400,3545.0,3515.0,3526,3672,3622,3547.0,3514,3611.0,3568,3450,3056,2953,3632,3587.0,3623,3518
3430,3614,3541,3628,3513,3574.0,3685,3414,3548.0,3522.0,3526,3669,3633,3537.0,3511,3627.0,3567,3460,3054,2956,3630,3587.0,3623,3518
3435,3619,3570,3628,3515,3577.0,3694,3425,3536.775133716768,3525.0,3526,3666,3638,3537.0,3511,3627.0,3567,3460,3054,2956,3630,3576.0,3622,3509
3449,3617,3569,3625,3510,3577.0,3694,3425,3536.775133716768,3525.0,3526,3666,3638,3541.0,3513,3631.0,3570,3464,3056,2963,3613,3530.0,3601,3486
3449,3617,3569,3625,3510,3577.0,3690,3439,3540.0,3519.0,3534,3671,3636,3535.0,3512,3630.0,3572,3481,3051,2960,3608,3484.0,3579,3442
3438,3614,3574,3617,3507,3573.0,3695,3474,3536.775133716768,3529.0,3533,3634,3637,3531.0,3513,3636.0,3578,3481,3051,2960,3608,3484.0,3579,3442
3442,3609,3580,3616,3499,3583.0,3695,3498,3544.0,3529.0,3533,3634,3637,3531.0,3513,3636.0,3578,3492,3053,2955,3596,3418.0,3550,3411
3442,3609,3580,3616,3499,3583.0,3695,3498,3544.0,3531.0,3524,3653,3634,3535.0,3504,3634.0,3573,3499,3055,2955,3592,3416.8433170270587,3532,3367
3442,3623,3578,3611,3501,3584.0,3696,3512,3549.0,3525.0,3518,3661,3633,3521.0,3502,3630.0,3577,3508,3055,2950,3595,3416.8433170270587,3532,3367
3452,3615,3577,3613,3497,3588.0,3701,3530,3552.0,3521.0,3519,3662,3628,3521.0,3502,3630.0,3577,3508,3055,2950,3595,3416.8433170270587,3531,3329
3451,3628,3577,3611,3487,3588.0,3701,3530,3552.0,3521.0,3519,3662,3628,3528.0,3498,3620.0,3573,3522,3049,2948,3601,3424.0,3526,3294
3451,3628,3577,3611,3487,3576.0,3708,3540,3556.0,3515.0,3512,3659,3627,3527.0,3496,3619.0,3569,3522,3051,2951,3605,3416.8433170270587,3523,3272
3444,3626,3574,3603,3478,3583.0,3704,3554,3555.0,3516.0,3517,3658,3626,3527.0,3493,3619.0,3576,3522,3051,2951,3605,3416.8433170270587,3523,3272
3436,3629,3578,3604,3475,3579.0,3710,3554,3560.0,3516.0,3517,3658,3626,3527.0,3493,3619.0,3576,3534,3053,2947,3605,3441.0,3532,3256
3435,3629,3578,3604,3475,3579.0,3710,3554,3560.0,3511.0,3513,3659,3628,3526.0,3494,3621.0,3572,3536,3050,2946,3611,3461.0,3538,3244
3435,3622,3563,3603,3477,3574.0,3709,3570,3557.0,3507.0,3512,3653,3618,3522.0,3492,3614.0,3578,3544,3052,2943,3609,3461.0,3538,3244
3433,3608,3561,3598,3470,3576.0,3713,3569,3562.0,3506.0,3509,3659,3624,3522.0,3492,3614.0,3578,3544,3052,2943,3609,3464.0,3542,3226
3426,3611,3559,3597,3457,3576.0,3713,3569,3562.0,3506.0,3509,3659,3624,3528.0,3486,3608.0,3573,3552,3051,2943,3613,3484.0,3556,3219
3426,3611,3559,3597,3457,3570.0,3713,3571,3569.0,3514.0,3504,3655,3618,3513.0,3477,3614.0,3576,3553,3053,2939,3611,3504.0,3554,3203
3409,3615,3558,3594,3449,3568.0,3699,3575,3567.0,3505.0,3496,3660,3619,3526.0,3465,3603.0,3568,3553,3053,2939,3611,3504.0,3554,3203
3416,3616,3553,3598,3440,3570.0,3706,3578,3566.0,3505.0,3496,3660,3619,3526.0,3465,3603.0,3568,3557,3057,2940,3613,3505.0,3558,3197
3398,3616,3553,3598,3440,3570.0,3706,3578,3566.0,3504.0,3493,3655,3614,3506.0,3468,3606.0,3565,3556,3058,2929,3616,3520.0,3562,3182
3398,3606,3554,3600,3425,3558.0,3706,3578,3562.0,3505.0,3495,3650,3609,3517.0,3442,3608.0,3572,3552,3063,2937,3620,3520.0,3562,3182
3398,3610,3546,3594,3423,3562.0,3711,3581,3567.0,3501.0,3488,3651,3617,3517.0,3442,3608.0,3572,3552,3063,2937,3620,3522.0,3566,3194
3395,3615,3545,3591,3409,3562.0,3711,3581,3567.0,3501.0,3488,3651,3617,3520.0,3455,3611.0,3571,3554,3049,2940,3623,3530.0,3569,3208
3395,3615,3545,3591,3409,3560.0,3705,3586,3568.0,3503.0,3485,3651,3589,3517.0,3446,3609.0,3573,3548,3058,2933,3620,3541.0,3576,3222
3386,3610,3542,3596,3389,3545.1509306107646,3705,3584,3575.0,3499.0,3483,3642,3612,3518.0,3437,3600.0,3575,3548,3058,2933,3620,3541.0,3576,3222
3380,3611,3537,3601,3387,3558.0,3706,3585,3568.0,3499.0,3483,3642,3612,3518.0,3437,3600.0,3575,3557,3055,2937,3622,3536.0,3580,3237
3384,3611,3537,3601,3387,3558.0,3706,3585,3568.0,3504.0,3482,3646,3606,3522.0,3429,3599.0,3569,3556,3060,2940,3628,3552.0,3577,3269
3384,3607,3536,3590,3372,3555.0,3706,3583,3572.0,3502.0,3472,3653,3606,3522.0,3422,3598.0,3571,3552,3057,2938,3629,3552.0,3577,3269
3378,3609,3530,3600,3362,3558.0,3707,3583,3573.0,3486.8589653927975,3472,3651,3610,3522.0,3422,3598.0,3571,3552,3057,2938,3629,3569.0,3602,3293
3379,3609,3530,3587,3345,3558.0,3707,3583,3573.0,3486.8589653927975,3472,3651,3610,3518.0,3420,3602.0,3570,3549,3064,2941,3636,3576.0,3600,3327
3379,3609,3530,3587,3345,3556.0,3708,3586,3571.0,3502.0,3467,3655,3606,3519.0,3414,3603.0,3573,3563,3059,2938,3641,3583.0,3607,3352
3374,3607,3529,3595,3332,3557.0,3707,3582,3568.0,3519.0,3471,3660,3603,3521.0,3406,3607.0,3568,3563,3059,2938,3641,3583.0,3607,3352
3382,3610,3538,3605,3328,3563.0,3706,3584,3570.0,3519.0,3471,3660,3603,3521.0,3406,3607.0,3568,3556,3060,2944,3649,3591.0,3613,3383
3395,3610,3538,3605,3328,3563.0,3706,3584,3570.0,3507.0,3474,3656,3604,3519.0,3401,3583.205966107894,3576,3555,3069,2944,3649,3607.0,3625,3404
3395,3623,3536,3606,3326,3563.0,3704,3575,3580.0,3513.0,3476,3659,3602,3522.0,3400,3604.0,3573,3560,3061,2941,3647,3607.0,3625,3404
3397,3606,3543,3607,3320,3570.0,3706,3575,3569.0,3527.0,3477,3650,3595,3522.0,3400,3604.0,3573,3560,3061,2941,3647,3608.0,3622,3421
3398,3628,3549,3613,3299,3570.0,3706,3575,3569.0,3527.0,3477,3650,3595,3527.0,3391,3606.0,3570,3556,3062,2942,3651,3606.0,3624,3421
3398,3628,3549,3613,3299,3573.0,3712,3582,3579.0,3530.0,3473,3654,3600,3518.0,3384,3614.0,3569,3546,3069,2952,3646,3602.0,3623,3418
3394,3625,3552,3612,3298,3577.0,3677,3571,3577.0,3531.0,3478,3664,3602,3511.0,3383,3613.0,3561,3546,3069,2952,3646,3602.0,3623,3418
3407,3629,3554,3614,3297,3585.0,3704,3564,3579.0,3531.0,3478,3664,3602,3511.0,3383,3613.0,3561,3544,3065,2947,3654,3607.0,3630,3410
3414,3629,3554,3614,3297,3585.0,3704,3564,3579.0,3533.0,3487,3667,3603,3520.0,3369,3614.0,3570,3539,3065,2951,3655,3610.0,3622,3399
3414,3639,3555,3612,3286,3578.0,3700,3558,3583.0,3539.0,3493,3664,3610,3521.0,3364,3609.0,3569,3533,3067,2957,3656,3610.0,3622,3399
3424,3641,3560,3608,3281,3580.0,3695,3552,3579.0,3538.0,3495,3676,3607,3521.0,3364,3609.0,3569,3533,3067,2957,3656,3600.0,3614,3398
3427,3640,3558,3615,3279,3580.0,3695,3552,3579.0,3538.0,3495,3676,3607,3520.0,3357,3614.0,3570,3536,3068,2956,3660,3609.0,3617,3392
3427,3640,3558,3615,3279,3580.0,3694,3547,3570.0,3538.0,3501,3660,3610,3519.0,3361,3625.0,3568,3532,3067,2957,3658,3611.0,3622,3383
3438,3644,3562,3625,3276,3583.0,3689,3541,3574.0,3539.0,3502,3678,3614,3522.0,3348,3608.0,3565,3532,3067,2957,3658,3611.0,3622,3383
3433,3635,3558,3617,3266,3581.0,3693,3531,3578.0,3539.0,3502,3678,3614,3522.0,3348,3608.0,3565,3516,3067,2954,3664,3605.0,3630,3382
3432,3635,3558,3617,3266,3581.0,3693,3531,3578.0,3535.0,3508,3675,3614,3521.0,3347,3621.0,3564,3511,3058,2970,3659,3615.0,3628,3384
3432,3640,3570,3615,3278,3584.0,3693,3519,3578.0,3538.0,3512,3679,3618,3520.0,3344,3621.0,3561,3506,3060,2957,3659,3615.0,3628,3384
3436,3648,3558,3616,3285,3581.0,3681,3522,3572.0,3537.0,3509,3676,3615,3520.0,3344,3621.0,3561,3506,3060,2957,3659,3620.0,3635,3390
3435,3650,3560,3620,3301,3581.0,3681,3522,3572.0,3537.0,3509,3676,3615,3515.0,3352,3614.0,3563,3502,3062,2956,3664,3619.0,3633,3403
3435,3650,3560,3620,3301,3578.0,3689,3512,3572.0,3535.0,3507,3679,3613,3515.0,3359,3625.0,3563,3494,3060,2954,3666,3633.0,3645,3414
3433,3649,3563,3627,3314,3578.0,3684,3518,3574.0,3539.0,3507,3671,3607,3521.0,3365,3620.0,3565,3494,3060,2954,3666,3633.0,3645,3414
3428,3647,3557,3625,3331,3575.0,3691,3519,3571.0,3539.0,3507,3671,3607,3521.0,3365,3620.0,3565,3495,3059,2957,3669,3634.0,3643,3425
3422,3647,3557,3625,3331,3575.0,3691,3519,3571.0,3539.0,3503,3671,3611,3528.0,3376,3622.0,3557,3500,3064,2955,3669,3636.0,3645,3442
3422,3646,3556,3625,3340,3575.0,3693,3518,3573.0,3539.0,3505,3674,3608,3528.0,3387,3618.0,3560,3502,3062,2957,3668,3636.0,3645,3442
3423,3644,3557,3625,3350,3562.0,3691,3531,3571.0,3535.0,3500,3659,3607,3528.0,3387,3618.0,3560,3502,3062,2957,3668,3634.0,3646,3455
3428,3651,3550,3626,3364,3562.0,3691,3531,3571.0,3535.0,3500,3659,3607,3523.0,3393,3613.0,3563,3510,3058,2959,3669,3624.0,3642,3460
3428,3651,3550,3626,3364,3570.0,3697,3528,3569.0,3539.0,3501,3676,3604,3530.0,3403,3620.0,3562,3518,3063,2960,3674,3635.0,3651,3468
3425,3646,3552,3624,3342,3575.0,3694,3529,3576.0,3531.0,3495,3676,3608,3533.0,3411,3612.0,3552,3518,3063,2960,3674,3635.0,3651,3468
3426,3646,3560,3624,3360,3576.0,3694,3532,3573.0,3531.0,3495,3676,3608,3533.0,3411,3612.0,3552,3518,3060,2959,3669,3639.0,3649,3465
3431,3646,3560,3624,3360,3576.0,3694,3532,3573.0,3530.0,3498,3666,3611,3524.0,3400,3616.0,3566,3517,3060,2959,3671,3636.0,3646,3464
3431,3646,3550,3628,3364,3581.0,3695,3539,3572.0,3534.0,3500,3672,3607,3522.0,3396,3615.0,3562,3521,3059,2962,3668,3636.0,3646,3464
3428,3652,3554,3618,3362,3578.0,3697,3533,3571.0,3540.0,3506,3677,3609,3522.0,3396,3615.0,3562,3521,3059,2962,3668,3627.0,3647,3463
3429,3644,3558,3625,3354,3578.0,3697,3533,3571.0,3540.0,3506,3677,3609,3521.0,3396,3622.0,3568,3508,3062,2960,3671,3631.0,3643,3456
3429,3644,3558,3625,3354,3576.0,3685,3534,3580.0,3528.0,3501,3678,3613,3525.0,3387,3614.0,3567,3514,3065,2963,3667,3624.0,3641,3447
3432,3641,3554,3618,3343,3583.0,3694,3536,3574.0,3539.0,3508,3674,3612,3528.0,3382,3618.0,3569,3514,3065,2963,3667,3624.0,3641,3447
3429,3639,3556,3622,3335,3573.0,3692,3530,3569.0,3539.0,3508,3674,3612,3528.0,3382,3618.0,3569,3514,3061,2933,3669,3627.0,3639,3439
3438,3639,3556,3622,3335,3573.0,3692,3530,3569.0,3544.0,3505,3666,3611,3522.0,3368,3619.0,3563,3503,3062,2964,3669,3627.0,3639,3433
3438,3650,3557,3621,3319,3579.0,3689,3522,3568.0,3539.0,3505,3676,3616,3526.0,3365,3627.0,3560,3504,3050,2962,3666,3627.0,3639,3433
3439,3648,3557,3622,3316,3578.0,3682,3521,3575.0,3542.0,3510,3679,3614,3526.0,3365,3627.0,3560,3504,3050,2962,3666,3625.0,3630,3420
3434,3646,3561,3620,3300,3578.0,3682,3521,3575.0,3542.0,3510,3679,3614,3525.0,3356,3624.0,3559,3504,3060,2958,3667,3619.0,3630,3403
3434,3646,3561,3620,3300,3574.0,3690,3518,3572.0,3539.0,3515,3680,3612,3525.0,3353,3621.0,3554,3495,3062,2957,3664,3628.0,3640,3400
3433,3655,3561,3621,3294,3580.0,3684,3510,3577.0,3544.0,3512,3670,3619,3527.0,3355,3620.0,3558,3495,3062,2957,3664,3628.0,3640,3400
3438,3652,3559,3625,3309,3580.0,3690,3511,3571.0,3544.0,3512,3670,3619,3527.0,3355,3620.0,3558,3490,3063,2964,3667,3622.0,3640,3418
3437,3652,3559,3625,3309,3580.0,3690,3511,3571.0,3538.0,3511,3679,3613,3525.0,3355,3616.0,3555,3490,3060,2959,3677,3631.0,3632,3420
3437,3652,3553,3629,3319,3574.0,3686,3500,3569.0,3517.0,3502,3679,3611,3522.0,3368,3621.0,3553,3488,3060,2959,3673,3631.0,3632,3420
3435,3649,3561,3627,3330,3579.0,3691,3500,3575.0,3524.0,3507,3681,3609,3522.0,3368,3621.0,3553,3488,3060,2959,3673,3635.0,3644,3434
3434,3641,3560,3628,3337,3579.0,3691,3500,3575.0,3524.0,3507,3681,3609,3522.0,3367,3614.0,3557,3493,3062,2960,3667,3628.0,3643,3441
3434,3641,3560,3628,3337,3585.0,3688,3495,3566.0,3538.0,3501,3680,3611,3520.0,3349,3617.0,3561,3494,3058,2958,3677,3640.0,3641,3455
3434,3650,3561,3628,3356,3581.0,3689,3505,3574.0,3537.0,3509,3679,3613,3524.0,3371,3587.0,3566,3494,3058,2958,3677,3640.0,3641,3455
3435,3655,3552,3626,3365,3574.0,3692,3510,3571.0,3537.0,3509,3679,3613,3524.0,3371,3587.0,3566,3496,3060,2964,3666,3635.0,3654,3460
3428,3655,3552,3626,3365,3574.0,3692,3510,3571.0,3538.0,3504,3674,3608,3518.0,3390,3620.0,3562,3500,3054,2956,3669,3639.0,3648,3468
3428,3661,3554,3625,3365,3573.0,3692,3504,3567.0,3544.0,3509,3676,3609,3519.0,3397,3617.0,3567,3490,3057,2959,3669,3639.0,3648,3468
