ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3427,3623,3524,3622,3496,3511,3693,3565,3550.0,3450,3507,3659.0,3586,3522,3507,3565,3563,3541,3043.0,2906.0,3644,3610,3601,3473
3427,3623,3524,3622,3496,3511,3693,3570,3551.0,3458,3508,3668.0,3584,3526,3504,3568,3568,3537,3043.0,2911.0,3643,3608,3623,3464
3425,3635,3526,3628,3500,3527,3693,3571,3548.0,3456,3506,3646.0,3588,3528,3497,3571,3556,3533,3048.0,2911.0,3643,3608,3623,3464
3423,3633,3529,3622,3500,3521,3705,3572,3550.0,3468,3499,3646.0,3588,3528,3497,3571,3556,3533,3048.0,2906.0,3638,3597,3619,3458
3430,3629,3528,3622,3500,3521,3705,3572,3550.0,3468,3499,3652.0,3590,3529,3499,3580,3566,3544,3042.0,2909.0,3641,3602,3624,3450
3430,3629,3528,3624,3508,3517,3698,3570,3551.0,3459,3503,3663.0,3586,3524,3497,3568,3553,3550,3051.0,2909.0,3643,3605,3608,3450
3424,3630,3524,3627,3496,3519,3692,3572,3542.0,3455,3496,3652.0,3592,3524,3507,3568,3553,3550,3051.0,2909.0,3643,3605,3608,3463
3425,3628,3528,3633,3500,3518,3698,3572,3542.0,3455,3496,3652.0,3592,3524,3507,3562,3565,3540,3045.0,2911.0,3645,3600,3624,3457
3425,3628,3528,3633,3500,3518,3698,3575,3551.0,3457,3502,3660.0,3589,3525,3492,3564,3567,3546,3049.0,2910.0,3639,3595,3618,3454
3429,3633,3525,3610,3497,3519,3696,3569,3553.0,3448,3507,3660.0,3596,3518,3489,3569,3561,3551,3046.0,2910.0,3639,3595,3618,3454
3428,3627,3527,3631,3499,3521,3700,3570,3552.0,3467,3501,3660.0,3596,3518,3489,3569,3561,3551,3046.0,2905.0,3638,3611,3617,3459
3434,3632,3527,3631,3499,3521,3700,3570,3552.0,3467,3501,3657.0,3591,3523,3490,3563,3566,3550,3050.0,2909.0,3640,3600,3620,3461
3434,3632,3527,3628,3496,3527,3701,3575,3544.0,3455,3501,3660.0,3590,3519,3483,3567,3564,3547,3049.0,2911.0,3645,3608,3619,3461
3429,3623,3530,3627,3500,3522,3696,3552,3552.0,3458,3499,3649.0,3590,3519,3489,3567,3564,3547,3049.0,2911.0,3645,3608,3619,3451
3433,3634,3537,3631,3501,3520,3700,3552,3552.0,3458,3499,3649.0,3590,3519,3489,3567,3562,3536,3045.0,2908.0,3638,3613,3628,3450
3433,3634,3537,3631,3501,3520,3700,3570,3555.0,3464,3502,3660.0,3586,3516,3493,3574,3561,3544,3046.0,2907.0,3640,3610,3617,3447
3439,3630,3539,3635,3491,3520,3686,3570,3550.0,3460,3504,3659.0,3582,3520,3484,3567,3554,3543,3046.0,2907.0,3640,3610,3617,3447
3435,3641,3533,3628,3500,3521,3692,3565,3552.0,3461,3504,3659.0,3582,3520,3484,3567,3554,3543,3046.0,2902.0,3648,3620,3616,3455
3436,3633,3526,3628,3500,3521,3692,3565,3552.0,3461,3504,3655.0,3590,3515,3490,3573,3562,3546,3048.0,2908.0,3645,3620,3625,3460
3436,3633,3526,3632,3489,3514,3693,3568,3556.0,3459,3502,3653.0,3591,3526,3480,3575,3562,3547,3052.0,2911.0,3644,3605,3618,3460
