ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3416,3656.0,3495,3621,3502,3527,3691.0,3532,3559,3499,3485.0,3685,3552,3539,3524,3563,3544.724632092467,3530,3054.0,2931,3667.763624440612,3668,3683,3551
3420,3659.0,3490,3625,3510,3526,3687.0,3532,3562,3490,3489.0,3675,3562,3529,3527,3560,3562.0,3530,3054.0,2931,3667.763624440612,3668,3683,3551
3417,3652.0,3497,3626,3509,3529,3692.0,3530,3557,3490,3489.0,3675,3562,3529,3527,3560,3562.0,3519,3052.0,2930,3688.0,3670,3680,3555
3411,3652.0,3497,3626,3509,3529,3692.0,3530,3557,3492,3486.0,3682,3556,3529,3525,3557,3566.0,3533,3056.0,2922,3688.0,3672,3672,3558
3411,3652.0,3501,3622,3526,3526,3688.0,3527,3553,3502,3486.0,3677,3555,3530,3518,3567,3560.0,3532,3049.0,2928,3693.0,3672,3672,3558
3415,3648.0,3492,3626,3517,3525,3694.0,3530,3560,3504,3485.0,3677,3558,3530,3518,3567,3560.0,3532,3049.0,2928,3693.0,3673,3680,3559
3417,3650.0,3495,3621,3526,3525,3694.0,3530,3560,3504,3485.0,3677,3558,3527,3528,3550,3560.0,3528,3056.0,2927,3693.0,3673,3682,3560
3417,3650.0,3495,3621,3526,3522,3692.0,3536,3557,3498,3482.0,3674,3547,3529,3518,3563,3563.0,3525,3045.0,2918,3688.0,3673,3682,3562
3414,3642.0,3489,3626,3521,3524,3692.0,3521,3558,3502,3482.0,3671,3546,3523,3522,3553,3562.0,3525,3045.0,2918,3688.0,3673,3682,3562
3415,3649.0,3491,3630,3522,3520,3692.0,3535,3560,3502,3482.0,3671,3546,3523,3522,3553,3562.0,3520,3047.0,2929,3685.0,3674,3680,3544
3410,3649.0,3491,3630,3522,3520,3692.0,3535,3560,3498,3483.0,3672,3548,3523,3524,3552,3561.0,3517,3057.0,2927,3696.0,3672,3686,3559
3410,3631.0,3493,3628,3529,3518,3681.0,3531,3561,3502,3483.0,3680,3550,3526,3532,3549,3561.0,3524,3049.0,2929,3690.0,3672,3686,3559
3416,3650.0,3489,3627,3525,3514,3686.0,3534,3557,3496,3483.0,3665,3546,3526,3532,3549,3561.0,3524,3049.0,2929,3690.0,3672,3688,3552
3416,3653.0,3492,3618,3525,3514,3686.0,3534,3557,3496,3483.0,3665,3546,3528,3526,3550,3561.0,3528,3046.0,2924,3691.0,3668,3684,3550
3416,3653.0,3492,3618,3525,3521,3688.0,3544,3556,3491,3488.0,3678,3551,3531,3526,3550,3563.0,3517,3048.0,2926,3692.0,3677,3680,3560
3423,3653.0,3496,3627,3529,3517,3691.0,3538,3556,3490,3496.0,3676,3549,3536,3531,3548,3563.0,3517,3048.0,2926,3692.0,3677,3680,3560
3423,3655.0,3496,3627,3530,3518,3696.0,3542,3549,3490,3496.0,3676,3549,3536,3531,3548,3563.0,3529,3049.0,2927,3688.0,3679,3682,3553
3432,3655.0,3496,3627,3530,3518,3696.0,3542,3549,3486,3494.0,3677,3550,3530,3530,3545,3558.0,3519,3044.0,2919,3694.0,3675,3673,3555
3432,3658.0,3498,3634,3533,3518,3692.0,3547,3547,3482,3496.0,3681,3555,3528,3522,3537,3558.0,3531,3048.0,2916,3692.0,3675,3673,3555
3430,3656.0,3503,3630,3529,3523,3696.0,3547,3549,3474,3497.0,3682,3557,3528,3522,3537,3558.0,3531,3048.0,2916,3692.0,3664,3680,3558
3427,3653.0,3508,3632,3510,3523,3696.0,3547,3549,3474,3497.0,3682,3557,3537,3529,3558,3558.0,3531,3050.0,2914,3689.0,3673,3677,3557
3427,3653.0,3508,3632,3510,3529,3696.0,3550,3558,3482,3502.0,3679,3565,3533,3508,3570,3567.0,3539,3050.0,2918,3687.0,3661,3681,3552
3422,3656.0,3510,3634,3501,3528,3699.0,3552,3556,3484,3502.0,3685,3570,3532,3511,3573,3570.0,3539,3050.0,2918,3687.0,3661,3681,3552
3421,3644.0,3511,3630,3496,3537,3698.0,3550,3563,3484,3502.0,3685,3570,3532,3511,3573,3570.0,3536,3047.0,2923,3684.0,3666,3680,3549
3429,3644.0,3511,3630,3496,3537,3698.0,3550,3563,3489,3499.0,3670,3571,3533,3508,3573,3566.0,3522,3048.0,2918,3686.0,3671,3680,3540
