ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3308,3498,3518,3586,3437,3515.0,3679,3549,3547.0,3481,3363.0,3503.0,3568.0,3441.0,3338.0,3576.0,3544.0,3528,3042.0,2926.0,3367,3392,3110.0,3042
3300,3514,3512,3586,3435,3516.0,3679,3561,3550.0,3482,3361.0,3508.0,3574.0,3447.0,3337.0,3582.0,3531.0,3528,3042.0,2926.0,3367,3392,3110.0,3042
3300,3512,3510,3583,3433,3515.0,3675,3557,3551.0,3482,3361.0,3508.0,3574.0,3447.0,3337.0,3582.0,3531.0,3524,3050.0,2926.0,3366,3400,3102.0,3034
3308,3512,3510,3583,3433,3515.0,3675,3557,3551.0,3470,3362.0,3504.0,3568.0,3443.0,3340.0,3576.0,3541.0,3526,3043.0,2926.0,3366,3402,3106.0,3044
3308,3510,3514,3587,3440,3516.0,3678,3556,3549.0,3480,3366.0,3504.0,3575.0,3449.0,3341.0,3573.0,3538.0,3531,3045.0,2927.0,3369,3402,3106.0,3044
3298,3514,3511,3588,3437,3516.0,3684,3556,3542.0,3480,3359.0,3504.0,3578.0,3449.0,3341.0,3573.0,3538.0,3531,3045.0,2927.0,3369,3395,3102.0,3050
3303,3516,3510,3582,3440,3516.0,3684,3556,3542.0,3480,3359.0,3504.0,3578.0,3441.0,3343.0,3570.0,3538.0,3525,3039.0,2929.0,3373,3388,3104.0,3046
3303,3516,3510,3582,3440,3510.0,3681,3556,3552.0,3465,3364.0,3505.0,3583.0,3442.0,3340.0,3567.0,3539.0,3532,3042.0,2931.0,3365,3390,3111.0,3054
3301,3506,3510,3584,3438,3515.0,3681,3555,3546.0,3467,3362.0,3508.0,3573.0,3446.0,3334.0,3576.0,3534.0,3532,3042.0,2931.0,3365,3390,3111.0,3054
3296,3504,3510,3585,3430,3515.0,3680,3555,3554.0,3467,3362.0,3508.0,3573.0,3446.0,3334.0,3576.0,3534.0,3532,3042.0,2926.0,3368,3402,3107.0,3054
