ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3482.0,3675.0,3499,3584,3264,3480.0,3590.0,3310.0,3465.0,3376.0,3576.0,3709.0,3609.0,3548,3490.0,3580.0,3558.0,3457.0,3032.0,2895,3697.0,3654,3673,3514.0
3480.0,3674.0,3501,3593,3278,3482.0,3594.0,3310.0,3468.0,3373.0,3573.0,3703.0,3611.0,3548,3490.0,3588.0,3546.0,3457.0,3032.0,2895,3697.0,3654,3673,3514.0
3479.0,3676.0,3497,3593,3276,3475.0,3602.0,3310.0,3470.0,3373.0,3573.0,3703.0,3611.0,3548,3490.0,3588.0,3546.0,3459.0,3029.0,2894,3696.0,3656,3674,3520.0
3483.0,3676.0,3497,3593,3276,3475.0,3602.0,3310.0,3470.0,3383.0,3563.0,3705.0,3612.0,3545,3493.0,3586.0,3551.0,3464.0,3028.0,2894,3694.0,3654,3682,3509.0
3483.0,3671.0,3498,3597,3270,3476.0,3600.0,3314.0,3468.0,3382.0,3572.0,3702.0,3610.0,3539,3486.0,3579.0,3552.0,3462.0,3030.0,2894,3696.0,3654,3682,3509.0
3481.0,3666.0,3498,3596,3268,3474.0,3598.0,3316.0,3467.0,3373.0,3570.0,3707.0,3608.0,3539,3486.0,3579.0,3552.0,3462.0,3030.0,2894,3696.0,3655,3676,3510.0
3481.0,3668.0,3499,3592,3271,3474.0,3598.0,3316.0,3467.0,3373.0,3570.0,3707.0,3608.0,3550,3489.0,3580.0,3563.0,3467.0,3026.0,2890,3700.0,3656,3684,3520.0
3481.0,3668.0,3499,3592,3271,3475.0,3602.0,3314.0,3466.0,3378.0,3575.0,3704.0,3616.0,3541,3498.0,3585.0,3553.0,3461.0,3026.0,2896,3700.0,3655,3680,3509.0
3479.0,3675.0,3498,3589,3270,3475.0,3594.0,3316.0,3470.0,3381.0,3570.0,3706.0,3613.0,3552,3490.0,3587.0,3560.0,3461.0,3026.0,2896,3700.0,3655,3680,3509.0
3484.0,3682.0,3500,3596,3277,3474.0,3597.0,3298.0,3466.0,3381.0,3570.0,3706.0,3613.0,3552,3490.0,3587.0,3560.0,3461.0,3034.0,2897,3695.0,3662,3683,3515.0
3479.0,3682.0,3500,3596,3277,3474.0,3597.0,3298.0,3466.0,3384.0,3569.0,3709.0,3611.0,3533,3489.0,3585.0,3559.0,3452.0,3027.0,2895,3694.0,3668,3688,3504.0
3479.0,3673.0,3502,3595,3270,3468.0,3597.0,3317.0,3467.0,3376.0,3572.0,3698.0,3603.0,3544,3483.0,3586.0,3554.0,3455.0,3032.0,2893,3695.0,3668,3688,3504.0
3483.0,3670.0,3498,3595,3269,3475.0,3602.0,3318.0,3464.0,3383.0,3571.0,3704.0,3601.0,3544,3483.0,3586.0,3554.0,3455.0,3032.0,2893,3695.0,3659,3685,3511.0
3484.0,3677.0,3501,3597,3272,3475.0,3602.0,3318.0,3464.0,3383.0,3571.0,3704.0,3601.0,3549,3494.0,3585.0,3554.0,3466.0,3024.0,2896,3698.0,3661,3674,3512.0
3484.0,3677.0,3501,3597,3272,3479.0,3599.0,3323.0,3469.0,3386.0,3567.0,3701.0,3611.0,3544,3496.0,3587.0,3555.0,3456.0,3031.0,2891,3694.0,3659,3684,3513.0
3489.0,3672.0,3499,3600,3271,3459.0979191110496,3596.0,3314.0,3472.0,3380.0,3566.0,3702.0,3607.0,3548,3494.0,3582.0,3554.0,3456.0,3031.0,2891,3694.0,3659,3684,3513.0
3484.0,3675.0,3496,3593,3271,3472.0,3601.0,3317.0,3470.0,3380.0,3566.0,3702.0,3607.0,3548,3494.0,3582.0,3554.0,3463.0,3025.0,2897,3695.0,3661,3680,3502.0
3481.0,3675.0,3496,3593,3271,3472.0,3601.0,3317.0,3470.0,3379.0,3568.0,3708.0,3615.0,3546,3490.0,3582.0,3556.0,3462.0,3027.0,2900,3696.0,3652,3678,3516.0
3481.0,3674.0,3503,3590,3279,3480.0,3605.0,3315.0,3455.81714641151,3382.0,3568.0,3693.0,3613.0,3548,3492.0,3584.0,3555.0,3461.0,3032.0,2896,3696.0,3652,3678,3516.0
3483.0,3671.0,3508,3599,3271,3474.0,3606.0,3320.0,3473.0,3384.0,3567.0,3705.0,3609.0,3548,3492.0,3584.0,3555.0,3461.0,3032.0,2896,3696.0,3659,3684,3505.0
3482.0,3675.0,3495,3583,3274,3474.0,3606.0,3320.0,3473.0,3384.0,3567.0,3705.0,3609.0,3546,3495.0,3590.0,3555.0,3464.0,3031.0,2895,3700.0,3664,3681,3513.0
3482.0,3675.0,3495,3583,3274,3481.0,3602.0,3316.0,3474.0,3369.0,3568.0,3710.0,3614.0,3535,3492.0,3584.0,3547.0,3460.0,3026.0,2889,3694.0,3659,3676,3514.0
3481.0,3670.0,3497,3597,3254,3480.0,3599.0,3298.0,3470.0,3381.0,3569.0,3706.0,3612.0,3542,3494.0,3590.0,3556.0,3460.0,3026.0,2889,3694.0,3659,3676,3514.0
3483.0,3669.0,3493,3600,3273,3485.0,3599.0,3313.0,3463.0,3381.0,3569.0,3706.0,3612.0,3542,3494.0,3590.0,3556.0,3465.0,3027.0,2894,3702.0,3667,3683,3513.0
3486.0,3669.0,3493,3600,3273,3485.0,3599.0,3313.0,3463.0,3378.0,3567.0,3706.0,3605.0,3545,3490.0,3583.0,3556.0,3466.0,3028.0,2896,3702.0,3660,3681,3512.0
3486.0,3668.0,3498,3591,3267,3477.0,3599.0,3312.0,3472.0,3374.0,3566.0,3708.0,3610.0,3549,3495.0,3583.0,3560.0,3465.0,3029.0,2896,3698.0,3660,3681,3512.0
3488.0,3672.0,3498,3598,3271,3474.0,3602.0,3312.0,3472.0,3383.0,3568.0,3702.0,3609.0,3549,3495.0,3583.0,3560.0,3465.0,3029.0,2896,3698.0,3657,3683,3514.0
3485.0,3670.0,3498,3595,3270,3474.0,3602.0,3312.0,3472.0,3383.0,3568.0,3702.0,3609.0,3544,3494.0,3589.0,3554.0,3466.0,3031.0,2890,3701.0,3663,3684,3514.0
3485.0,3670.0,3498,3595,3270,3472.0,3600.0,3314.0,3465.0,3384.0,3567.0,3701.0,3606.0,3545,3492.0,3586.0,3556.0,3460.0,3027.0,2897,3693.0,3661,3681,3513.0
3479.0,3662.0,3499,3595,3270,3476.0,3595.0,3311.0,3469.0,3381.0,3544.3571354655837,3705.0,3611.0,3536,3488.0,3587.0,3562.0,3460.0,3027.0,2897,3693.0,3661,3681,3513.0
3475.0,3669.0,3504,3594,3273,3482.0,3600.0,3318.0,3473.0,3381.0,3544.3571354655837,3705.0,3611.0,3536,3488.0,3587.0,3562.0,3465.0,3025.0,2896,3691.0,3664,3686,3518.0
3480.0,3669.0,3504,3594,3273,3482.0,3600.0,3318.0,3473.0,3381.0,3568.0,3706.0,3611.0,3548,3493.0,3588.0,3560.0,3450.0,3031.0,2897,3701.0,3659,3684,3509.0
3480.0,3672.0,3499,3584,3270,3473.0,3594.0,3321.0,3470.0,3375.0,3568.0,3709.0,3608.0,3550,3489.0,3587.0,3556.0,3459.0,3033.0,2896,3699.0,3659,3684,3509.0
3485.0,3673.0,3498,3594,3275,3474.0,3603.0,3322.0,3467.0,3382.0,3572.0,3703.0,3608.0,3550,3489.0,3587.0,3556.0,3459.0,3033.0,2896,3699.0,3663,3684,3514.0
3483.0,3674.0,3498,3592,3263,3474.0,3603.0,3322.0,3467.0,3382.0,3572.0,3703.0,3608.0,3546,3490.0,3584.0,3541.0,3462.0,3030.0,2897,3699.0,3656,3679,3513.0
3483.0,3674.0,3498,3592,3263,3476.0,3598.0,3319.0,3468.0,3383.0,3565.0,3708.0,3610.0,3544,3493.0,3579.0,3552.0,3463.0,3031.0,2895,3698.0,3658,3684,3508.0
3481.0,3677.0,3499,3595,3272,3475.0,3602.0,3324.0,3470.0,3382.0,3572.0,3702.0,3609.0,3545,3489.0,3578.0,3558.0,3463.0,3031.0,2895,3698.0,3658,3684,3508.0
3484.0,3678.0,3497,3587,3270,3478.0,3600.0,3326.0,3467.0,3382.0,3572.0,3702.0,3609.0,3545,3489.0,3578.0,3558.0,3470.0,3027.0,2896,3694.0,3652,3680,3515.0
3479.0,3678.0,3497,3587,3270,3478.0,3600.0,3326.0,3467.0,3383.0,3568.0,3708.0,3612.0,3547,3489.0,3581.0,3554.0,3470.0,3027.0,2892,3692.0,3658,3677,3520.0
3479.0,3665.0,3493,3594,3274,3476.0,3599.0,3316.0,3469.0,3381.0,3568.0,3704.0,3609.0,3545,3493.0,3587.0,3549.0,3468.0,3033.0,2896,3696.0,3658,3677,3520.0
