ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3522.0,3684,3614,3671,3524,3623.0,3713.0,3527,3554,3500,3491.0,3659.0,3520.0,3462.0,3436.0,3502,3508,3472,3015,2865.0,3670,3662.0,3634.0,3516
3525.0,3685,3593,3679,3520,3612.0,3717.0,3540,3545,3500,3491.0,3659.0,3520.0,3462.0,3436.0,3502,3508,3470,3010,2861.0,3672,3662.0,3632.0,3506
3527.0,3685,3593,3679,3520,3612.0,3717.0,3540,3545,3508,3492.0,3659.0,3520.0,3469.0,3434.0,3497,3509,3474,3008,2862.0,3677,3662.0,3638.0,3513
3527.0,3682,3612,3681,3525,3621.0,3720.0,3533,3554,3505,3491.0,3652.0,3521.0,3468.0,3437.0,3497,3504,3477,3008,2866.0,3679,3662.0,3638.0,3513
3528.0,3685,3618,3679,3512,3614.0,3715.0,3536,3553,3504,3489.0,3660.0,3516.0,3468.0,3437.0,3497,3504,3477,3008,2866.0,3679,3661.0,3632.0,3513
3530.0,3681,3611,3674,3519,3614.0,3715.0,3536,3553,3504,3489.0,3660.0,3516.0,3468.0,3437.0,3497,3506,3480,3012,2860.0,3677,3662.0,3633.0,3517
3530.0,3681,3611,3674,3519,3615.0,3718.0,3533,3552,3502,3491.0,3659.0,3517.0,3467.0,3434.0,3499,3504,3471,3012,2866.0,3676,3664.0,3632.0,3500
3525.0,3686,3615,3669,3519,3612.0,3718.0,3537,3556,3506,3493.0,3655.0,3523.0,3471.0,3434.0,3498,3499,3471,3012,2866.0,3676,3664.0,3632.0,3500
3519.0,3679,3615,3669,3523,3614.0,3715.0,3536,3552,3506,3493.0,3655.0,3523.0,3471.0,3434.0,3498,3499,3472,3012,2869.0,3673,3653.0,3629.0,3515
3527.0,3679,3615,3669,3523,3614.0,3715.0,3536,3552,3502,3498.0,3657.0,3527.0,3476.0,3434.0,3507,3504,3463,3012,2869.0,3671,3658.0,3629.0,3505
3527.0,3682,3615,3673,3508,3611.0,3720.0,3535,3560,3486,3487.0,3655.0,3525.0,3470.0,3434.0,3501,3507,3470,3014,2870.0,3673,3658.0,3629.0,3505
3523.0,3681,3612,3659,3517,3615.0,3717.0,3539,3553,3493,3491.0,3660.0,3526.0,3470.0,3434.0,3501,3507,3470,3014,2870.0,3673,3664.0,3630.0,3516
