ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3424.0,3626.0,3523,3592.0,3257,3522.0,3637,3406,3511,3465,3470.0,3637.0,3551.0,3476.0,3258,3555.0,3500,3380,3013.0,2902.0,3641.0,3610,3613,3389
3430.0,3628.0,3519,3592.0,3257,3522.0,3637,3406,3511,3465,3470.0,3647.0,3553.0,3469.0,3260,3551.0,3501,3386,3015.0,2902.0,3641.0,3604,3608,3393
3430.0,3628.0,3519,3589.0,3261,3522.0,3623,3411,3509,3466,3472.0,3646.0,3550.0,3475.0,3262,3549.0,3492,3392,3013.0,2897.0,3640.0,3608,3602,3393
3424.0,3637.0,3515,3590.0,3268,3516.0,3633,3405,3508,3460,3472.0,3641.0,3553.0,3469.0,3265,3549.0,3492,3392,3013.0,2897.0,3640.0,3608,3602,3391
3428.0,3630.0,3520,3593.0,3265,3514.0,3631,3405,3508,3460,3472.0,3641.0,3553.0,3469.0,3265,3549.0,3499,3393,3017.0,2904.0,3643.0,3604,3606,3397
3428.0,3630.0,3520,3593.0,3265,3514.0,3631,3410,3510,3459,3472.0,3642.0,3552.0,3476.0,3264,3549.0,3498,3390,3017.0,2903.0,3645.0,3602,3608,3385
3426.0,3630.0,3514,3588.0,3252,3520.0,3627,3408,3506,3460,3483.0,3645.0,3556.0,3482.0,3264,3553.0,3494,3390,3011.0,2903.0,3645.0,3602,3608,3385
3425.0,3632.0,3514,3590.0,3262,3512.0,3633,3410,3498,3460,3474.0,3645.0,3556.0,3482.0,3264,3553.0,3494,3390,3011.0,2904.0,3648.0,3605,3602,3393
3426.0,3631.0,3523,3590.0,3262,3512.0,3633,3410,3498,3460,3474.0,3648.0,3553.0,3477.0,3255,3550.0,3500,3389,3011.0,2903.0,3645.0,3603,3603,3391
3426.0,3631.0,3523,3587.0,3248,3515.0,3633,3407,3507,3462,3479.0,3648.0,3557.0,3481.0,3265,3552.0,3500,3392,3015.0,2903.0,3640.0,3597,3606,3391
3428.0,3632.0,3518,3588.0,3254,3526.0,3633,3397,3505,3461,3478.0,3651.0,3553.0,3479.0,3266,3552.0,3500,3392,3015.0,2903.0,3640.0,3597,3606,3394
3434.0,3628.0,3511,3588.0,3254,3522.0,3630,3397,3505,3461,3478.0,3651.0,3553.0,3479.0,3266,3548.0,3499,3390,3010.0,2898.0,3639.0,3614,3609,3394
3434.0,3628.0,3511,3588.0,3254,3522.0,3630,3408,3513,3464,3478.0,3647.0,3556.0,3477.0,3268,3553.0,3496,3390,3012.0,2902.0,3639.0,3597,3605,3396
3428.0,3635.0,3513,3581.0,3260,3524.0,3633,3404,3506,3456,3479.0,3652.0,3555.0,3476.0,3263,3549.0,3498,3388,3014.0,2902.0,3639.0,3597,3605,3396
3436.0,3634.0,3518,3588.0,3255,3523.0,3629,3405,3507,3454,3480.0,3652.0,3555.0,3476.0,3263,3549.0,3498,3388,3014.0,2896.0,3648.0,3603,3607,3392
3432.0,3636.0,3518,3588.0,3255,3523.0,3629,3405,3507,3454,3480.0,3648.0,3551.0,3461.0,3264,3544.0,3496,3390,3016.0,2888.0,3644.0,3610,3610,3382
3432.0,3636.0,3518,3589.0,3258,3524.0,3634,3401,3508,3463,3480.0,3648.0,3550.0,3474.0,3266,3550.0,3500,3390,3016.0,2905.0,3642.0,3608,3606,3382
3435.0,3630.0,3518,3587.0,3258,3519.0,3635,3406,3508,3462,3476.0,3647.0,3546.0,3480.0,3264,3550.0,3500,3390,3016.0,2905.0,3642.0,3608,3606,3391
3435.0,3639.0,3520,3584.0,3265,3521.0,3632,3406,3508,3462,3476.0,3647.0,3546.0,3480.0,3264,3549.0,3503,3389,3003.0,2898.0,3645.0,3607,3606,3395
3435.0,3639.0,3520,3584.0,3265,3521.0,3632,3414,3506,3456,3484.0,3640.0,3550.0,3477.0,3266,3548.0,3495,3386,3014.0,2898.0,3643.0,3612,3607,3392
3433.0,3634.0,3514,3587.0,3263,3518.0,3637,3405,3508,3445,3483.0,3650.0,3552.0,3479.0,3263,3541.0,3498,3386,3018.0,2898.0,3643.0,3612,3607,3392
3433.0,3634.0,3514,3586.0,3262,3517.0,3634,3411,3505,3451,3481.0,3650.0,3552.0,3479.0,3263,3541.0,3498,3386,3018.0,2902.0,3647.0,3605,3608,3386
3430.0,3633.0,3514,3586.0,3262,3517.0,3634,3411,3505,3451,3481.0,3657.0,3554.0,3480.0,3263,3548.0,3494,3392,3012.0,2901.0,3647.0,3604,3603,3393
3430.0,3633.0,3514,3584.0,3247,3524.0,3632,3409,3512,3464,3481.0,3648.0,3556.0,3478.0,3260,3554.0,3501,3390,3014.0,2898.0,3643.0,3603,3607,3393
3427.0,3630.0,3520,3586.0,3254,3517.0,3634,3408,3508,3458,3482.0,3648.0,3557.0,3481.0,3265,3554.0,3501,3390,3014.0,2898.0,3643.0,3603,3607,3388
3428.0,3632.0,3512,3581.0,3256,3520.0,3631,3408,3508,3458,3482.0,3648.0,3557.0,3481.0,3265,3556.0,3504,3392,3016.0,2901.0,3645.0,3594,3606,3394
3428.0,3632.0,3512,3581.0,3256,3520.0,3631,3404,3510,3451,3478.0,3654.0,3552.0,3482.0,3273,3554.0,3503,3391,3015.0,2900.0,3644.0,3604,3610,3397
3427.0,3638.0,3512,3585.0,3253,3525.0,3630,3403,3510,3455,3480.0,3651.0,3553.0,3475.0,3271,3557.0,3500,3394,3017.0,2900.0,3644.0,3604,3610,3397
3423.0,3630.0,3517,3581.0,3256,3522.0,3638,3402,3511,3448,3477.0,3651.0,3553.0,3475.0,3271,3557.0,3500,3394,3017.0,2900.0,3646.0,3608,3610,3395
3429.0,3636.0,3515,3581.0,3256,3522.0,3638,3402,3511,3448,3477.0,3648.0,3554.0,3459.885320527544,3267,3545.0,3502,3396,3016.0,2907.0,3646.0,3611,3608,3395
3429.0,3636.0,3515,3592.0,3262,3521.0,3631,3406,3508,3457,3481.0,3649.0,3557.0,3464.0,3269,3548.0,3494,3396,3016.0,2894.0,3637.0,3610,3607,3395
3426.0,3630.0,3522,3590.0,3256,3517.0,3632,3402,3507,3460,3477.0,3640.0,3549.0,3475.0,3265,3548.0,3494,3396,3016.0,2894.0,3637.0,3610,3607,3383
3435.0,3634.0,3515,3594.0,3260,3523.0,3634,3402,3507,3460,3477.0,3640.0,3549.0,3475.0,3265,3550.0,3497,3391,3007.0,2900.0,3631.292912209814,3604,3607,3382
3435.0,3634.0,3515,3594.0,3260,3523.0,3634,3412,3506,3453,3486.0,3649.0,3545.0,3476.0,3265,3552.0,3497,3389,3006.0,2894.0,3644.0,3612,3606,3396
3426.0,3629.0,3519,3586.0,3264,3524.0,3633,3407,3509,3451,3485.0,3655.0,3549.0,3475.0,3268,3549.0,3496,3386,3010.0,2894.0,3644.0,3612,3606,3396
3430.0,3633.0,3520,3588.0,3254,3518.0,3629,3412,3507,3455,3481.0,3655.0,3549.0,3475.0,3268,3549.0,3496,3386,3010.0,2897.0,3642.0,3606,3603,3385
3427.0,3635.0,3515,3588.0,3254,3518.0,3629,3412,3507,3455,3481.0,3638.0,3556.0,3476.0,3263,3549.0,3502,3375,3017.0,2902.0,3642.0,3596,3600,3392
3427.0,3635.0,3515,3584.0,3256,3522.0,3632,3407,3509,3453,3486.0,3649.0,3552.0,3481.0,3270,3549.0,3505,3398,3012.0,2901.0,3646.0,3606,3616,3392
3427.0,3630.0,3514,3583.0,3263,3516.0,3637,3403,3507,3451,3480.0,3653.0,3557.0,3480.0,3263,3549.0,3505,3398,3012.0,2901.0,3646.0,3606,3616,3394
3432.0,3631.0,3509,3580.0,3252,3522.0,3631,3403,3507,3451,3480.0,3653.0,3557.0,3480.0,3263,3549.0,3504,3383,3018.0,2901.0,3646.0,3605,3609,3400
3432.0,3631.0,3509,3580.0,3252,3522.0,3631,3403,3502,3446,3485.0,3645.0,3560.0,3486.0,3273,3558.0,3501,3388,3012.0,2902.0,3648.0,3605,3616,3395
3428.0,3634.0,3512,3578.0,3256,3519.0,3629,3392,3506,3455,3478.0,3650.0,3558.0,3472.0,3271,3548.0,3504,3391,3010.0,2902.0,3648.0,3605,3616,3395
3428.0,3638.0,3513,3587.0,3261,3525.0,3632,3397,3508,3451,3482.0,3650.0,3558.0,3472.0,3271,3548.0,3504,3391,3010.0,2903.0,3645.0,3598,3613,3398
3425.0,3633.0,3516,3587.0,3261,3525.0,3632,3397,3508,3451,3482.0,3649.0,3557.0,3474.0,3269,3548.0,3498,3388,3016.0,2898.0,3637.0,3608,3611,3397
3425.0,3633.0,3516,3583.0,3260,3520.0,3622,3403,3510,3461,3480.0,3649.0,3548.0,3476.0,3267,3552.0,3493,3393,3019.0,2902.0,3643.0,3598,3606,3397
3437.0,3625.0,3512,3587.0,3258,3520.0,3627,3407,3507,3454,3480.0,3650.0,3554.0,3474.0,3273,3552.0,3493,3393,3019.0,2902.0,3643.0,3598,3606,3397
3433.0,3625.0,3515,3589.0,3260,3518.0,3625,3407,3507,3454,3480.0,3650.0,3554.0,3474.0,3273,3546.0,3498,3384,3010.0,2899.0,3647.0,3607,3608,3398
