ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3454.0,3649,3523,3614.0,3407,3511,3677,3540,3543,3439,3538.0,3682.0,3610.0,3529.0,3367,3587,3561.0,3521,3042,2915.0,3670.0,3608.0,3638.0,3390.0
3457.0,3652,3525,3614.0,3407,3511,3677,3540,3543,3439,3538.0,3682.0,3609.0,3520.0,3355,3602,3559.0,3526,3047,2915.0,3668.0,3615.0,3635.0,3389.0
3457.0,3652,3525,3604.0,3409,3507,3674,3542,3535,3437,3536.0,3681.0,3608.0,3519.0,3362,3588,3556.0,3517,3046,2913.0,3660.0,3616.0,3637.0,3389.0
3466.0,3644,3525,3605.0,3407,3508,3682,3546,3542,3448,3538.0,3681.0,3610.0,3515.0,3368,3588,3556.0,3517,3046,2913.0,3660.0,3616.0,3637.0,3389.0
3457.0,3647,3529,3614.0,3409,3506,3682,3546,3542,3448,3538.0,3681.0,3610.0,3515.0,3368,3586,3557.0,3518,3042,2912.0,3665.0,3612.0,3637.0,3387.0
3457.0,3647,3529,3614.0,3409,3506,3682,3539,3545,3445,3536.0,3675.0,3605.0,3520.0,3362,3595,3552.0,3514,3037,2914.0,3669.0,3610.0,3638.0,3381.0
3462.0,3655,3522,3616.0,3412,3516,3688,3544,3541,3442,3540.0,3686.0,3606.0,3519.0,3365,3590,3556.0,3516,3034,2914.0,3669.0,3610.0,3638.0,3381.0
3468.0,3655,3533,3614.0,3413,3515,3678,3539,3537,3439,3544.0,3686.0,3606.0,3519.0,3365,3590,3556.0,3516,3034,2909.0,3668.0,3616.0,3637.0,3381.0
3465.0,3655,3525,3614.0,3413,3515,3678,3539,3537,3439,3544.0,3686.0,3584.0,3520.0,3366,3596,3552.0,3516,3046,2911.0,3665.0,3618.0,3634.0,3385.0
3465.0,3655,3525,3614.0,3407,3506,3681,3540,3541,3440,3540.0,3674.0,3603.0,3520.0,3362,3592,3549.0,3502,3045,2913.0,3666.0,3608.0,3630.0,3385.0
3465.0,3661,3526,3611.0,3413,3511,3686,3542,3538,3449,3541.0,3688.0,3606.0,3519.0,3360,3592,3549.0,3502,3045,2913.0,3666.0,3608.0,3630.0,3387.0
3467.0,3666,3524,3616.0,3419,3510,3680,3542,3538,3449,3541.0,3688.0,3606.0,3519.0,3360,3590,3552.0,3518,3042,2911.0,3666.0,3614.0,3642.0,3388.0
3467.0,3666,3524,3616.0,3419,3510,3680,3547,3537,3442,3538.0,3663.731654134805,3603.0,3524.0,3361,3590,3549.0,3521,3041,2914.0,3670.0,3618.0,3633.0,3388.0
3471.0,3654,3532,3616.0,3402,3510,3682,3539,3536,3434,3540.0,3681.0,3604.0,3522.0,3358,3592,3550.0,3512,3045,2914.0,3670.0,3618.0,3633.0,3388.0
3466.0,3655,3531,3611.0,3411,3512,3683,3534,3541,3445,3536.0,3681.0,3604.0,3522.0,3358,3592,3550.0,3512,3045,2912.0,3672.0,3609.0,3637.0,3391.0
