ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3522.0,3680.0,3548.0,3607,3252,3530.0,3584.0,3238,3442,3370.0,3578,3705.0,3601.0,3528.0,3435,3578,3535.0,3396,3007.0,2871.0,3697.0,3654.0,3659,3490
3524.0,3682.0,3550.0,3609,3247,3522.0,3589.0,3245,3447,3380.0,3581,3702.0,3608.0,3527.0,3434,3580,3531.0,3390,3008.0,2871.0,3697.0,3654.0,3659,3490
3531.0,3690.0,3549.0,3599,3252,3529.0,3579.0,3246,3443,3375.0,3576,3702.0,3608.0,3527.0,3434,3580,3531.0,3390,3008.0,2872.0,3700.0,3641.0,3665,3489
3526.0,3688.0,3547.0,3599,3252,3529.0,3579.0,3246,3443,3375.0,3576,3699.0,3604.0,3531.0,3431,3579,3534.0,3398,3005.0,2875.0,3694.0,3650.0,3664,3491
3526.0,3688.0,3547.0,3612,3260,3532.0,3587.0,3250,3444,3373.0,3570,3705.0,3604.0,3528.0,3438,3581,3529.0,3399,3010.0,2873.0,3694.0,3656.0,3667,3491
3524.0,3683.0,3548.0,3614,3252,3533.0,3591.0,3247,3447,3368.0,3577,3713.0,3608.0,3528.0,3440,3581,3529.0,3399,3010.0,2873.0,3694.0,3656.0,3667,3485
3522.0,3685.0,3549.0,3609,3253,3528.0,3588.0,3247,3447,3368.0,3577,3713.0,3608.0,3528.0,3440,3578,3531.0,3397,3009.0,2873.0,3696.0,3645.0,3663,3485
3522.0,3685.0,3549.0,3609,3253,3528.0,3588.0,3246,3444,3369.0,3576,3701.0,3610.0,3528.0,3432,3572,3531.0,3395,3007.0,2871.0,3693.0,3652.0,3673,3491
3525.0,3688.0,3549.0,3602,3259,3531.0,3586.0,3253,3444,3361.0,3579,3705.0,3603.0,3524.0,3423,3580,3529.0,3397,3003.0,2871.0,3693.0,3652.0,3673,3491
3523.0,3682.0,3553.0,3608,3255,3528.0,3587.0,3249,3448,3366.0,3577,3705.0,3603.0,3524.0,3423,3580,3529.0,3397,3003.0,2870.0,3696.0,3656.0,3664,3491
3528.0,3686.0,3546.0,3608,3255,3528.0,3587.0,3249,3448,3366.0,3577,3706.0,3604.0,3529.0,3425,3570,3532.0,3398,3004.0,2871.0,3690.0,3642.0,3667,3496
3528.0,3686.0,3546.0,3609,3252,3530.0,3596.0,3253,3439,3379.0,3580,3706.0,3608.0,3531.0,3429,3583,3534.0,3400,3005.0,2871.0,3698.0,3651.0,3673,3496
3525.0,3671.0,3545.0,3606,3252,3526.0,3589.0,3244,3444,3376.0,3580,3692.0,3599.0,3529.0,3429,3583,3534.0,3400,3005.0,2871.0,3698.0,3651.0,3673,3491
3524.0,3685.0,3548.0,3616,3250,3511.0,3587.0,3244,3444,3376.0,3580,3692.0,3599.0,3529.0,3429,3587,3532.0,3389,3003.0,2870.0,3688.0,3658.0,3670,3494
3524.0,3685.0,3548.0,3616,3250,3511.0,3587.0,3252,3445,3375.0,3577,3708.0,3610.0,3528.0,3438,3582,3533.0,3396,3012.0,2870.0,3695.0,3653.0,3669,3490
3516.0,3691.0,3552.0,3608,3251,3526.0,3573.693976502802,3255,3445,3376.0,3584,3702.0,3594.0,3530.0,3432,3576,3526.0,3405,3003.0,2870.0,3695.0,3653.0,3669,3490
3523.0,3683.0,3551.0,3608,3249,3529.0,3584.0,3249,3446,3377.0,3576,3702.0,3594.0,3530.0,3432,3576,3526.0,3405,3003.0,2865.0,3697.0,3652.0,3677,3482
3521.0,3686.0,3550.0,3608,3249,3529.0,3584.0,3249,3446,3377.0,3576,3705.0,3606.0,3526.0,3435,3580,3530.0,3394,3011.0,2871.0,3695.0,3651.0,3665,3492
3521.0,3686.0,3550.0,3606,3250,3527.0,3589.0,3258,3448,3373.0,3576,3700.0,3606.0,3530.0,3436,3578,3530.0,3400,3007.0,2874.0,3691.0,3656.0,3666,3492
3527.0,3686.0,3551.0,3608,3249,3527.0,3588.0,3258,3451,3375.0,3578,3701.0,3599.0,3533.0,3437,3578,3530.0,3400,3007.0,2874.0,3691.0,3656.0,3666,3482
3528.0,3693.0,3551.0,3607,3256,3524.0,3589.0,3258,3451,3375.0,3578,3701.0,3599.0,3533.0,3437,3576,3529.0,3401,3009.0,2872.0,3694.0,3650.0,3668,3490
3528.0,3693.0,3551.0,3607,3256,3524.0,3589.0,3261,3450,3378.0,3574,3697.0,3601.0,3534.0,3435,3577,3518.0,3398,3004.0,2874.0,3700.0,3652.0,3669,3492
3529.0,3683.0,3548.0,3608,3252,3527.0,3589.0,3261,3447,3383.0,3580,3706.0,3606.0,3528.0,3430,3580,3532.0,3404,3009.0,2874.0,3700.0,3652.0,3669,3492
3523.0,3674.0,3549.0,3608,3245,3530.0,3591.0,3247,3443,3376.0,3576,3706.0,3606.0,3528.0,3430,3580,3532.0,3404,3009.0,2873.0,3690.0,3638.0,3672,3490
3523.0,3688.0,3556.0,3608,3245,3530.0,3591.0,3247,3443,3376.0,3576,3710.0,3601.0,3529.0,3440,3574,3533.0,3404,3005.0,2873.0,3692.0,3649.0,3668,3491
3523.0,3688.0,3556.0,3610,3252,3531.0,3587.0,3258,3449,3377.0,3577,3712.0,3607.0,3528.0,3443,3579,3532.0,3408,3011.0,2876.0,3690.0,3655.0,3668,3491
3523.0,3682.0,3552.0,3606,3249,3524.0,3585.0,3263,3443,3378.0,3578,3702.0,3610.0,3529.0,3432,3579,3532.0,3408,3011.0,2876.0,3690.0,3655.0,3668,3493
3521.0,3680.0,3546.0,3603,3248,3524.0,3590.0,3263,3443,3378.0,3578,3702.0,3610.0,3529.0,3432,3580,3532.0,3402,3006.0,2869.0,3693.0,3646.0,3671,3491
3521.0,3680.0,3546.0,3603,3248,3524.0,3590.0,3260,3452,3379.0,3582,3704.0,3606.0,3537.0,3435,3579,3529.0,3407,3007.0,2869.0,3690.0,3653.0,3673,3489
3524.0,3688.0,3542.0,3606,3248,3526.0,3588.0,3265,3451,3375.0,3573,3703.0,3604.0,3524.0,3433,3579,3533.0,3402,3005.0,2869.0,3690.0,3653.0,3673,3489
3526.0,3689.0,3556.0,3606,3250,3524.0,3586.0,3271,3453,3375.0,3579,3703.0,3604.0,3524.0,3433,3579,3533.0,3402,3005.0,2874.0,3689.0,3652.0,3670,3489
3529.0,3676.0,3548.0,3606,3250,3524.0,3586.0,3271,3453,3375.0,3579,3704.0,3598.0,3531.0,3433,3582,3533.0,3402,2996.0,2866.0,3691.0,3653.0,3676,3491
3529.0,3676.0,3548.0,3608,3244,3528.0,3588.0,3264,3449,3376.0,3583,3705.0,3604.0,3529.0,3434,3578,3536.0,3397,3005.0,2854.9019650162622,3698.0,3650.0,3665,3491
3524.0,3687.0,3550.0,3610,3248,3528.0,3587.0,3269,3452,3373.0,3577,3697.0,3602.0,3533.0,3435,3578,3536.0,3397,3005.0,2854.9019650162622,3698.0,3650.0,3665,3489
3520.0,3686.0,3547.0,3605,3243,3523.0,3589.0,3269,3452,3373.0,3577,3697.0,3602.0,3533.0,3435,3578,3528.0,3391,3008.0,2874.0,3692.0,3641.0,3668,3490
3520.0,3686.0,3547.0,3605,3243,3523.0,3589.0,3269,3444,3361.0,3580,3705.0,3608.0,3533.0,3435,3576,3527.0,3402,3004.0,2873.0,3697.0,3654.0,3670,3492
