ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3195,3499,3557.0,3611.0,3518.0,3593,3708,3588.0,3590.0,3546,3015,3404,3464,3419,3466,3544,3536,3536.0,3055.0,2954.0,3534.0,3570,3533,3470.0
3195,3499,3557.0,3619.0,3524.0,3584,3715,3588.0,3581.0,3549,3012,3405,3462,3414,3465,3541,3543,3539.0,3056.0,2952.0,3534.0,3568,3533,3470.0
3188,3504,3554.0,3618.0,3514.0,3583,3715,3583.0,3581.0,3556,3009,3396,3461,3413,3461,3541,3543,3539.0,3056.0,2952.0,3534.0,3568,3533,3474.0
3187,3495,3544.0,3610.0,3517.0,3584,3716,3583.0,3581.0,3556,3009,3396,3461,3413,3461,3546,3542,3536.0,3060.0,2952.0,3536.0,3559,3529,3456.5100067059993
3187,3495,3544.0,3610.0,3517.0,3584,3716,3588.0,3582.0,3563,3012,3408,3465,3414,3460,3552,3542,3545.0,3055.0,2953.0,3538.0,3553,3533,3476.0
3186,3500,3557.0,3618.0,3519.0,3592,3713,3583.0,3585.0,3556,3014,3409,3462,3410,3466,3541,3544,3551.0,3058.0,2953.0,3538.0,3553,3533,3476.0
3186,3492,3557.0,3617.0,3516.0,3590,3719,3580.0,3586.0,3557,3015,3409,3462,3410,3466,3541,3544,3551.0,3058.0,2947.0,3536.0,3572,3528,3475.0
3185,3496,3556.0,3617.0,3516.0,3590,3719,3580.0,3586.0,3557,3015,3410,3463,3415,3452,3548,3541,3543.0,3056.0,2952.0,3536.0,3571,3533,3476.0
3185,3496,3556.0,3608.0,3525.0,3590,3718,3583.0,3582.0,3563,3015,3407,3466,3415,3457,3544,3546,3548.0,3056.0,2954.0,3538.0,3568,3541,3476.0
3182,3499,3551.0,3616.0,3517.0,3587,3714,3565.434242505657,3582.0,3558,3016,3410,3466,3402,3468,3544,3546,3548.0,3056.0,2954.0,3538.0,3568,3541,3473.0
3186,3490,3553.0,3626.0,3515.0,3585,3717,3565.434242505657,3582.0,3558,3016,3410,3466,3402,3468,3546,3543,3532.0,3053.0,2954.0,3530.0,3569,3536,3464.0
3186,3490,3553.0,3626.0,3515.0,3585,3717,3581.0,3570.0,3562,3014,3417,3466,3413,3466,3547,3541,3547.0,3061.0,2950.0,3538.0,3574,3536,3473.0
3188,3494,3556.0,3622.0,3522.0,3586,3708,3582.0,3582.0,3554,3015,3404,3456,3409,3467,3551,3543,3539.0,3053.0,2950.0,3538.0,3574,3536,3473.0
3187,3506,3554.0,3621.0,3519.0,3588,3711,3586.0,3584.0,3553,3014,3404,3456,3409,3467,3551,3543,3539.0,3053.0,2953.0,3537.0,3574,3528,3474.0
3187,3504,3552.0,3621.0,3519.0,3588,3711,3586.0,3584.0,3553,3014,3404,3464,3414,3469,3549,3540,3537.0,3052.0,2951.0,3543.0,3571,3541,3469.0
3187,3504,3552.0,3615.0,3520.0,3582,3718,3589.0,3588.0,3556,3017,3403,3464,3418,3466,3542,3539,3550.0,3050.0,2953.0,3539.0,3574,3535,3469.0
3187,3500,3553.0,3621.0,3517.0,3587,3722,3585.0,3583.0,3554,3030,3414,3467,3419,3468,3542,3539,3550.0,3050.0,2953.0,3539.0,3574,3535,3472.0
3187,3502,3551.0,3616.0,3506.0,3588,3716,3585.0,3583.0,3554,3030,3414,3467,3419,3468,3547,3546,3536.0,3062.0,2952.0,3538.0,3569,3537,3478.0
3187,3502,3551.0,3616.0,3506.0,3588,3716,3588.0,3579.0,3552,3028,3407,3470,3419,3468,3551,3544,3541.0,3058.0,2952.0,3536.0,3572,3540,3476.0
3183,3500,3553.0,3609.0,3518.0,3582,3713,3590.0,3581.0,3552,3030,3418,3471,3421,3471,3551,3540,3538.0,3062.0,2952.0,3536.0,3572,3540,3476.0
3184,3490,3551.0,3613.0,3514.0,3584,3713,3583.0,3578.0,3545,3035,3418,3471,3421,3471,3551,3540,3538.0,3062.0,2953.0,3548.0,3567,3542,3478.0
3183,3495,3550.0,3613.0,3514.0,3584,3713,3583.0,3578.0,3545,3035,3419,3475,3422,3464,3546,3543,3541.0,3052.0,2957.0,3543.0,3568,3545,3473.0
