ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3496,3676.0,3545.0,3627,3349,3539,3679.0,3499,3536.0,3451,3566.0,3695.0,3615.0,3520.0,3323,3599.0,3543,3468,3024.0,2898,3681.0,3635.0,3637.0,3400
3492,3673.0,3544.0,3618,3353,3539,3669.0,3499,3536.0,3449,3566.0,3694.0,3619.0,3522.0,3324,3600.0,3541,3468,3030.0,2898,3681.0,3635.0,3637.0,3400
3488,3670.0,3545.0,3621,3349,3539,3674.0,3503,3537.0,3439,3564.0,3694.0,3619.0,3522.0,3324,3600.0,3541,3468,3030.0,2905,3679.0,3637.0,3635.0,3386
3486,3665.0,3550.0,3621,3349,3539,3674.0,3503,3537.0,3439,3564.0,3692.0,3614.0,3520.0,3328,3572.5146624967597,3541,3465,3028.0,2907,3679.0,3633.0,3637.0,3388
3486,3665.0,3550.0,3625,3346,3544,3675.0,3507,3529.0,3459,3572.0,3692.0,3617.0,3522.0,3332,3601.0,3542,3475,3030.0,2907,3678.0,3636.0,3640.0,3388
3493,3673.0,3550.0,3622,3346,3541,3674.0,3501,3532.0,3446,3560.0,3697.0,3618.0,3526.0,3326,3601.0,3542,3475,3030.0,2907,3678.0,3636.0,3640.0,3395
3495,3673.0,3544.0,3616,3346,3537,3672.0,3501,3532.0,3446,3560.0,3697.0,3618.0,3526.0,3326,3596.0,3537,3467,3030.0,2906,3675.0,3637.0,3640.0,3390
3495,3673.0,3544.0,3616,3346,3537,3672.0,3509,3531.0,3440,3566.0,3690.0,3614.0,3522.0,3334,3598.0,3538,3478,3030.0,2904,3684.0,3634.0,3638.0,3394
3491,3674.0,3546.0,3618,3351,3540,3677.0,3504,3527.0,3447,3566.0,3701.0,3620.0,3520.0,3324,3591.0,3539,3472,3034.0,2904,3684.0,3634.0,3638.0,3394
3489,3673.0,3546.0,3630,3353,3544,3672.0,3500,3523.0,3448,3566.0,3701.0,3620.0,3520.0,3324,3591.0,3539,3472,3034.0,2899,3677.0,3630.0,3646.0,3396
3493,3674.0,3543.0,3630,3353,3544,3672.0,3500,3523.0,3448,3566.0,3696.0,3622.0,3514.0,3317,3600.0,3540,3471,3027.0,2901,3682.0,3635.0,3645.0,3395
3493,3674.0,3543.0,3613,3350,3546,3675.0,3498,3523.0,3443,3565.0,3696.0,3622.0,3522.0,3328,3592.0,3539,3470,3030.0,2905,3680.0,3634.0,3641.0,3395
3498,3676.0,3542.0,3621,3354,3538,3677.0,3502,3532.0,3452,3567.0,3698.0,3623.0,3522.0,3328,3592.0,3539,3470,3030.0,2905,3680.0,3634.0,3641.0,3395
3494,3657.0,3548.0,3629,3348,3531,3676.0,3502,3532.0,3452,3567.0,3698.0,3623.0,3522.0,3328,3595.0,3536,3472,3028.0,2891,3681.0,3636.0,3639.0,3395
3494,3657.0,3548.0,3629,3348,3531,3676.0,3505,3520.0,3453,3566.0,3687.0,3617.0,3524.0,3321,3602.0,3539,3468,3029.0,2897,3684.0,3638.0,3640.0,3391
3496,3669.0,3552.0,3624,3346,3540,3676.0,3502,3530.0,3450,3565.0,3692.0,3624.0,3522.0,3327,3596.0,3538,3474,3031.0,2897,3684.0,3638.0,3640.0,3391
3490,3674.0,3550.0,3626,3342,3547,3671.0,3497,3529.0,3447,3570.0,3692.0,3624.0,3522.0,3327,3596.0,3538,3474,3031.0,2902,3685.0,3635.0,3645.0,3395
3500,3672.0,3552.0,3626,3342,3547,3671.0,3497,3529.0,3447,3570.0,3699.0,3614.0,3526.0,3330,3602.0,3542,3470,3026.0,2902,3679.0,3637.0,3636.0,3387
3500,3672.0,3552.0,3620,3348,3544,3674.0,3499,3534.0,3454,3567.0,3692.0,3621.0,3521.0,3328,3586.0,3541,3465,3030.0,2906,3680.0,3639.0,3638.0,3387
3488,3675.0,3552.0,3617,3350,3542,3673.0,3499,3528.0,3455,3568.0,3692.0,3620.0,3522.0,3327,3586.0,3541,3465,3030.0,2906,3680.0,3639.0,3638.0,3386
3494,3676.0,3552.0,3617,3348,3541,3671.0,3499,3528.0,3455,3568.0,3692.0,3620.0,3522.0,3327,3597.0,3540,3469,3030.0,2904,3680.0,3629.0,3634.0,3396
3494,3676.0,3552.0,3617,3348,3541,3671.0,3498,3534.0,3448,3566.0,3699.0,3622.0,3525.0,3335,3593.0,3533,3467,3021.0,2903,3677.0,3638.0,3642.0,3386
3496,3673.0,3542.0,3626,3348,3539,3676.0,3506,3533.0,3446,3566.0,3690.0,3614.0,3529.0,3336,3589.0,3535,3464,3026.0,2903,3677.0,3638.0,3642.0,3386
3501,3671.0,3546.0,3624,3349,3539,3677.0,3501,3531.0,3439,3572.0,3690.0,3614.0,3529.0,3336,3589.0,3535,3464,3026.0,2901,3691.0,3626.0,3637.0,3396
3497,3676.0,3547.0,3624,3349,3539,3677.0,3501,3531.0,3439,3572.0,3700.0,3618.0,3521.0,3334,3584.0,3537,3472,3026.0,2901,3681.0,3630.0,3637.0,3396
3497,3676.0,3547.0,3624,3348,3541,3676.0,3497,3521.0,3445,3574.0,3701.0,3620.0,3518.0,3323,3594.0,3533,3471,3032.0,2899,3678.0,3636.0,3637.0,3396
3493,3671.0,3547.0,3624,3345,3546,3670.0,3503,3520.0,3440,3570.0,3696.0,3616.0,3521.0,3323,3594.0,3533,3471,3032.0,2899,3678.0,3636.0,3637.0,3395
3498,3673.0,3545.0,3620,3348,3544,3680.0,3503,3520.0,3440,3570.0,3696.0,3616.0,3521.0,3323,3597.0,3539,3466,3031.0,2901,3688.0,3629.0,3642.0,3394
3498,3673.0,3545.0,3620,3348,3544,3680.0,3502,3520.0,3451,3570.0,3695.0,3623.0,3522.0,3330,3595.0,3544,3470,3029.0,2898,3685.0,3631.0,3639.0,3389
3492,3668.0,3550.0,3621,3348,3534,3678.0,3506,3521.0,3448,3563.0,3691.0,3618.0,3519.0,3325,3596.0,3538,3469,3029.0,2898,3685.0,3631.0,3639.0,3389
3497,3673.0,3544.0,3626,3346,3542,3672.0,3499,3529.0,3447,3565.0,3691.0,3618.0,3519.0,3325,3596.0,3538,3469,3029.0,2900,3683.0,3636.0,3644.0,3394
3496,3672.0,3548.0,3626,3346,3542,3672.0,3499,3529.0,3447,3565.0,3697.0,3620.0,3522.0,3330,3602.0,3539,3470,3032.0,2902,3680.0,3638.0,3640.0,3391
3496,3672.0,3548.0,3625,3348,3537,3657.0,3500,3526.0,3446,3568.0,3698.0,3621.0,3518.0,3328,3597.0,3531,3474,3028.0,2905,3684.0,3635.0,3648.0,3391
3488,3668.0,3550.0,3622,3344,3531,3672.0,3490,3529.0,3446,3572.0,3689.0,3613.0,3520.0,3334,3597.0,3531,3474,3028.0,2905,3684.0,3635.0,3648.0,3386
3496,3678.0,3546.0,3624,3346,3534,3670.0,3490,3529.0,3446,3572.0,3689.0,3613.0,3520.0,3334,3603.0,3540,3476,3032.0,2900,3684.0,3635.0,3639.0,3399
3496,3678.0,3546.0,3624,3346,3534,3670.0,3499,3528.0,3445,3569.0,3693.0,3621.0,3522.0,3328,3604.0,3540,3471,3033.0,2902,3677.0,3636.0,3644.0,3387
3498,3673.0,3545.0,3624,3352,3544,3675.0,3500,3527.0,3442,3569.0,3700.0,3626.0,3528.0,3328,3595.0,3532,3472,3032.0,2902,3677.0,3636.0,3644.0,3387
3496,3674.0,3522.0,3620,3351,3528,3680.0,3499,3520.0,3447,3572.0,3700.0,3626.0,3528.0,3328,3595.0,3532,3472,3032.0,2902,3680.0,3632.0,3650.0,3401
3490,3680.0,3545.0,3620,3351,3528,3680.0,3499,3520.0,3447,3572.0,3695.0,3621.0,3528.0,3334,3607.0,3525,3472,3028.0,2905,3691.0,3634.0,3640.0,3398
3490,3680.0,3545.0,3625,3352,3536,3676.0,3498,3528.0,3448,3570.0,3698.0,3624.0,3524.0,3324,3587.0,3535,3472,3029.0,2906,3688.0,3622.0,3638.0,3398
3498,3670.0,3542.0,3626,3345,3537,3675.0,3498,3529.0,3440,3572.0,3700.0,3620.0,3520.0,3329,3587.0,3535,3472,3029.0,2906,3688.0,3622.0,3638.0,3397
3493,3671.0,3547.0,3627,3356,3535,3674.0,3498,3529.0,3440,3572.0,3700.0,3620.0,3520.0,3329,3598.0,3539,3468,3024.0,2904,3686.0,3637.0,3636.0,3398
3493,3671.0,3547.0,3627,3356,3535,3674.0,3503,3529.0,3450,3569.0,3706.0,3628.0,3521.0,3331,3596.0,3538,3473,3029.0,2904,3682.0,3632.0,3643.0,3400
3497,3675.0,3553.0,3623,3354,3537,3674.0,3496,3527.0,3446,3574.0,3698.0,3623.0,3525.0,3327,3598.0,3540,3472,3029.0,2904,3682.0,3632.0,3643.0,3400
3492,3671.0,3544.0,3624,3358,3535,3670.0,3497,3531.0,3445,3574.0,3698.0,3623.0,3525.0,3327,3598.0,3540,3472,3029.0,2897,3680.0,3639.0,3646.0,3399
3494,3679.0,3542.0,3624,3358,3535,3670.0,3497,3531.0,3445,3574.0,3698.0,3624.0,3517.0,3330,3600.0,3540,3459,3029.0,2904,3680.0,3642.0,3644.0,3390
3494,3679.0,3542.0,3623,3354,3538,3673.0,3500,3531.0,3445,3570.0,3701.0,3627.0,3516.0,3325,3599.0,3537,3469,3033.0,2899,3676.0,3638.0,3645.0,3390
3498,3673.0,3545.0,3624,3353,3534,3663.0,3504,3523.0,3447,3572.0,3695.0,3612.0,3524.0,3329,3599.0,3537,3469,3033.0,2899,3676.0,3638.0,3645.0,3396
3493,3678.0,3546.0,3622,3357,3529,3664.0,3504,3523.0,3447,3572.0,3695.0,3612.0,3524.0,3329,3601.0,3530,3477,3025.0,2895,3682.0,3641.0,3635.0,3396
