ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3514,3664.0,3631.0,3662,3470.0,3633.0,3700.0,3446.0,3520,3478.0,3244.0,3524,2719,3048,3004,2525,2770.0,3060,2750.0,2521,3631.0,3623.0,3533,3434
3518,3664.0,3631.0,3662,3470.0,3633.0,3700.0,3446.0,3520,3471.0,3245.0,3521,2722,3048,3006,2530,2767.0,3063,2750.0,2516,3628.0,3640.0,3536,3438
3518,3657.0,3624.0,3671,3472.0,3637.0,3700.0,3443.0,3505,3481.0,3239.0,3525,2714,3053,3016,2528,2772.0,3066,2750.0,2520,3631.0,3640.0,3536,3438
3518,3666.0,3619.0,3674,3475.0,3631.0,3702.0,3424.0,3513,3476.0,3245.0,3521,2722,3053,3016,2528,2772.0,3066,2750.0,2520,3631.0,3626.0,3535,3439
3517,3647.0,3626.0,3672,3468.0,3631.0,3702.0,3424.0,3513,3476.0,3245.0,3521,2722,3052,3021,2530,2778.0,3075,2743.0,2527,3630.0,3633.0,3541,3436
3517,3647.0,3626.0,3672,3468.0,3630.0,3699.0,3433.0,3519,3480.0,3245.0,3514,2720,3055,3014,2533,2779.0,3072,2747.0,2521,3628.0,3639.0,3539,3435
3517,3659.0,3627.0,3679,3468.0,3629.0,3704.0,3456.0,3509,3475.0,3243.0,3521,2728,3056,3026,2538,2778.0,3072,2747.0,2521,3628.0,3639.0,3539,3435
3525,3661.0,3625.0,3676,3476.0,3628.0,3690.0,3451.0,3516,3475.0,3243.0,3521,2728,3056,3026,2538,2778.0,3077,2752.0,2525,3628.0,3636.0,3542,3440
3517,3661.0,3625.0,3676,3476.0,3628.0,3690.0,3451.0,3516,3474.0,3245.0,3523,2723,3051,3025,2538,2771.0,3080,2747.0,2519,3624.0,3637.0,3529,3434
3517,3666.0,3626.0,3670,3473.0,3626.0,3697.0,3446.0,3514,3474.0,3219.95429988541,3523,2720,3048,3021,2534,2777.0,3073,2748.0,2523,3628.0,3637.0,3529,3434
3518,3660.0,3634.0,3670,3465.0,3626.0,3698.0,3453.0,3522,3474.0,3242.0,3515,2717,3048,3021,2534,2777.0,3073,2748.0,2523,3628.0,3634.0,3537,3438
3518,3664.0,3626.0,3667,3462.0,3626.0,3698.0,3453.0,3522,3474.0,3242.0,3515,2717,3051,3015,2531,2772.0,3067,2748.0,2520,3627.0,3624.0,3534,3441
3518,3664.0,3626.0,3667,3462.0,3627.0,3702.0,3454.0,3515,3467.0,3239.0,3524,2720,3048,3021,2531,2773.0,3076,2742.0,2522,3631.0,3630.0,3539,3434
3517,3667.0,3630.0,3670,3463.0,3620.0,3707.0,3449.0,3517,3478.0,3238.0,3529,2722,3050,3025,2533,2774.0,3076,2742.0,2522,3631.0,3630.0,3539,3434
3517,3659.0,3635.0,3671,3459.0,3631.0,3701.0,3444.0,3512,3478.0,3238.0,3529,2722,3050,3025,2533,2774.0,3082,2748.0,2519,3636.0,3632.0,3536,3438
3516,3659.0,3635.0,3671,3459.0,3631.0,3701.0,3444.0,3512,3473.0,3239.0,3528,2725,3054,3016,2531,2773.0,3076,2749.0,2524,3632.0,3632.0,3540,3440
3516,3650.0,3631.0,3668,3461.0,3629.0,3700.0,3443.0,3514,3479.0,3219.95429988541,3529,2729,3051,3017,2535,2775.0,3083,2750.0,2524,3632.0,3632.0,3540,3440
3515,3660.0,3633.0,3665,3476.0,3636.0,3697.0,3445.0,3513,3472.0,3248.0,3526,2733,3051,3017,2535,2775.0,3083,2750.0,2524,3632.0,3626.0,3544,3438
3517,3664.0,3625.0,3666,3469.0,3636.0,3697.0,3445.0,3513,3472.0,3248.0,3526,2733,3060,3029,2539,2783.0,3078,2750.0,2525,3633.0,3639.0,3538,3438
3517,3664.0,3625.0,3666,3469.0,3629.0,3694.0,3451.0,3514,3469.0,3249.0,3527,2732,3064,3034,2543,2789.0,3082,2747.0,2532,3630.0,3626.0,3545,3438
3521,3653.0,3622.0,3668,3474.0,3627.0,3703.0,3451.0,3514,3479.0,3255.0,3528,2745,3076,3034,2548,2797.0,3082,2747.0,2532,3630.0,3626.0,3545,3438
3515,3648.0,3625.0,3670,3477.0,3622.0,3699.0,3457.0,3512,3479.0,3255.0,3528,2745,3076,3034,2548,2797.0,3088,2755.0,2536,3632.0,3636.0,3537,3443
3514,3648.0,3625.0,3670,3477.0,3622.0,3699.0,3457.0,3512,3481.0,3255.0,3520,2755,3076,3029,2551,2798.0,3089,2761.0,2536,3634.0,3643.0,3541,3442
3514,3662.0,3624.0,3670,3473.0,3623.0,3696.0,3457.0,3524,3473.0,3257.0,3536,2755,3075,3038,2555,2801.0,3089,2763.0,2537,3636.0,3643.0,3541,3442
3516,3662.0,3627.0,3677,3471.0,3628.0,3692.0,3449.0,3515,3472.0,3252.0,3533,2753,3075,3038,2555,2801.0,3089,2763.0,2537,3636.0,3635.0,3542,3439
3512,3661.0,3625.0,3671,3465.0,3628.0,3692.0,3449.0,3515,3472.0,3252.0,3533,2753,3078,3039,2551,2802.0,3084,2758.0,2535,3636.0,3636.0,3549,3431
3512,3661.0,3625.0,3671,3465.0,3626.0,3697.0,3450.0,3516,3479.0,3253.0,3524,2747,3071,3027,2550,2791.0,3083,2757.0,2532,3630.0,3625.0,3540,3431
3518,3661.0,3629.0,3662,3474.0,3627.0,3692.0,3451.0,3515,3471.0,3252.0,3524,2737,3069,3019,2543,2787.0,3083,2757.0,2532,3630.0,3625.0,3540,3431
3522,3662.0,3628.0,3668,3470.0,3631.0,3701.0,3453.0,3513,3471.0,3252.0,3524,2737,3069,3019,2543,2787.0,3071,2756.0,2533,3632.0,3639.0,3544,3432
3523,3662.0,3628.0,3668,3470.0,3631.0,3701.0,3453.0,3513,3477.0,3258.0,3530,2741,3063,3022,2541,2785.0,3079,2752.0,2530,3633.0,3629.0,3544,3429
3523,3664.0,3626.0,3674,3473.0,3622.0,3705.0,3454.0,3508,3472.0,3249.0,3524,2740,3067,3019,2543,2761.0,3074,2751.0,2526,3636.0,3629.0,3544,3429
3519,3665.0,3628.0,3674,3471.0,3632.0,3701.0,3448.0,3513,3475.0,3257.0,3533,2748,3067,3019,2543,2761.0,3074,2751.0,2526,3636.0,3641.0,3538,3440
3518,3659.0,3624.0,3668,3466.0,3632.0,3701.0,3448.0,3513,3475.0,3257.0,3533,2748,3072,3018,2535,2795.0,3085,2755.0,2529,3637.0,3620.0,3542,3441
3518,3659.0,3624.0,3668,3466.0,3628.0,3698.0,3451.0,3516,3469.0,3263.0,3538,2754,3079,3029,2547,2799.0,3095,2759.0,2531,3635.0,3633.0,3547,3441
3521,3659.0,3630.0,3669,3472.0,3631.0,3698.0,3450.0,3519,3472.0,3264.0,3539,2767,3088,3021,2561,2803.0,3095,2759.0,2531,3635.0,3633.0,3547,3441
3517,3670.0,3624.0,3664,3469.0,3624.0,3701.0,3454.0,3511,3472.0,3264.0,3539,2767,3088,3021,2561,2803.0,3099,2760.0,2537,3626.0,3641.0,3547,3443
3520,3670.0,3624.0,3664,3469.0,3624.0,3701.0,3454.0,3511,3474.0,3270.0,3537,2777,3084,3029,2561,2812.0,3097,2761.0,2535,3631.0,3632.0,3546,3440
