ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3522.0,3689.0,3604,3667.0,3476,3612,3685,3452,3526,3459,3484.0,3666.0,3439.0,3475.0,3445,3389.0,3469,3416,2972.0,2798,3688,3683,3661.0,3535
3513.0,3687.0,3606,3671.0,3471,3605,3688,3447,3528,3459,3484.0,3666.0,3439.0,3475.0,3445,3389.0,3469,3409,2977.0,2793,3692,3680,3657.0,3529
3514.0,3687.0,3606,3671.0,3471,3605,3688,3447,3528,3463,3481.0,3654.0,3438.0,3470.0,3448,3348.0,3471,3406,2977.0,2796,3690,3670,3658.0,3537
3514.0,3690.0,3605,3666.0,3474,3604,3684,3454,3524,3462,3479.0,3663.0,3437.0,3473.0,3444,3384.0,3462,3413,2975.0,2795,3689,3670,3658.0,3537
3518.0,3690.0,3602,3669.0,3468,3608,3689,3450,3531,3461,3484.0,3667.0,3437.0,3473.0,3444,3384.0,3462,3413,2975.0,2795,3689,3673,3658.0,3536
3525.0,3690.0,3608,3669.0,3468,3608,3689,3450,3531,3461,3484.0,3667.0,3437.0,3468.0,3439,3382.0,3470,3399,2976.0,2796,3692,3677,3656.0,3529
3525.0,3690.0,3608,3669.0,3468,3604,3686,3450,3532,3455,3476.0,3648.0,3439.0,3464.0,3449,3384.0,3464,3413,2978.0,2796,3694,3685,3660.0,3530
3519.0,3688.0,3600,3676.0,3474,3607,3687,3445,3520,3460,3477.0,3671.0,3436.0,3464.0,3442,3381.0,3467,3413,2978.0,2796,3694,3685,3660.0,3530
3519.0,3678.0,3610,3669.0,3473,3610,3686,3446,3520,3460,3477.0,3671.0,3436.0,3464.0,3442,3381.0,3467,3406,2974.0,2789,3692,3676,3651.0,3540
3519.0,3678.0,3610,3669.0,3473,3610,3686,3446,3520,3468,3470.0,3669.0,3433.0,3469.0,3453,3381.0,3469,3416,2977.0,2792,3692,3683,3662.0,3538
3519.0,3684.0,3607,3672.0,3475,3608,3687,3445,3515,3464,3475.0,3666.0,3434.0,3466.0,3431,3388.0,3467,3402,2971.0,2798,3686,3683,3662.0,3538
3521.0,3685.0,3601,3674.0,3482,3610,3681,3440,3528,3459,3476.0,3665.0,3429.0,3466.0,3431,3388.0,3467,3402,2971.0,2798,3686,3674,3658.0,3535
3519.0,3680.0,3610,3670.0,3475,3610,3681,3440,3528,3459,3476.0,3665.0,3429.0,3458.0,3452,3379.0,3467,3412,2975.0,2796,3688,3680,3659.0,3538
3519.0,3680.0,3610,3670.0,3475,3617,3687,3434,3530,3466,3478.0,3658.0,3430.0,3462.0,3452,3381.0,3471,3406,2978.0,2790,3687,3678,3659.0,3537
3520.0,3681.0,3608,3673.0,3475,3615,3694,3441,3526,3469,3477.0,3659.0,3427.0,3461.0,3448,3378.0,3466,3406,2978.0,2790,3687,3678,3659.0,3537
3523.0,3689.0,3601,3668.0,3478,3609,3684,3434,3528,3469,3477.0,3659.0,3427.0,3461.0,3448,3378.0,3466,3401,2972.0,2795,3692,3678,3659.0,3529
3515.0,3689.0,3601,3668.0,3478,3609,3684,3434,3528,3466,3476.0,3664.0,3425.0,3460.0,3451,3378.0,3474,3415,2977.0,2788,3692,3678,3660.0,3541
3515.0,3688.0,3607,3668.0,3480,3611,3681,3431,3529,3465,3477.0,3666.0,3428.0,3464.0,3449,3375.0,3460,3411,2974.0,2793,3689,3678,3660.0,3541
3522.0,3688.0,3603,3672.0,3478,3598,3688,3446,3526,3462,3473.0,3666.0,3422.0,3464.0,3449,3375.0,3460,3411,2974.0,2793,3689,3681,3661.0,3539
3522.0,3688.0,3609,3673.0,3481,3598,3688,3446,3526,3462,3473.0,3666.0,3422.0,3464.0,3445,3366.0,3472,3408,2967.0,2793,3688,3669,3655.0,3537
3522.0,3688.0,3609,3673.0,3481,3608,3686,3439,3526,3466,3473.0,3670.0,3427.0,3463.0,3450,3368.0,3477,3405,2977.0,2792,3693,3674,3646.0,3536
3520.0,3690.0,3606,3670.0,3471,3609,3688,3438,3518,3468,3473.0,3658.0,3426.0,3460.0,3443,3372.0,3465,3405,2977.0,2792,3693,3674,3646.0,3536
3522.0,3683.0,3608,3663.0,3483,3606,3692,3437,3523,3468,3473.0,3658.0,3426.0,3460.0,3443,3372.0,3465,3403,2975.0,2794,3686,3680,3664.0,3531
3518.0,3683.0,3608,3663.0,3483,3606,3692,3437,3523,3472,3473.0,3664.0,3424.0,3464.0,3446,3370.0,3464,3407,2974.0,2792,3688,3677,3658.0,3536
3518.0,3688.0,3606,3666.0,3485,3612,3690,3440,3525,3458,3473.0,3666.0,3428.0,3462.0,3450,3349.0,3472,3407,2979.0,2790,3698,3677,3658.0,3536
3521.0,3682.0,3597,3668.0,3481,3611,3687,3430,3519,3468,3473.0,3667.0,3429.0,3462.0,3450,3349.0,3472,3407,2979.0,2790,3698,3673,3665.0,3538
3524.0,3688.0,3598,3664.0,3485,3611,3687,3430,3519,3468,3473.0,3667.0,3429.0,3459.0,3456,3378.0,3465,3411,2978.0,2799,3694,3679,3659.0,3538
3524.0,3688.0,3598,3664.0,3485,3613,3685,3435,3520,3459,3474.0,3663.0,3429.0,3468.0,3457,3379.0,3475,3413,2980.0,2796,3690,3681,3658.0,3535
3514.0,3682.0,3602,3666.0,3486,3609,3678,3426,3524,3466,3475.0,3668.0,3430.0,3458.0,3453,3378.0,3467,3413,2980.0,2796,3690,3681,3658.0,3535
3516.0,3676.0,3601,3670.0,3483,3601,3682,3437,3519,3466,3475.0,3668.0,3430.0,3458.0,3453,3378.0,3467,3408,2976.0,2797,3692,3682,3661.0,3539
3524.0,3676.0,3601,3670.0,3483,3601,3682,3437,3519,3469,3476.0,3653.0,3436.0,3463.0,3456,3382.0,3469,3410,2974.0,2792,3696,3677,3662.0,3539
3524.0,3683.0,3609,3672.0,3477,3607,3690,3430,3526,3472,3474.0,3663.0,3426.0,3470.0,3450,3380.0,3469,3406,2973.0,2797,3692,3677,3662.0,3539
3499.655840584334,3686.0,3607,3668.0,3474,3610,3676,3426,3522,3469,3473.0,3664.0,3432.0,3470.0,3450,3380.0,3469,3406,2973.0,2797,3692,3677,3659.0,3536
3519.0,3683.0,3606,3667.0,3480,3610,3676,3426,3522,3469,3473.0,3664.0,3432.0,3458.0,3458,3381.0,3472,3402,2971.0,2800,3690,3685,3664.0,3547
3519.0,3683.0,3606,3667.0,3480,3612,3684,3433,3528,3467,3475.0,3663.0,3429.0,3464.0,3454,3378.0,3470,3395,2977.0,2796,3688,3677,3662.0,3527
3517.0,3691.0,3600,3666.0,3485,3611,3681,3434,3523,3460,3475.0,3664.0,3428.0,3472.0,3456,3380.0,3477,3395,2977.0,2796,3688,3677,3662.0,3527
3521.0,3688.0,3604,3675.0,3485,3608,3683,3434,3528,3460,3475.0,3664.0,3428.0,3472.0,3456,3380.0,3477,3410,2971.0,2796,3692,3671,3665.0,3536
3519.0,3688.0,3604,3675.0,3485,3608,3683,3434,3528,3464,3478.0,3667.0,3432.0,3467.0,3453,3382.0,3474,3412,2977.0,2798,3688,3674,3647.0,3543
3519.0,3690.0,3598,3669.0,3480,3609,3683,3427,3527,3469,3476.0,3666.0,3438.0,3470.0,3456,3388.0,3472,3405,2978.0,2799,3691,3674,3647.0,3543
3521.0,3691.0,3598,3665.0,3488,3607,3680,3427,3524,3468,3482.0,3664.0,3442.0,3470.0,3456,3388.0,3472,3405,2978.0,2799,3691,3671,3661.0,3534
3515.0,3694.0,3602,3668.0,3485,3607,3680,3427,3524,3468,3482.0,3664.0,3442.0,3469.0,3454,3384.0,3474,3411,2978.0,2799,3692,3671,3664.0,3542
3515.0,3694.0,3602,3668.0,3485,3611,3684,3432,3526,3461,3481.0,3668.0,3440.0,3471.0,3459,3383.0,3474,3409,2975.0,2793,3696,3677,3660.0,3540
3518.0,3683.0,3608,3666.0,3481,3607,3682,3422,3522,3468,3481.0,3668.0,3435.0,3466.0,3458,3391.0,3473,3409,2975.0,2793,3696,3677,3660.0,3540
3510.0,3684.0,3601,3660.0,3484,3614,3687,3423,3516,3468,3481.0,3668.0,3435.0,3466.0,3458,3391.0,3473,3408,2979.0,2797,3688,3677,3661.0,3542
3520.0,3684.0,3601,3660.0,3484,3614,3687,3423,3516,3463,3479.0,3664.0,3443.0,3468.0,3446,3385.0,3473,3408,2977.0,2797,3689,3676,3660.0,3538
3520.0,3689.0,3602,3668.0,3488,3610,3681,3426,3523,3468,3478.0,3664.0,3432.0,3453.0,3451,3383.0,3473,3412,2976.0,2786,3688,3676,3660.0,3538
3517.0,3686.0,3598,3674.0,3483,3604,3680,3424,3529,3465,3477.0,3667.0,3431.0,3453.0,3451,3383.0,3473,3412,2976.0,2786,3688,3676,3660.0,3530
3526.0,3683.0,3604,3673.0,3480,3604,3680,3424,3529,3465,3477.0,3667.0,3431.0,3465.0,3462,3386.0,3474,3407,2976.0,2798,3697,3678,3666.0,3531
3526.0,3683.0,3604,3673.0,3480,3606,3684,3424,3520,3469,3477.0,3667.0,3405.1162144341342,3463.0,3457,3384.0,3474,3404,2972.0,2798,3691,3677,3665.0,3537
3513.0,3689.0,3603,3669.0,3477,3610,3680,3425,3522,3462,3479.0,3664.0,3437.0,3462.0,3458,3384.0,3469,3404,2972.0,2798,3691,3677,3665.0,3537
3516.0,3684.0,3599,3667.0,3486,3606,3688,3425,3522,3462,3479.0,3664.0,3437.0,3462.0,3458,3384.0,3469,3401,2974.0,2793,3690,3677,3661.0,3537
3522.0,3684.0,3599,3667.0,3486,3606,3688,3425,3522,3463,3480.0,3665.0,3435.0,3471.0,3459,3345.986392100148,3469,3407,2976.0,2797,3688,3674,3661.0,3545
3522.0,3689.0,3604,3671.0,3481,3602,3684,3421,3522,3460,3479.0,3665.0,3433.0,3468.0,3454,3380.0,3468,3411,2970.0,2796,3690,3674,3661.0,3545
3513.0,3685.0,3604,3667.0,3480,3609,3679,3420,3522,3463,3463.9449059426524,3665.0,3428.0,3468.0,3454,3380.0,3468,3411,2970.0,2796,3690,3676,3662.0,3540
3517.0,3685.0,3605,3667.0,3482,3609,3679,3420,3522,3463,3463.9449059426524,3665.0,3428.0,3466.0,3448,3376.0,3472,3399,2974.0,2795,3687,3680,3657.0,3533
3517.0,3685.0,3605,3667.0,3482,3614,3685,3420,3523,3471,3477.0,3666.0,3434.0,3467.0,3455,3378.0,3469,3410,2973.0,2793,3687,3686,3661.0,3539
3519.0,3690.0,3599,3657.0,3482,3609,3679,3423,3523,3452,3476.0,3666.0,3428.0,3462.0,3452,3380.0,3459,3410,2973.0,2793,3687,3686,3661.0,3539
3518.0,3692.0,3604,3665.0,3486,3610,3678,3424,3522,3452,3476.0,3666.0,3428.0,3462.0,3452,3380.0,3459,3402,2976.0,2787,3690,3676,3652.0,3537
3517.0,3692.0,3604,3665.0,3486,3610,3678,3424,3522,3469,3476.0,3668.0,3428.0,3464.0,3461,3379.0,3466,3403,2976.0,2792,3696,3676,3659.0,3538
3517.0,3684.0,3603,3674.0,3485,3614,3682,3420,3513,3467,3473.0,3670.0,3431.0,3463.0,3438,3377.0,3468,3403,2969.0,2792,3690,3676,3659.0,3538
3506.0,3678.0,3604,3669.0,3485,3613,3685,3410,3524,3461,3476.0,3663.0,3430.0,3463.0,3438,3377.0,3468,3403,2969.0,2792,3690,3676,3664.0,3540
3516.0,3685.0,3603,3672.0,3482,3613,3685,3410,3524,3461,3476.0,3663.0,3430.0,3464.0,3457,3375.0,3470,3402,2975.0,2793,3688,3676,3659.0,3538
3516.0,3685.0,3603,3672.0,3482,3607,3682,3418,3521,3464,3475.0,3665.0,3427.0,3459.0,3460,3375.0,3472,3406,2973.0,2773,3695,3681,3661.0,3536
3517.0,3686.0,3600,3670.0,3484,3612,3676,3423,3522,3472,3476.0,3663.0,3432.0,3466.0,3459,3374.0,3468,3406,2973.0,2773,3695,3681,3661.0,3536
3514.0,3668.4482307040435,3602,3669.0,3484,3613,3679,3420,3521,3472,3476.0,3663.0,3432.0,3466.0,3459,3374.0,3468,3407,2973.0,2794,3698,3678,3660.0,3538
3520.0,3668.4482307040435,3602,3669.0,3484,3613,3679,3420,3521,3465,3476.0,3661.0,3425.0,3457.0,3456,3377.0,3472,3408,2969.0,2794,3692,3679,3666.0,3539
3520.0,3688.0,3605,3669.0,3482,3613,3680,3424,3528,3464,3475.0,3666.0,3430.0,3468.0,3454,3376.0,3464,3405,2977.0,2792,3689,3679,3666.0,3539
3518.0,3690.0,3607,3660.0,3486,3610,3673,3420,3524,3457,3477.0,3669.0,3426.0,3468.0,3454,3376.0,3464,3405,2977.0,2792,3689,3677,3664.0,3522
3522.0,3696.0,3605,3669.0,3484,3610,3673,3420,3524,3457,3477.0,3669.0,3426.0,3466.0,3460,3376.0,3469,3400,2975.0,2793,3695,3680,3657.0,3537
3522.0,3696.0,3605,3669.0,3484,3610,3680,3421,3521,3461,3481.0,3665.0,3432.0,3468.0,3460,3374.0,3472,3402,2978.0,2795,3693,3675,3656.0,3538
3520.0,3686.0,3601,3673.0,3475,3608,3682,3418,3518,3464,3478.0,3659.0,3432.0,3466.0,3446,3378.0,3468,3402,2978.0,2795,3693,3675,3656.0,3538
3520.0,3688.0,3601,3668.0,3490,3607,3686,3420,3520,3464,3478.0,3659.0,3432.0,3466.0,3446,3378.0,3468,3404,2972.0,2791,3696,3668,3662.0,3535
3517.0,3688.0,3601,3668.0,3490,3607,3686,3420,3520,3472,3480.0,3669.0,3436.0,3467.0,3453,3380.0,3469,3404,2974.0,2795,3692,3665,3660.0,3542
3517.0,3685.0,3597,3666.0,3482,3608,3683,3417,3521,3468,3479.0,3672.0,3433.0,3461.0,3453,3378.0,3468,3404,2975.0,2791,3688,3665,3660.0,3542
3526.0,3685.0,3599,3669.0,3479,3608,3681,3421,3522,3463,3479.0,3672.0,3432.0,3461.0,3453,3378.0,3468,3404,2975.0,2791,3688,3678,3658.0,3540
3521.0,3685.0,3598,3666.0,3483,3608,3681,3421,3522,3463,3479.0,3672.0,3432.0,3466.0,3458,3383.0,3470,3406,2972.0,2795,3688,3678,3663.0,3539
3521.0,3685.0,3598,3666.0,3483,3608,3690,3425,3509,3467,3476.0,3663.0,3437.0,3469.0,3456,3382.0,3472,3405,2969.0,2792,3695,3674,3661.0,3539
3518.0,3690.0,3606,3669.0,3489,3612,3681,3414,3526,3465,3480.0,3665.0,3435.0,3453.0,3460,3381.0,3475,3405,2969.0,2792,3695,3674,3661.0,3539
3516.0,3687.0,3601,3669.0,3482,3611,3679,3420,3521,3465,3480.0,3665.0,3435.0,3453.0,3460,3381.0,3475,3376,2976.0,2791,3689,3680,3667.0,3532
3518.0,3687.0,3601,3669.0,3482,3611,3679,3420,3521,3467,3478.0,3660.0,3438.0,3464.0,3456,3384.0,3470,3402,2977.0,2794,3693,3680,3664.0,3535
3518.0,3683.0,3602,3669.0,3485,3604,3690,3415,3521,3464,3476.0,3661.0,3432.0,3467.0,3461,3385.0,3471,3405,2968.0,2799,3692,3680,3664.0,3535
3515.0,3683.0,3603,3669.0,3478,3605,3686,3414,3525,3464,3482.0,3661.0,3433.0,3467.0,3461,3385.0,3471,3405,2968.0,2799,3692,3679,3661.0,3539
3514.0,3684.0,3601,3668.0,3484,3605,3686,3414,3525,3464,3482.0,3661.0,3433.0,3467.0,3458,3382.0,3471,3409,2972.0,2792,3692,3681,3660.0,3542
3514.0,3684.0,3601,3668.0,3484,3606,3683,3421,3524,3464,3475.0,3651.0,3436.0,3466.0,3453,3381.0,3471,3397,2973.0,2795,3689,3666,3658.0,3537
3522.0,3692.0,3605,3663.0,3483,3606,3683,3421,3520,3464,3475.0,3664.0,3434.0,3467.0,3454,3377.0,3468,3397,2973.0,2795,3689,3666,3658.0,3537
3520.0,3690.0,3608,3669.0,3485,3612,3684,3418,3521,3464,3475.0,3664.0,3434.0,3467.0,3454,3377.0,3468,3407,2966.0,2796,3694,3675,3661.0,3538
3523.0,3690.0,3608,3669.0,3485,3612,3684,3418,3521,3467,3480.0,3663.0,3432.0,3467.0,3458,3376.0,3459,3395,2978.0,2795,3688,3676,3656.0,3538
3523.0,3693.0,3605,3673.0,3486,3610,3686,3416,3526,3475,3475.0,3663.0,3431.0,3468.0,3450,3373.0,3471,3395,2972.0,2791,3688,3676,3656.0,3538
3519.0,3690.0,3607,3655.0,3483,3610,3685,3419,3523,3457,3478.0,3663.0,3432.0,3468.0,3450,3373.0,3471,3395,2972.0,2791,3688,3676,3660.0,3537
3519.0,3686.0,3602,3671.0,3488,3610,3685,3419,3523,3457,3478.0,3663.0,3432.0,3455.0,3454,3368.0,3458,3398,2968.0,2784,3689,3675,3662.0,3542
3519.0,3686.0,3602,3671.0,3488,3611,3682,3421,3523,3460,3478.0,3672.0,3421.0,3462.0,3450,3373.0,3469,3404,2970.0,2784,3696,3681,3659.0,3540
3521.0,3688.0,3605,3677.0,3486,3614,3688,3422,3519,3470,3476.0,3667.0,3425.0,3464.0,3457,3364.0,3470,3404,2970.0,2784,3696,3681,3659.0,3540
3523.0,3688.0,3597,3672.0,3486,3615,3685,3391,3522,3470,3476.0,3667.0,3425.0,3464.0,3457,3364.0,3470,3398,2966.0,2789,3688,3676,3658.0,3538
3517.0,3688.0,3597,3672.0,3486,3615,3685,3391,3522,3458,3477.0,3664.0,3426.0,3464.0,3460,3372.0,3464,3400,2974.0,2790,3690,3681,3658.0,3538
3517.0,3689.0,3607,3669.0,3489,3610,3687,3411,3522,3465,3474.0,3664.0,3426.0,3450.0,3453,3371.0,3468,3394,2969.0,2786,3690,3681,3658.0,3538
3517.0,3689.0,3602,3670.0,3484,3610,3675,3425,3526,3467,3480.0,3667.0,3428.0,3450.0,3453,3371.0,3468,3394,2969.0,2786,3690,3684,3658.0,3530
3519.0,3685.0,3604,3669.0,3488,3610,3675,3425,3526,3467,3480.0,3667.0,3428.0,3462.0,3455,3373.0,3465,3405,2973.0,2793,3694,3679,3665.0,3536
3519.0,3685.0,3604,3669.0,3488,3610,3675,3412,3526,3467,3478.0,3661.0,3420.0,3470.0,3460,3372.0,3469,3400,2967.0,2791,3690,3676,3668.0,3542
3514.0,3690.0,3606,3670.0,3485,3605,3680,3410,3526,3464,3477.0,3666.0,3425.0,3464.0,3461,3374.0,3462,3400,2967.0,2791,3690,3676,3668.0,3542
3521.0,3684.0,3607,3658.0,3484,3608,3672,3418,3520,3464,3477.0,3666.0,3425.0,3464.0,3461,3374.0,3462,3406,2971.0,2789,3697,3677,3660.0,3536
3520.0,3684.0,3607,3658.0,3484,3608,3672,3418,3520,3460,3478.0,3662.0,3405.1162144341342,3467.0,3456,3378.0,3467,3396,2971.0,2791,3691,3680,3666.0,3532
3520.0,3688.0,3602,3670.0,3485,3603,3684,3421,3521,3464,3477.0,3662.0,3426.0,3470.0,3459,3372.0,3469,3402,2972.0,2791,3692,3680,3666.0,3532
3525.0,3691.0,3602,3668.0,3485,3602,3684,3413,3516,3461,3477.0,3664.0,3430.0,3470.0,3459,3372.0,3469,3402,2972.0,2791,3692,3682,3663.0,3542
3521.0,3690.0,3605,3674.0,3488,3602,3684,3413,3516,3461,3477.0,3664.0,3430.0,3466.0,3446,3372.0,3472,3404,2971.0,2791,3697,3679,3655.0,3539
3521.0,3690.0,3605,3674.0,3488,3616,3684,3413,3524,3467,3476.0,3665.0,3427.0,3468.0,3453,3377.0,3469,3398,2970.0,2789,3697,3668,3659.0,3540
3524.0,3685.0,3601,3660.0,3490,3609,3682,3408,3521,3462,3478.0,3667.0,3429.0,3455.0,3456,3377.0,3460,3398,2970.0,2789,3697,3668,3659.0,3540
3526.0,3682.0,3598,3671.0,3480,3608,3684,3408,3520,3462,3478.0,3667.0,3429.0,3455.0,3456,3377.0,3460,3394,2968.0,2786,3692,3681,3647.0,3541
3521.0,3682.0,3598,3671.0,3480,3608,3684,3408,3520,3463,3477.0,3668.0,3424.0,3467.0,3462,3379.0,3466,3392,2971.0,2787,3694,3682,3660.0,3541
3521.0,3682.0,3604,3671.0,3484,3613,3685,3410,3519,3469,3477.0,3664.0,3435.0,3473.0,3461,3377.0,3467,3392,2971.0,2786,3687,3682,3660.0,3541
3516.0,3691.0,3608,3667.0,3486,3609,3680,3410,3521,3468,3482.0,3664.0,3435.0,3473.0,3461,3377.0,3467,3392,2971.0,2786,3687,3676,3659.0,3542
3512.0,3691.0,3609,3666.0,3488,3609,3680,3410,3521,3468,3482.0,3664.0,3435.0,3460.0,3455,3380.0,3463,3396,2971.0,2786,3686,3682,3662.0,3529
3512.0,3691.0,3609,3666.0,3488,3607,3675,3405,3519,3463,3480.0,3670.0,3436.0,3464.0,3464,3382.0,3467,3399,2973.0,2789,3695,3683,3664.0,3536
3523.0,3687.0,3603,3669.0,3484,3603,3686,3407,3524,3464,3478.0,3661.0,3435.0,3468.0,3461,3386.0,3469,3399,2973.0,2789,3695,3683,3664.0,3536
3517.0,3678.0,3601,3669.0,3478,3610,3682,3403,3522,3464,3478.0,3661.0,3435.0,3468.0,3461,3386.0,3469,3387,2973.0,2794,3696,3679,3659.0,3540
3518.0,3678.0,3601,3669.0,3478,3610,3682,3403,3522,3468,3482.0,3645.3826546779133,3434.0,3469.0,3457,3382.0,3474,3398,2964.0,2788,3690,3681,3664.0,3543
3518.0,3688.0,3600,3672.0,3485,3612,3682,3408,3526,3466,3481.0,3654.0,3433.0,3469.0,3457,3383.0,3470,3380,2973.0,2794,3690,3681,3664.0,3543
3519.0,3689.0,3600,3661.0,3488,3606,3674,3407,3519,3464,3478.0,3666.0,3435.0,3469.0,3457,3383.0,3470,3380,2973.0,2794,3690,3673,3660.0,3537
