ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3516.0,3666,3619,3672,3468,3615.0,3700.0,3476,3515.0,3464,3340.0,3578,3007,3197,3025,2827,3117,3254,2867,2656,3644.0,3649,3572,3444
3520.0,3659,3617,3667,3474,3611.0,3698.0,3472,3517.0,3457,3341.0,3577,3010,3197,3025,2827,3117,3254,2867,2656,3644.0,3638,3566,3444
3518.0,3666,3618,3674,3464,3611.0,3698.0,3472,3517.0,3457,3341.0,3577,3010,3183,3016,2830,3116,3256,2869,2657,3648.0,3642,3568,3433
3518.0,3666,3618,3674,3464,3618.0,3700.0,3471,3518.0,3461,3343.0,3582,3007,3188,3007,2826,3116,3254,2866,2663,3645.0,3644,3565,3432
3517.0,3666,3615,3666,3466,3609.0,3701.0,3484,3523.0,3457,3345.0,3582,3007,3193,3001,2827,3112,3254,2866,2663,3645.0,3644,3565,3432
3524.0,3656,3613,3665,3468,3594.1525617680127,3691.0,3472,3519.0,3457,3345.0,3582,3007,3193,3001,2827,3112,3257,2864,2654,3642.0,3641,3556,3440
3515.0,3656,3613,3665,3468,3594.1525617680127,3691.0,3472,3519.0,3455,3347.0,3582,3007,3192,2999,2825,3112,3263,2870,2664,3648.0,3638,3568,3439
3515.0,3669,3614,3668,3472,3606.0,3696.0,3480,3523.0,3455,3346.0,3566,3008,3190,3001,2817,3109,3256,2863,2662,3648.0,3638,3568,3439
3516.0,3665,3616,3671,3466,3609.0,3686.0,3479,3517.0,3463,3346.0,3578,3007,3190,3001,2817,3109,3256,2863,2662,3648.0,3631,3559,3435
3527.0,3667,3614,3664,3471,3609.0,3686.0,3479,3517.0,3463,3346.0,3578,3007,3192,3005,2824,3112,3258,2871,2663,3645.0,3637,3568,3436
3527.0,3667,3614,3664,3471,3609.0,3699.0,3485,3522.0,3454,3335.0,3585,3013,3197,3012,2837,3119,3255,2873,2664,3640.0,3642,3563,3437
3520.0,3666,3611,3666,3463,3608.0,3699.0,3479,3513.0,3449,3344.0,3578,3022,3201,3030,2835,3123,3255,2873,2664,3640.0,3642,3563,3437
3518.0,3669,3614,3662,3466,3608.0,3698.0,3478,3518.0,3449,3344.0,3578,3022,3201,3030,2835,3123,3254,2873,2666,3639.0,3644,3562,3436
3517.0,3669,3614,3662,3466,3608.0,3698.0,3478,3518.0,3449,3346.0,3582,3029,3205,3030,2847,3120,3256,2869,2663,3640.0,3638,3563,3442
3517.0,3669,3616,3659,3464,3616.0,3695.0,3472,3516.0,3457,3348.0,3582,3027,3198,3017,2846,3115,3245,2866,2666,3646.0,3638,3563,3442
3526.0,3665,3611,3667,3462,3616.0,3701.0,3477,3515.0,3452,3344.0,3582,3016,3198,3017,2846,3115,3245,2866,2666,3646.0,3639,3564,3429
3526.0,3671,3613,3672,3458,3616.0,3701.0,3477,3515.0,3452,3344.0,3582,3016,3197,3011,2838,3114,3236,2867,2662,3645.0,3628,3560,3424
