ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3561.0,3693.0,3653.0,3688.0,3432,3653.0,3714.0,3458,3541,3514.0,3381.0,3607.0,3030,3208,2950,2898,3108,3174,2874,2698,3664.0,3656,3578.0,3418
3562.0,3693.0,3653.0,3688.0,3432,3653.0,3714.0,3458,3541,3518.0,3375.0,3608.0,3066,3209,2948,2894,3104,3172,2871,2694,3668.0,3659,3578.0,3421
3562.0,3693.0,3659.0,3696.0,3441,3656.0,3716.0,3457,3536,3516.0,3380.0,3608.0,3068,3210,2945,2893,3109,3167,2870,2695,3669.0,3659,3578.0,3421
3567.0,3688.0,3654.0,3671.4082809638376,3437,3651.0,3715.0,3461,3538,3517.0,3378.0,3611.0,3066,3210,2945,2893,3109,3167,2870,2695,3669.0,3650,3572.0,3423
3568.0,3695.0,3653.0,3686.0,3439,3651.0,3715.0,3461,3538,3517.0,3378.0,3611.0,3066,3201,2957,2893,3098,3172,2867,2693,3665.0,3657,3577.0,3426
3568.0,3695.0,3653.0,3686.0,3439,3656.0,3714.0,3453,3534,3524.0,3385.0,3610.0,3061,3207,2959,2886,3106,3172,2868,2684,3663.0,3656,3577.0,3420
3566.0,3692.0,3664.0,3692.0,3440,3655.0,3709.0,3458,3542,3511.0,3382.0,3607.0,3059,3209,2964,2874,3099,3172,2868,2684,3663.0,3656,3577.0,3420
3573.0,3685.0,3651.0,3688.0,3442,3654.0,3724.0,3464,3539,3511.0,3382.0,3607.0,3059,3209,2964,2874,3099,3171,2859,2684,3665.0,3649,3576.0,3428
3564.0,3685.0,3651.0,3688.0,3442,3654.0,3724.0,3464,3539,3519.0,3382.0,3609.0,3053,3209,2967,2874,3091,3171,2864,2687,3666.0,3658,3577.0,3427
3564.0,3680.0,3654.0,3696.0,3445,3650.0,3714.0,3445,3540,3518.0,3382.0,3602.0,3050,3209,2960,2872,3092,3158,2859,2678,3672.0,3658,3577.0,3427
3560.0,3696.0,3656.0,3691.0,3445,3651.0,3711.0,3455,3528,3518.0,3385.0,3605.0,3058,3209,2960,2872,3092,3158,2859,2678,3672.0,3658,3578.0,3427
3561.0,3701.0,3654.0,3688.0,3450,3651.0,3711.0,3455,3528,3518.0,3385.0,3605.0,3058,3208,2973,2871,3092,3160,2861,2678,3666.0,3662,3579.0,3427
3561.0,3701.0,3654.0,3688.0,3450,3650.0,3715.0,3453,3538,3520.0,3386.0,3609.0,3051,3213,2972,2870,3092,3164,2857,2676,3669.0,3657,3585.0,3425
3569.0,3691.0,3652.0,3697.0,3444,3650.0,3716.0,3452,3539,3515.0,3384.0,3604.0,3062,3211,2976,2872,3094,3164,2857,2676,3669.0,3657,3585.0,3425
3563.0,3693.0,3653.0,3680.0,3446,3652.0,3714.0,3455,3538,3515.0,3384.0,3604.0,3062,3211,2976,2872,3094,3153,2857,2675,3665.0,3657,3580.0,3432
3565.0,3693.0,3653.0,3680.0,3446,3652.0,3714.0,3455,3538,3511.0,3383.0,3612.0,3053,3213,2973,2875,3088,3155,2856,2675,3668.0,3658,3583.0,3424
3565.0,3695.0,3652.0,3693.0,3451,3648.0,3720.0,3453,3542,3509.0,3391.0,3610.0,3060,3210,2982,2867,3081,3151,2854,2673,3668.0,3658,3583.0,3424
3568.0,3696.0,3651.0,3693.0,3451,3653.0,3714.0,3456,3533,3516.0,3389.0,3607.0,3063,3210,2982,2867,3081,3151,2854,2673,3668.0,3656,3566.0,3433
3566.0,3695.0,3654.0,3693.0,3447,3653.0,3714.0,3456,3533,3516.0,3389.0,3607.0,3063,3216,2977,2868,3081,3148,2854,2672,3673.0,3653,3581.0,3425
3566.0,3695.0,3654.0,3693.0,3447,3651.0,3715.0,3452,3537,3518.0,3387.0,3618.0,3067,3214,2969,2860,3080,3151,2854,2672,3667.0,3646,3580.0,3433
3568.0,3685.0,3650.0,3691.0,3445,3653.0,3714.0,3454,3538,3522.0,3393.0,3612.0,3069,3208,2971,2868,3080,3151,2854,2672,3667.0,3646,3580.0,3433
3568.0,3691.0,3655.0,3689.0,3450,3651.0,3718.0,3456,3546,3522.0,3393.0,3612.0,3069,3208,2971,2868,3080,3147,2855,2669,3668.0,3663,3581.0,3433
