ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3516.0,3673.0,3590.0,3672,3542,3592,3712.0,3541.0,3538,3451,3402.0,3615.0,3226,3355,3418,3126,3373,3438,2944,2736,3669.0,3661.0,3619.0,3526.0
3516.0,3680.0,3600.0,3677,3546,3583,3713.0,3538.0,3537,3463,3400.0,3612.0,3228,3355,3422,3129,3378,3434,2947,2736,3669.0,3661.0,3619.0,3526.0
3517.0,3677.0,3591.0,3670,3552,3584,3716.0,3542.0,3539,3459,3360.0,3612.0,3228,3355,3422,3129,3378,3434,2947,2739,3666.0,3664.0,3619.0,3531.0
3520.0,3677.0,3592.0,3670,3552,3584,3716.0,3542.0,3539,3459,3360.0,3624.0,3228,3356,3428,3128,3379,3438,2945,2737,3664.0,3671.0,3626.0,3522.0
3520.0,3677.0,3592.0,3667,3548,3584,3715.0,3544.0,3545,3451,3396.0,3611.0,3232,3354,3410,3120,3378,3429,2944,2736,3664.0,3668.0,3620.0,3522.0
3517.0,3677.0,3594.0,3678,3548,3586,3720.0,3539.0,3539,3453,3398.0,3618.0,3223,3355,3419,3120,3378,3429,2944,2736,3664.0,3668.0,3620.0,3528.0
3515.0,3681.0,3592.0,3676,3549,3587,3716.0,3539.0,3539,3453,3398.0,3618.0,3223,3355,3419,3114,3372,3431,2941,2733,3666.0,3666.0,3624.0,3528.0
3515.0,3681.0,3592.0,3676,3549,3587,3716.0,3544.0,3538,3450,3402.0,3619.0,3224,3350,3417,3122,3377,3432,2943,2730,3666.0,3670.0,3617.0,3528.0
3516.0,3678.0,3583.7551467227872,3673,3550,3591,3713.0,3543.0,3542,3448,3398.0,3616.0,3218,3352,3420,3110,3370,3429,2940,2730,3666.0,3670.0,3617.0,3528.0
3520.0,3681.0,3589.0,3672,3546,3587,3715.0,3544.0,3540,3457,3401.0,3616.0,3218,3352,3420,3110,3370,3429,2940,2731,3667.0,3657.0,3620.0,3525.0
3517.0,3664.0,3598.0,3672,3546,3587,3715.0,3544.0,3540,3457,3401.0,3617.0,3218,3348,3421,3114,3365,3434,2942,2735,3670.0,3674.0,3621.0,3528.0
3517.0,3664.0,3598.0,3676,3546,3595,3713.0,3526.0,3540,3464,3396.0,3604.0,3210,3344,3410,3106,3366,3424,2938,2732,3670.0,3674.0,3619.0,3528.0
